,Longitude,Latitude,Soil Mapping Unit,Country
0,-71.15,45.45,3458,"MONT MEGANTIC, QC CA"
1,-71.75,46.2,4964,"PLESSISVILLE, QC CA"
2,-73.75,45.5,7001,"POSTE SARAGUAY, QC CA"
3,-73.5,45.7,4653,"RIVIERE DES PRAIRIES, QC CA"
4,-71.25,46.15,3458,"ST ANTOINE DE PONTBRIAND, QC CA"
5,-70.8,46.05,4964,"ST BENOIT LABRE, QC CA"
6,-73.35,45.55,3070,"ST BRUNO, QC CA"
7,-73.85,45.5,4653,"STE GENEVIEVE, QC CA"
8,-70.7,46.15,4964,"ST GEORGES, QC CA"
9,-71.5,45.2,3458,"ST MALO D AUCKLAND, QC CA"
10,-71.4,45.3,3458,"ST MATHIAS, QC CA"
11,-70.65,46.35,4964,"ST ODILON, QC CA"
12,-71.7,46.15,3458,"STE SOPHIE, QC CA"
13,-71.9,45.4,7001,"SHERBROOKE, QC CA"
14,-71.35,46.1,4964,"THETFORD MINES, QC CA"
15,-71.3,45.4,3458,"WEST DITTON, QC CA"
16,-71.5,45.45,3458,"SHERMAN BROOK NORTH, QC CA"
17,-71.6,45.3,3458,"SUCKER POND NORTH, QC CA"
18,-73.35,45.3,4654,"L ACADIE, QC CA"
19,-75.55,45.55,3070,"ANGERS, QC CA"
20,-75.25,46.65,4707,"CHUTE ST PHILIPPE, QC CA"
21,-75.45,46.7,4707,"FERME NEUVE, QC CA"
22,-75.65,45.85,4707,"HIGH FALLS, QC CA"
23,-76.0,46.3,4707,"MANIWAKI UA, QC CA"
24,-74.95,45.65,4943,"MONTEBELLO SEIGNIORY, QC CA"
25,-74.8,45.65,4943,"POINTE AU CHENE, QC CA"
26,-74.05,45.8,4653,"ST JEROME, QC CA"
27,-75.6,45.9,4643,"VAL DES BOIS, QC CA"
28,-75.9,45.6,4648,"WAKEFIELD, QC CA"
29,-68.65,48.95,4972,"BERSIMIS S, QC CA"
30,-70.7,48.45,4972,"BARRIERE JALBERT, QC CA"
31,-70.45,47.45,4952,"CAP AUX CORBEAUX, QC CA"
32,-63.6,50.25,4972,"HAVRE ST PIERRE A, QC CA"
33,-69.55,49.3,4952,"LABRIEVILLE B1, QC CA"
34,-70.25,47.5,4952,"LES EBOULEMENTS, QC CA"
35,-68.4,49.3,4952,"MANIC 2 LB1, QC CA"
36,-70.4,48.25,3383,"RIVIERE ETERNITE, QC CA"
37,-69.7,48.15,4952,"TADOUSSAC, QC CA"
38,-68.3,49.2,4972,"HAUTERIVE, QC CA"
39,-70.4,47.6,4952,"ST HILARION, QC CA"
40,-69.25,48.55,4972,"SAULT AU MOUTON, QC CA"
41,-67.35,48.3,6708,"ALBERTVILLE, QC CA"
42,-63.55,49.4,4632,"ANTICOSTI SW POINT, QC CA"
43,-66.7,49.1,4949,"CAP CHAT DELVAL, QC CA"
44,-64.6,48.9,4949,"CORTEREAL, QC CA"
45,-64.6,49.1,4949,"FAME POINT, QC CA"
46,-65.15,49.2,4949,"GRANDE VALLEE, QC CA"
47,-68.8,47.6,6997,"NOTRE DAME DU LAC, QC CA"
48,-66.3,48.1,4629,"NOUVELLE, QC CA"
49,-64.45,49.85,4633,"PORT MENIER, QC CA"
50,-69.55,47.8,4957,"RIVIERE DU LOUP, QC CA"
51,-69.55,47.8,4957,"RIVIERE DU LOUP, QC CA"
52,-69.65,47.4,4964,"RIVIERE MANIE, QC CA"
53,-69.45,47.8,4957,"RIVIERE DU LOUP ST ANTONIN, QC CA"
54,-73.85,49.3,4972,"AIGREMONT, QC CA"
55,-72.3,49.25,4952,"BARRIERE 3 RAT RIVER RD, QC CA"
56,-71.2,48.65,4972,"CHUTE AUX GALETS, QC CA"
57,-71.7,48.75,4972,"CHUTE DU DIABLE, QC CA"
58,-72.2,48.85,4707,"MISTASSINI, QC CA"
59,-72.55,48.85,4950,"NORMANDIN, QC CA"
60,-71.0,48.0,4952,"RIVIERE A MARS, QC CA"
61,-72.45,48.65,4707,"ST FELICIEN, QC CA"
62,-74.1,48.35,4952,"BARRAGE GOUIN, QC CA"
63,-73.65,46.85,4952,"BARRAGE MATTAWIN, QC CA"
64,-74.1,48.35,4952,"BARRAGE GOUIN S, QC CA"
65,-73.8,47.9,4952,"MANOUAN SANMAUR, QC CA"
66,-73.8,47.9,4952,"MANOUAN SANMAUR 2, QC CA"
67,-77.7,46.2,4952,"RAPIDE DES JOACHIMS, QC CA"
68,-79.1,48.25,4950,"EVAIN, QC CA"
69,-78.95,49.8,4933,"BROUILLAN, QC CA"
70,-77.5,53.45,4945,"HELENE, QC CA"
71,-77.8,49.75,4859,"MATAGAMI A, QC CA"
72,-70.9,53.2,6997,"NITCHEQUON, QC CA"
73,-77.25,48.4,4972,"SENNETERRE, QC CA"
74,-73.95,61.8,3402,"ASBESTOS HILL, QC CA"
75,-66.8,54.8,3401,"SCHEFFERVILLE, QC CA"
76,-66.8,54.8,3401,"SCHEFFERVILLE A, QC CA"
77,-64.95,45.6,4955,"ALMA, NB CA"
78,-66.3,47.8,4966,"BLUE MOUNTAIN TOWER, NB CA"
79,-65.65,45.8,4851,"COLLINA, NB CA"
80,-66.6,45.95,4965,"FREDERICTON UNB, NB CA"
81,-64.95,45.6,4955,"FUNDY PARK ALMA CS, NB CA"
82,-67.35,47.65,4965,"KEDGWICK, NB CA"
83,-66.95,45.85,4965,"KINGS LANDING, NB CA"
84,-64.65,47.8,4957,"LAMEQUE, NB CA"
85,-66.9,45.95,4965,"MACTAQUAC PROV PARK, NB CA"
86,-66.1,45.5,4955,"OAK POINT NB, NB CA"
87,-67.4,46.9,4965,"PLASTER ROCK, NB CA"
88,-65.8,46.8,4851,"RENOUS, NB CA"
89,-66.1,45.3,4955,"SAINT JOHN A, NB CA"
90,-66.9,44.6,4955,"SOUTHWEST HEAD, NB CA"
91,-64.9,46.0,4851,"TURTLE CREEK, NB CA"
92,-66.85,47.85,4957,"UPSALQUITCH, NB CA"
93,-60.75,46.1,4966,"BADDECK, NS CA"
94,-60.75,46.1,4966,"BADDECK BELL, NS CA"
95,-62.65,45.7,4851,"BRAESHORE, NS CA"
96,-64.55,44.4,4954,"BRIDGEWATER, NS CA"
97,-64.45,45.15,4959,"CANNING, NS CA"
98,-64.25,44.55,4954,"CHESTER, NS CA"
99,-60.95,46.65,4966,"CHETICAMP, NS CA"
100,-60.95,46.65,4966,"CHETICAMP CS, NS CA"
101,-63.1,45.65,4851,"COLLEGE GRANT, NS CA"
102,-61.5,45.35,4958,"DICKIE BROOK, NS CA"
103,-64.0,44.95,4958,"FIVE MILE LAKE, NS CA"
104,-61.05,46.55,4966,"GRAND ETANG, NS CA"
105,-63.6,44.65,4958,"HALIFAX, NS CA"
106,-61.3,46.2,4851,"INVERNESS, NS CA"
107,-65.2,44.4,4954,"KEJIMKUJIK 1, NS CA"
108,-62.5,45.05,4958,"LISCOMB GAME SANCTUARY, NS CA"
109,-60.0,45.9,4963,"LOUISBOURG, NS CA"
110,-60.75,45.6,4851,"LOWER L ARDOISE, NS CA"
111,-62.05,45.75,4955,"MARYVALE, NS CA"
112,-64.7,44.55,4954,"NEW GERMANY, NS CA"
113,-63.65,45.3,4851,"NOEL SHORE EXPERIMENTAL ST, NS CA"
114,-61.0,46.35,4966,"NORTHEAST MARGAREE, NS CA"
