,Longitude,Latitude,Soil Mapping Unit,Country
0,-49.63,-27.21,7001,"RIO DO SUL NOVO PCD, BR"
1,-49.83,-27.41,7001,"AGROLANDIA, BR"
2,-49.09,-27.2,12810,"BOTUVERA MONTANTE, BR"
3,-49.33,-27.33,12677,"SALSEIRO PCD, BR"
4,-50.75,-27.9,12644,"CAMPO BELO DO SUL, BR"
5,-50.33,-27.81,7001,"ENCRUZILHADA II, BR"
6,-50.92,-27.02,7001,"FRAIBURGO I, BR"
7,-50.92,-27.02,7001,"FRAIBURGO I, BR"
8,-50.92,-27.02,7001,"FRAIBURGO I, BR"
9,-50.92,-27.02,7001,"FRAIBURGO I, BR"
10,-50.1,-27.92,12644,"PAINEL, BR"
11,-50.1,-27.92,12644,"PAINEL, BR"
12,-50.86,-27.54,12864,"PASSO CARU, BR"
13,-50.75,-27.33,12864,"PASSO MAROMBAS, BR"
14,-50.47,-27.16,12644,"PONTE ALTA DO NORTE, BR"
15,-50.38,-27.48,12644,"PONTE ALTA DO SUL, BR"
16,-50.38,-27.48,12644,"PONTE ALTA DO SUL, BR"
17,-50.43,-27.34,12644,"PONTE DO RIO ANTINHAS, BR"
18,-50.65,-27.07,12644,"PONTE DO RIO CORRENTE, BR"
19,-50.65,-27.07,12644,"PONTE DO RIO CORRENTE, BR"
20,-50.03,-27.1,12677,"BARRAGEM OESTE, BR"
21,-50.58,-27.66,12644,"SAO JOSE DO CERRITO, BR"
22,-50.58,-27.66,12644,"SAO JOSE DO CERRITO, BR"
23,-50.26,-27.14,12644,"CABECEIRA RIBEIRAO CAETANO, BR"
24,-50.46,-27.12,12644,"PONTE ALTA DO NORTE CIFSUL, BR"
25,-50.46,-27.12,12644,"PONTE ALTA DO NORTE CIFSUL, BR"
26,-51.13,-27.69,12644,"ANITA GARIBALDI, BR"
27,-51.5,-27.17,7001,"JOACABA, BR"
28,-51.77,-27.7,12842,"PAIM FILHO, BR"
29,-51.81,-27.95,7001,"SANANDUVA, BR"
30,-51.91,-27.05,12666,"IRANI, BR"
31,-51.61,-27.34,7001,"CAPINZAL, BR"
32,-51.46,-27.68,12864,"BARRACAO, BR"
33,-51.46,-27.68,12864,"BARRACAO, BR"
34,-51.45,-28.0,12864,"CLEMENTE ARGOLO, BR"
35,-51.9,-27.46,12842,"MARCELINO RAMOS, BR"
36,-52.67,-27.12,12842,"USINA CHAPECO FLCSA, BR"
37,-52.67,-27.12,12842,"USINA CHAPECO FLCSA, BR"
38,-51.99,-27.31,12842,"CONCORDIA, BR"
39,-52.3,-27.85,12864,"EREBANGO, BR"
40,-52.27,-27.63,7001,"ERECHIM, BR"
41,-52.45,-27.39,12842,"ITATIBA DO SUL, BR"
42,-52.09,-27.59,12864,"GAURAMA, BR"
43,-53.03,-27.81,12842,"LINHA CESCON, BR"
44,-53.16,-27.07,12842,"PALMITOS, BR"
45,-53.16,-27.07,12842,"PALMITOS, BR"
46,-53.53,-27.0,12842,"IPORA, BR"
47,-53.07,-27.6,12842,"LIBERATO SALZANO, BR"
48,-53.31,-27.91,12600,"PALMEIRA DAS MISSOES, BR"
49,-53.68,-27.5,12864,"MIRAGUAI, BR"
50,-53.68,-27.5,12864,"MIRAGUAI, BR"
51,-54.13,-27.3,12842,"ALTO URUGUAI, BR"
52,-54.44,-27.65,12842,"TUCUNDUVA, BR"
53,-54.12,-27.97,12864,"ESQUINA ARAUJO, BR"
54,-54.12,-27.97,12864,"ESQUINA ARAUJO, BR"
55,-54.12,-27.97,12864,"ESQUINA ARAUJO, BR"
56,-54.12,-27.97,12864,"ESQUINA ARAUJO, BR"
57,-55.02,-27.85,12842,"PORTO LUCENA, BR"
58,-55.02,-27.85,12842,"PORTO LUCENA, BR"
59,-49.01,-28.26,12633,"ARMAZEM CAPIVARI, BR"
60,-48.92,-28.1,12633,"VARGEM DO CEDRO, BR"
61,-48.92,-28.1,12633,"VARGEM DO CEDRO, BR"
62,-48.7,-28.28,12633,"IMBITUBA, BR"
63,-48.97,-28.16,12633,"SAO MARTINHO JUSANTE PCD, BR"
64,-49.11,-28.42,12633,"RIO DO POUSO, BR"
65,-49.11,-28.42,12633,"RIO DO POUSO, BR"
66,-49.29,-28.36,7001,"ORLEANS MONTANTE PCD, BR"
67,-49.18,-28.33,12810,"SAO LUDGERO, BR"
68,-49.18,-28.33,12810,"SAO LUDGERO, BR"
69,-49.6,-28.96,12633,"TAQUARUCU, BR"
70,-49.64,-28.83,12633,"MELEIRO, BR"
71,-49.47,-28.75,12633,"FORQUILHINHA, BR"
72,-49.22,-28.18,12810,"GRAO PARA, BR"
73,-49.22,-28.18,12810,"GRAO PARA, BR"
74,-49.22,-28.18,12810,"GRAO PARA, BR"
