,index,Country,Region,Rating,Nratings,Label,Winery,Price,Wine_Variety
40,40,France,Saint-Julien,4.5,1101,Saint-Julien (Grand Cru Classé) 1998,Château Léoville Las Cases,"253,812","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
41,41,France,Margaux,4.5,1014,Grand Vin de Château Palmer (Grand Cru Classé) 2002,Chateau Palmer,"349,153","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
42,42,France,Saint-Julien,4.5,914,Saint-Julien (Grand Cru Classé) 1999,Château Léoville Las Cases,"278,580",['Cabernet Sauvignon']
43,43,France,Pauillac,4.5,769,Pauillac (Grand Cru Classé) 2016,Château Lynch-Bages,"274,865",['Petit Verdot']
44,44,France,Hérault,4.5,760,Vin de Pays de l'Hérault 2015,La Grange des Pères,"445,728",['Shiraz/Syrah']
45,45,United States,Oakville,4.5,757,Cabernet Sauvignon Reserve 2016,Groth,"262,727",['Cabernet Sauvignon']
46,46,Australia,Barossa Valley,4.5,720,Amon-Ra Shiraz 2005,Glaetzer,"148,314",['Shiraz/Syrah']
47,47,France,Pessac-Léognan,4.5,715,Château Haut-Bailly (Cru Classé de Graves) 2009,Château Haut-Bailly,"290,956",['Cabernet Sauvignon']
48,48,France,Pessac-Léognan,4.5,680,Pessac-Léognan (Grand Cru Classé de Graves) 1995,Château La Mission Haut-Brion,"439,532","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
49,49,France,Pessac-Léognan,4.5,654,Pessac-Léognan (Grand Cru Classé de Graves) 2008,Château La Mission Haut-Brion,"318,205",['Cabernet Sauvignon']
50,50,Argentina,Lujan de Cuyo,4.5,631,Malbec Estrella 1997,Weinert,"190,689",['Malbec']
51,51,France,Hérault,4.5,617,Vin de Pays de l'Hérault 2016,La Grange des Pères,"476,676",['Shiraz/Syrah']
52,52,South Africa,Stellenbosch,4.5,613,Select Shiraz 2001,Saxenburg,"148,314",['Shiraz/Syrah']
53,53,Chile,Maipo Valley,4.5,549,Bougainville Petite Sirah 2013,Santa Rita,"121,193",['Petite Sirah']
54,54,France,Saint-Estèphe,4.5,498,Saint-Estèphe (Grand Cru Classé) 1990,Château Calon-Ségur,"297,152","['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
55,55,France,Pessac-Léognan,4.5,484,Pessac-Léognan (Grand Cru Classé de Graves) 1990,Château Pape Clément,"282,294","['Cabernet Sauvignon', 'Merlot']"
56,56,Chile,Colchagua Valley,4.5,468,Folly Syrah 2005,Montes,"135,601",['Shiraz/Syrah']
57,57,France,Pauillac,4.5,461,Le Petit Mouton de Mouton Rothschild Pauillac 2015,Château Mouton Rothschild,"371,440",['Cabernet Sauvignon']
58,58,France,Margaux,4.5,396,Margaux (Grand Cru Classé) 1986,Château Rauzan-Ségla,"290,956","['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']"
59,59,United States,Napa Valley,4.5,393,FAY Cabernet Sauvignon 2006,Stag's Leap Wine Cellars,"228,827",['Cabernet Sauvignon']
60,60,France,Châteauneuf-du-Pape,4.5,345,Châteauneuf-du-Pape Vieilles Vignes 2007,Domaine de la Janasse,"267,437",['Grenache']
61,61,United States,Napa Valley,4.5,344,X2 2020,Paraduxx,"150,925","['Petit Verdot', 'Cabernet Sauvignon', 'Zinfandel']"
62,62,France,Pomerol,4.5,343,Pomerol 1995,Château Trotanoy,"445,728","['Merlot', 'Cabernet Franc']"
63,63,New Zealand,Waiheke Island,4.5,284,Mystae 2015,Destiny Bay Vineyards,"442,820","['Malbec', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc']"
