,index,Country,Region,Rating,Nratings,Label,Winery,Price,Wine_Variety
380,380,France,Saint-Émilion Grand Cru,4.2,8245,Saint-Émilion Grand Cru (Grand Cru Classé) 1975,Château Dassault,"143,081","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
381,381,France,Saint-Émilion Grand Cru,4.2,8245,Saint-Émilion Grand Cru (Grand Cru Classé) 1962,Château Dassault,"329,716","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
382,382,United States,Napa Valley,4.2,6353,Cabernet Sauvignon 2016,Black Stallion,"81,761","['Cabernet Sauvignon', 'Merlot', 'Malbec', 'Cabernet Franc', 'Petit Verdot']"
383,383,France,Saint-Émilion Grand Cru,4.2,5955,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1985,Château Larcis Ducasse,"329,716","['Cabernet Franc', 'Merlot']"
384,384,France,Saint-Émilion Grand Cru,4.2,4236,Saint-Émilion Grand Cru (Grand Cru Classé) 1975,Château l'Arrosee,"180,408","['Malbec', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc']"
385,385,United States,Dry Creek Valley,4.2,4065,Cortina Zinfandel 2003,Seghesio,"74,522",['Zinfandel']
386,386,United States,Napa Valley,4.2,3771,Napa Valley Cabernet Sauvignon 2016,Louis M. Martini,"93,685",['Cabernet Sauvignon']
387,387,United States,Alexander Valley,4.2,3250,Home Ranch Zinfandel 2000,Seghesio,"74,522",['Zinfandel']
388,388,Italy,Sforzato della Valtellina,4.2,3019,Sfursat di Valtellina 2000,Aldo Rainoldi,"111,783",['Nebbiolo']
389,389,New Zealand,Gimblett Gravels,4.2,2965,Gimblett Gravels Sophia 2022,Craggy Range,"139,849","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
390,390,New Zealand,Gimblett Gravels,4.2,2965,Gimblett Gravels Sophia 2021,Craggy Range,"131,373","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
391,391,New Zealand,Waiheke Island,4.2,2484,Ironclad 2007,Man O' War,"148,325","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
392,392,France,Côte-Rôtie,4.2,2452,Seigneur de Maugiron Côte-Rôtie 1988,Delas,"267,514",['Shiraz/Syrah']
393,393,United States,Napa Valley,4.2,2320,Cabernet Sauvignon 2001,Merryvale,"76,651",['Cabernet Sauvignon']
394,394,France,Corton Grand Cru 'Les Pougets',4.2,2316,Corton-Pougets Grand Cru Rouge 1995,Domaine des Héritiers Louis Jadot,"242,625",['Pinot Noir']
395,395,France,Corton Grand Cru 'Les Pougets',4.2,2316,Corton-Pougets Grand Cru Rouge 1989,Domaine des Héritiers Louis Jadot,"367,043",['Pinot Noir']
396,396,Italy,Montepulciano d'Abruzzo,4.2,2187,San Clemente Montepulciano d'Abruzzo  Terre di Casauria Riserva 2006,Cantina Zaccagnini,"106,460","['Pinot Grigio', 'Montepulciano']"
397,397,Italy,Brunello di Montalcino,4.2,2137,Brunello di Montalcino 2011,Argiano,"89,426",['Sangiovese']
398,398,France,Saint-Julien,4.2,2016,Saint-Julien (Grand Cru Classé) 2006,Château Talbot,"97,050","['Cabernet Sauvignon', 'Merlot', 'Petit Verdot', 'Cabernet Franc']"
399,399,Italy,Brunello di Montalcino,4.2,1931,Poggio alle Mura Brunello di Montalcino Riserva 1999,Banfi,"298,087",['Sangiovese']
400,400,France,Gevrey-Chambertin,4.2,1862,Vieilles Vignes Gevrey-Chambertin Cuvée Cœur de Roy 1997,Dugat-Py,"398,158",['Pinot Noir']
401,401,United States,Napa Valley,4.2,1819,Petite Sirah 2015,Stags' Leap,"97,943",['Shiraz/Syrah']
402,402,United States,Oakville,4.2,1768,Cabernet Sauvignon 2016,Groth,"119,235",['Cabernet Sauvignon']
403,403,France,Pauillac,4.2,1672,Pauillac (Grand Cru Classé) 2014,Château Batailley,"74,654","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc']"
404,404,New Zealand,Martinborough,4.2,1632,Pinot Noir 2022,Dry River,"101,706",['Pinot Noir']
405,405,New Zealand,Central Otago,4.2,1579,Calvert Pinot Noir 2007,Felton Road,"169,515",['Pinot Noir']
406,406,France,Gevrey-Chambertin Premier Cru,4.2,1446,Gevrey-Chambertin Premier Cru Clos Saint-Jacques 1998,Louis Jadot,"354,605",['Pinot Noir']
407,407,New Zealand,Central Otago,4.2,1398,Home Vineyard Pinot Noir 2022,Prophet's Rock,"61,020",['Pinot Noir']
408,408,France,Pessac-Léognan,4.2,1344,Pessac-Léognan (Grand Cru Classé de Graves) 2009,Château Malartic-Lagravière,"102,022","['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
409,409,United States,Red Hills Lake County,4.2,1343,Estate Grown Cabernet Sauvignon 2019,Obsidian Ridge,"59,325",['Cabernet Sauvignon']
410,410,France,Saint-Émilion Grand Cru,4.2,1277,Saint-Émilion Grand Cru (Grand Cru Classé) 2012,Château de Ferrand,"106,460","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
411,411,France,Pessac-Léognan,4.2,1242,Pessac-Léognan 2016,Château Larrivet Haut-Brion,"74,654","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc']"
412,412,Argentina,Mendoza,4.2,1234,Cabernet Sauvignon 2013,Rutini,"71,541",['Cabernet Sauvignon']
413,413,France,Pessac-Léognan,4.2,1225,Pessac-Léognan (Grand Cru Classé de Graves) 2006,Domaine de Chevalier,"111,981","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Petit Verdot']"
414,414,France,Pomerol,4.2,1195,Clos de la Vieille Eglise Pomerol 2004,Jean-Louis Trocard,"85,168","['Cabernet Franc', 'Merlot']"
415,415,France,Pomerol,4.2,1195,Clos de la Vieille Eglise Pomerol 2002,Jean-Louis Trocard,"178,852","['Cabernet Franc', 'Merlot']"
416,416,New Zealand,Central Otago,4.2,1156,Super Nanny Pinot Noir 2021,Nanny Goat,"72,039",['Pinot Noir']
417,417,Australia,Great Western,4.2,1141,Bin No 0 Shiraz 2003,Best's,"106,460",['Shiraz/Syrah']
418,418,Italy,Toscana,4.2,1059,Solengo 2012,Argiano,"125,623","['Shiraz/Syrah', 'Merlot', 'Cabernet Sauvignon', 'Petit Verdot']"
419,419,United States,Yamhill-Carlton District,4.2,1014,Mount Richmond Pinot Noir 2008,Elk Cove,"88,532",['Pinot Noir']
420,420,France,Châteauneuf-du-Pape,4.2,981,Châteauneuf-du-Pape Vieilles Vignes Rouge 2003,Tardieu-Laurent,"236,398","['Grenache', 'Shiraz/Syrah', 'Mourvedre']"
421,421,New Zealand,Waiheke Island,4.2,954,Kokoro 2019,Te Motu,"83,906","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec']"
422,422,New Zealand,Waitaki,4.2,942,Waitaki Vineyard Pinot Noir 2022,Valli,"80,515",['Pinot Noir']
423,423,United States,Napa Valley,4.2,939,Estate Grown Merlot 2001,Duckhorn,"183,111",['Merlot']
424,424,France,Margaux,4.2,923,Margaux (Grand Cru Classé) 2016,Château Lascombes,"147,814","['Merlot', 'Cabernet Sauvignon', 'Petit Verdot']"
425,425,France,Saint-Émilion Grand Cru,4.2,892,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2008,Château Canon,"141,842","['Merlot', 'Cabernet Franc']"
426,426,Portugal,Bairrada,4.2,858,Principal Reserva Bairrada 2009,Colinas de São Lourenço,"204,829","['Cabernet Sauvignon', 'Touriga Nacional', 'Shiraz/Syrah']"
427,427,Portugal,Bairrada,4.2,858,Principal Reserva Bairrada 2013,Colinas de São Lourenço,"212,494","['Cabernet Sauvignon', 'Touriga Nacional', 'Shiraz/Syrah']"
428,428,France,Pauillac,4.2,828,Pauillac (Grand Cru Classé) 2004,Château Batailley,"111,981","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
429,429,New Zealand,Bannockburn,4.2,774,Bannockburn Pinot Noir 2015,Felton Road,"145,782",['Pinot Noir']
430,430,France,Saint-Estèphe,4.2,766,Saint-Estèphe (Grand Cru Classé) 2002,Château Montrose,"321,011","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot']"
431,431,France,Saint-Émilion Grand Cru,4.2,755,Saint-Émilion Grand Cru (Grand Cru Classé) 2016,Château Yon-Figeac,"67,188","['Merlot', 'Petit Verdot', 'Cabernet Franc']"
432,432,New Zealand,Hawke's Bay,4.2,694,Homage Syrah 2019,Trinity Hill,"135,611",['Shiraz/Syrah']
433,433,Argentina,Uco Valley,4.2,660,Gran Lurton Grande Reserve Cabernet Sauvignon 2005,François Lurton,"51,101",['Cabernet Sauvignon']
434,434,Italy,Brunello di Montalcino,4.2,617,Brunello di Montalcino 2002,Banfi,"121,364",['Sangiovese']
435,435,Italy,Amarone della Valpolicella Valpantena,4.2,616,Amarone della Valpolicella Valpantena 2019,Bertani,"53,751","['Corvina Veronese', 'Rondinella']"
436,436,New Zealand,Bannockburn,4.2,614,Bannockburn Pinot Noir 2020,Felton Road,"129,677",['Pinot Noir']
437,437,France,Saint-Émilion Grand Cru,4.2,585,Saint-Émilion Grand Cru (Grand Cru Classé) 2012,Château La Marzelle,"119,235","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
438,438,Argentina,Uco Valley,4.2,578,Laborde Double Select Syrah 2017,Luca,"48,972",['Shiraz/Syrah']
439,439,Italy,Abruzzo,4.2,567,Confronto 2014,Collefrisio,"83,464",['Montepulciano']
440,440,France,Pauillac,4.2,555,Pauillac (Grand Cru Classé) 2001,Château Grand-Puy-Lacoste,"136,870","['Merlot', 'Cabernet Sauvignon']"
441,441,France,Haut-Médoc,4.2,553,Haut-Médoc 1999,Château Sociando-Mallet,"179,169","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
442,442,New Zealand,Gibbston,4.2,552,Pinot Noir 2017,Brennan,"32,201",['Pinot Noir']
443,443,France,Saint-Julien,4.2,524,Saint-Julien (Grand Cru Classé) 1994,Château Gruaud Larose,"130,644","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
444,444,France,Gevrey-Chambertin 1er Cru 'Clos St Jacques',4.2,523,Gevrey-Chambertin 1er Cru 'Lavaux St-Jacques' 2016,Harmand-Geoffroy,"167,971",['Pinot Noir']
445,445,France,Margaux,4.2,500,Margaux 2005,Château Rauzan-Gassies,"211,524","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
446,446,France,Saint-Julien,4.2,459,Saint-Julien (Grand Cru Classé) 2002,Château Branaire-Ducru,"97,050",['Cabernet Sauvignon']
447,447,France,Moulis-en-Médoc,4.2,436,Moulis-en-Médoc 1990,Château Chasse-Spleen,"164,238","['Cabernet Sauvignon', 'Petit Verdot']"
448,448,France,Pomerol,4.2,430,Pomerol 2006,Château Latour à Pomerol,"143,081","['Merlot', 'Cabernet Franc']"
449,449,New Zealand,Central Otago,4.2,423,Reserve Pinot Noir 2006,Gibbston Valley,"234,212",['Pinot Noir']
450,450,New Zealand,Central Otago,4.2,423,Reserve Pinot Noir 2021,Gibbston Valley,"118,658",['Pinot Noir']
451,451,New Zealand,Central Otago,4.2,423,Reserve Pinot Noir 2005,Gibbston Valley,"251,245",['Pinot Noir']
452,452,Italy,Irpinia,4.2,419,Terra d'Eclano Aglianico Irpinia 2015,Quintodecimo,"110,718",['Aglianico']
453,453,France,Volnay,4.2,411,Volnay 2005,Domaine des Comtes Lafon,"283,684",['Pinot Noir']
454,454,New Zealand,Gimblett Gravels,4.2,402,Gimblett Gravels Le Sol 2013,Craggy Range,"237,325",['Shiraz/Syrah']
455,455,Australia,McLaren Vale,4.2,402,G.A.M. Shiraz 2005,Mitolo,"89,426",['Shiraz/Syrah']
456,456,France,Pessac-Léognan,4.2,400,Le Clarence de Haut Brion Pessac-Léognan (Château Bahans Haut-Brion) 2004,Château Haut-Brion,"155,534",['Cabernet Sauvignon']
457,457,France,Saint-Julien,4.2,393,Saint-Julien (Grand Cru Classé) 1996,Château Branaire-Ducru,"143,081","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot']"
458,458,France,Saint-Estèphe,4.2,391,Cos d'Estournel 1970,Cos d'Estournel,"298,615","['Merlot', 'Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc']"
459,459,France,Margaux,4.2,385,Château Margaux (Premier Grand Cru Classé) 1975,Château Margaux,"432,992","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
460,460,France,Pomerol,4.2,365,Pomerol 2000,Château Nénin,"118,207",['Merlot']
461,461,France,Pauillac,4.2,357,Pauillac (Grand Cru Classé) 1995,Château Batailley,"121,939","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
462,462,France,Pomerol,4.2,352,Pomerol 2012,Château Lafleur-Gazin,"111,981",['Merlot']
463,463,France,Pessac-Léognan,4.2,330,Pessac-Léognan (Grand Cru Classé de Graves) 1988,Château Pape Clément,"179,169","['Cabernet Sauvignon', 'Merlot']"
464,464,France,Saint-Julien,4.2,322,Saint-Julien (Grand Cru Classé) 1989,Château Lagrange,"134,377","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
465,465,United States,Napa Valley,4.2,316,Proprietary Red 2020,Paraduxx,"38,606","['Shiraz/Syrah', 'Cabernet Sauvignon', 'Malbec', 'Zinfandel', 'Petite Sirah', 'Petit Verdot']"
466,466,United States,Napa County,4.2,309,Omaggio Four Generation 2002,Seghesio,"108,589","['Cabernet Sauvignon', 'Sangiovese']"
467,467,New Zealand,Hawke's Bay,4.2,302,The Aviator 2019,Alpha Domus,"71,954","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot']"
468,468,New Zealand,Hawke's Bay,4.2,302,The Aviator 2018,Alpha Domus,"71,954","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot']"
469,469,France,Pessac-Léognan,4.2,297,Pessac-Léognan 2005,Château les Carmes Haut-Brion,"209,030","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
470,470,France,Saint-Julien,4.2,279,Saint-Julien (Grand Cru Classé) 1998,Château Branaire-Ducru,"111,981","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Petit Verdot']"
471,471,United States,Napa Valley,4.2,278,Candlestick 2020,Paraduxx,"88,243","['Shiraz/Syrah', 'Grenache']"
472,472,Italy,Brunello di Montalcino,4.2,253,Brunello di Montalcino 2018,Poggio Landi,"59,648",['Sangiovese']
473,473,New Zealand,Central Otago,4.2,251,Le Maitre Pinot Noir 2021,Gibbston Valley,"110,182",['Pinot Noir']
474,474,New Zealand,Central Otago,4.2,251,Le Maitre Pinot Noir 2022,Gibbston Valley,"110,182",['Pinot Noir']
475,475,France,Pauillac,4.2,247,Les Forts de Latour Pauillac 1997,Château Latour,"245,150","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
476,476,New Zealand,Central Otago,4.2,247,The Siren Pinot Noir 2022,Akarua,"92,773",['Pinot Noir']
477,477,New Zealand,Waiheke Island,4.2,240,Reserve The Mayor 2018,Obsidian,"81,808","['Cabernet Franc', 'Malbec', 'Petit Verdot']"
478,478,France,Cornas,4.2,237,Cornas 2007,Auguste Clape,"377,635",['Shiraz/Syrah']
479,479,Australia,Langhorne Creek,4.2,236,Anvers The Warrior Shiraz 2005,Anvers,"203,401",['Shiraz/Syrah']
480,480,Italy,Contea di Sclafani,4.2,222,Rosso del Conte 2006,Tenuta Regaleali,"125,007","[""Nero d'Avola"", 'Perricone']"
481,481,France,Pessac-Léognan,4.2,212,Le Clarence de Haut Brion Pessac-Léognan (Château Bahans Haut-Brion) 1999,Château Haut-Brion,"326,867","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc']"
482,482,New Zealand,Waiheke Island,4.2,211,Dreadnought 2011,Man O' War,"113,860",['Shiraz/Syrah']
483,483,France,Hermitage,4.2,210,Hermitage 2019,Gilles Robin,"121,832",['Shiraz/Syrah']
484,484,France,Saint-Joseph,4.2,206,Saint-Joseph Les Granits  2009,M. Chapoutier,"163,434",['Shiraz/Syrah']
485,485,New Zealand,Martinborough,4.2,199,Single Vineyard Pinot Noir 2022,Devotus,"50,600",['Pinot Noir']
486,486,Italy,Calabria,4.2,198,160 Anni 2013,Ippolito 1845,"72,038",['Gaglioppo']
487,487,Italy,Abruzzo,4.2,196,Masseri Primitivo 2021,Tenuta Ulisse,"37,070",['Primitivo']
488,488,France,Pauillac,4.2,195,Les Forts de Latour Pauillac 1993,Château Latour,"260,008","['Merlot', 'Cabernet Sauvignon']"
489,489,New Zealand,Central Otago,4.2,194,The Viper Parkburn Pinot Noir 2021,Chard Farm,"71,686",['Pinot Noir']
490,490,New Zealand,Central Otago,4.2,193,Pinot Noir 2020,Black Quail,"46,382",['Pinot Noir']
491,491,Argentina,Tunuyán,4.2,188,Primus Malbec (Primum) 2003,Salentein,"30,510",['Malbec']
492,492,France,Saint-Émilion Grand Cru,4.2,185,Saint-Émilion Grand Cru (Grand Cru Classé) 2005,Château Yon-Figeac,"105,236","['Merlot', 'Petit Verdot', 'Cabernet Franc']"
493,493,Italy,Chianti Classico,4.2,183,Chianti Classico Gran Selezione 2011,Lornano,"83,903",['Sangiovese']
494,494,New Zealand,Central Otago,4.2,183,Rendition Pinot Noir 2021,Matt Connell,"41,321",['Pinot Noir']
495,495,France,Saint-Émilion Grand Cru,4.2,183,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1995,Château Beau-Sejour Becot,"260,008","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
496,496,France,Saint-Émilion Grand Cru,4.2,182,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1996,Clos Fourtet,"179,524","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
497,497,France,Corton Grand Cru,4.2,177,Le Corton Grand Cru 2008,Bouchard Père & Fils,"235,240",['Pinot Noir']
498,498,Italy,Taurasi,4.2,176,Taurasi Radici 2000,Mastroberardino,"84,751",['Aglianico']
499,499,France,Saint-Estèphe,4.2,173,Saint-Estèphe (Grand Cru Classé) 1976,Château Montrose,"191,916","['Merlot', 'Cabernet Sauvignon']"
500,500,France,Pomerol,4.2,170,Pomerol 2000,Château La Croix de Gay,"110,741","['Cabernet Franc', 'Merlot']"
501,501,France,Pomerol,4.2,170,Pomerol 2008,Château La Fleur de Gay,"209,030",['Merlot']
502,502,France,Pauillac,4.2,168,Pauillac (Grand Cru Classé) 1997,Château d'Armailhac,"97,050","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
503,503,New Zealand,Central Otago,4.2,164,Pinot Noir 2022,Rockburn,"41,525",['Pinot Noir']
504,504,France,Saint-Julien,4.2,159,Saint-Julien (Grand Cru Classé) 1981,Château Beychevelle,"323,504","['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']"
505,505,Australia,Barossa Valley,4.2,157,Reiver Shiraz 2005,Mitolo,"89,426",['Shiraz/Syrah']
506,506,Argentina,Vista Flores,4.2,156,Gran Corte 2017,Flechas de los Andes,"34,493","['Shiraz/Syrah', 'Malbec', 'Merlot']"
507,507,United States,Napa Valley,4.2,152,Cabernet Sauvignon 2004,Robert Mondavi Winery,"80,484",['Cabernet Sauvignon']
508,508,Australia,Clare Valley,4.2,151,Oracle Shiraz 2005,Kilikanoon,"127,752",['Shiraz/Syrah']
509,509,Hungary,Balaton,4.2,149,Tulipán 2009,Ikon,"126,900","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Shiraz/Syrah']"
510,510,France,Pessac-Léognan,4.2,146,Pessac-Léognan (Grand Cru Classé de Graves) 1985,Château Pape Clément,"161,745","['Cabernet Sauvignon', 'Merlot']"
511,511,Argentina,Las Compuertas,4.2,145,Single Vineyard Las Compuertas Malbec 2004,Terrazas de los Andes,"80,909",['Malbec']
512,512,France,Pomerol,4.2,141,Pomerol 1995,Château Certan de May,"186,634","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
513,513,Hungary,Szekszárd,4.2,141,Bartina 2009,Takler,"139,675","['Merlot', 'Kékfrankos', 'Cabernet Jura']"
514,514,France,Pauillac,4.2,135,Pauillac (Grand Cru Classé) 1985,Château Haut-Bages Libéral,"136,870","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
515,515,France,Pessac-Léognan,4.2,133,Pessac-Léognan (Grand Cru Classé de Graves) 1986,Domaine de Chevalier,"180,408","['Cabernet Franc', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon']"
516,516,France,Pauillac,4.2,129,Pauillac (Grand Cru Classé) 1986,Château Grand-Puy Ducasse,"143,081","['Cabernet Sauvignon', 'Merlot']"
517,517,France,Saint-Émilion Grand Cru,4.2,128,Château Prieuré La Marzelle Saint-Émilion Grand Cru 2015,Château La Marzelle,"95,814","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
518,518,France,Saint-Estèphe,4.2,127,Saint-Estèphe (Grand Cru Classé) 1993,Château Calon-Ségur,"174,197","['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc']"
519,519,Argentina,San Carlos,4.2,126,Los Indios Parcel Malbec 2011,Doña Paula,"153,302",['Malbec']
520,520,Hungary,Balaton,4.2,125,Evangelista Cabernet Franc 2009,Ikon,"84,316",['Cabernet Franc']
521,521,France,Châteauneuf-du-Pape,4.2,124,Châteauneuf-du-Pape La Cuvée du Papet 2016,Clos du Mont-Olivet,"141,842",['Grenache']
522,522,United States,Anderson Valley,4.2,124,Jackson Estate Outland Ridge Pinot Noir 2017,Kendall-Jackson,"93,685",['Pinot Noir']
523,523,New Zealand,Martinborough,4.2,122,Pinot Noir 2020,Ata Rangi,"76,277",['Pinot Noir']
524,524,New Zealand,Matakana,4.2,120,Sangiovese Reserve 2019,Heron's Flight,"101,706",['Sangiovese']
525,525,New Zealand,Matakana,4.2,120,Sangiovese Reserve 2020,Heron's Flight,"54,817",['Sangiovese']
526,526,Hungary,Szekszárd,4.2,117,Reserve Bikavér 2009,Takler,"96,616","['Cabernet Franc', 'Merlot']"
527,527,Australia,McLaren Vale,4.2,114,Syrah 2008,Alpha Crucis,"169,501",['Shiraz/Syrah']
528,528,New Zealand,Martinborough,4.2,111,Aroha Te Muna Road Vineyard Pinot Noir 2011,Craggy Range,"168,685",['Pinot Noir']
529,529,France,Margaux,4.2,110,Margaux (Grand Cru Classé) 1981,Château Lascombes,"148,576","['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']"
530,530,Italy,Taurasi,4.2,106,Taurasi Naturalis Historia Riserva 2000,Mastroberardino,"110,176",['Aglianico']
531,531,New Zealand,Alexandra,4.2,106,The Last Chance Earnscleugh Vineyard Pinot Noir 2019,Two Paddocks,"109,642",['Pinot Noir']
532,532,France,Hermitage,4.2,104,Hermitage Monier de la Sizeranne 2001,M. Chapoutier,"111,432",['Shiraz/Syrah']
533,533,Argentina,Vista Flores,4.2,103,Gran Corte 2015,Flechas de los Andes,"33,900","['Shiraz/Syrah', 'Malbec', 'Merlot']"
534,534,New Zealand,Central Otago,4.2,102,Poison Creek Pinot Noir 2022,Maude,"42,165",['Pinot Noir']
535,535,New Zealand,Central Otago,4.2,101,Calvert Pinot Noir 2021,Felton Road,"100,364",['Pinot Noir']
536,536,France,Saint-Émilion Grand Cru,4.2,101,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1997,Château Canon-La-Gaffelière,"154,772","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
537,537,New Zealand,Waiheke Island,4.2,99,Larose Red Blend 2009,Stonyridge Vineyard,"437,759","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
538,538,New Zealand,Central Otago,4.2,98,Mohawk Hill Pinot Noir 2021,Maude,"42,165",['Pinot Noir']
539,539,Italy,Toscana,4.2,96,Pietraforte Cabernet Sauvignon 1995,Carobbio,"74,157",['Cabernet Sauvignon']
540,540,Portugal,Dão,4.2,92,Touriga Nacional 2013,Quinta de Lemos,"127,126",['Touriga Nacional']
541,541,France,Pomerol,4.2,91,Clos de la Vieille Eglise Pomerol 2015,Jean-Louis Trocard,"101,701","['Cabernet Franc', 'Merlot']"
542,542,France,Madiran,4.2,89,La Tyre Madiran 2002,Château Montus,"163,434",['Tannat']
543,543,New Zealand,Waiheke Island,4.2,88,Larose Red Blend 2011,Stonyridge Vineyard,"420,890","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
544,544,France,Pauillac,4.2,82,Les Forts de Latour Pauillac 1986,Château Latour,"309,528","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']"
545,545,United States,Alexander Valley,4.2,80,Marian's Reserve 2012,Seghesio,"114,413","['Sangiovese', 'Zinfandel', 'Petite Sirah', 'Carignan']"
546,546,France,Pomerol,4.2,77,Pomerol 1979,Vieux Château Certan,"278,580","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
547,547,Australia,Barossa,4.2,73,Stonewell Shiraz 1999,Peter Lehmann,"233,064",['Shiraz/Syrah']
548,548,France,Saint-Émilion Grand Cru,4.2,69,Saint-Émilion Grand Cru (Grand Cru Classé) 2009,Château Les Grandes Murailles,"105,236","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
549,549,New Zealand,Central Otago,4.2,69,Kids Block Pinot Noir 2022,Maude,"46,382",['Pinot Noir']
550,550,France,Pauillac,4.2,66,Lacoste Borie Pauillac 1996,Château Grand-Puy-Lacoste,"111,981","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
551,551,France,Volnay,4.2,63,Volnay 1972,Château de Pommard,"335,942",['Pinot Noir']
552,552,France,Volnay,4.2,63,Volnay 1990,Château de Pommard,"201,565",['Pinot Noir']
553,553,France,Volnay,4.2,63,Volnay 1985,Château de Pommard,"164,238",['Pinot Noir']
554,554,Spain,Pla de Bages,4.2,63,Arnau Oller Selecció de la Familia 2009,Oller del Mas,"169,484",['Merlot']
555,555,France,Saint-Julien,4.2,62,Saint-Julien (Grand Cru Classé) 1976,Château Gruaud Larose,"161,745","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
556,556,Chile,Central Valley,4.2,60,Cabo de Hornos Special Reserve 2000,San Pedro,"136,269",['Cabernet Sauvignon']
557,557,Australia,Barossa Valley,4.2,59,Single Vineyard Shiraz - Cabernet Sauvignon 2018,Ubertas,"76,651","['Shiraz/Syrah', 'Cabernet Sauvignon']"
558,558,New Zealand,Central Otago,4.2,59,Verismo Pinot Noir 2012,Misha's Vineyard,"82,211",['Pinot Noir']
559,559,France,Saint-Estèphe,4.2,58,Saint-Estèphe (Grand Cru Classé) 1967,Château Montrose,"279,951","['Merlot', 'Cabernet Sauvignon']"
560,560,France,Saint-Émilion Grand Cru,4.2,57,Château Prieuré La Marzelle Saint-Émilion Grand Cru 2011,Château La Marzelle,"80,909","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
561,561,France,Pomerol,4.2,55,Pomerol 1988,Château l'Eglise-Clinet,"311,052","['Cabernet Franc', 'Merlot']"
562,562,France,Pauillac,4.2,55,Pauillac (Grand Cru Classé) 1979,Château Grand-Puy-Lacoste,"197,832","['Merlot', 'Cabernet Sauvignon']"
563,563,New Zealand,Central Otago,4.2,54,RKV Reserve Pinot Noir 2018,Amisfield,"152,563",['Pinot Noir']
564,564,New Zealand,Matakana,4.2,54,Private Reserve 2014,Providence,"211,896","['Merlot', 'Cabernet Franc', 'Malbec']"
