"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00040868","1750-03","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","8","2,a","4","2,a","1","2,a","17500325",",2,a","25.4","2,,a,25,","51.4","2,,,a"
"ASN00040868","1750-05","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","9","1,a","5","1,a","2","1,a","17500507",",1,a","69.0","1,,a,07,","139.2","1,,,a"
"ASN00040868","1998-12","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","12",",a","8",",a","3",",a","19981220",",,a","36.0",",,a,20,","143.2",",,,a"
"ASN00040868","2000-12","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","2","2,a","2","2,a","1","2,a","20001229",",2,a","37.0","2,,a,29,","50.0","2,,,a"
"ASN00040868","2001-02","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","11",",a","6",",a","1",",a","20010202",",,a","69.0",",,a,02,","139.0",",,,a"
"ASN00040868","2001-03","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","10",",a","7",",a","0",",a","20010313",",,a","14.0",",,a,13,","59.0",",,,a"
"ASN00040868","2001-04","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","10",",a","5",",a","0",",a","20010422",",,a","18.0",",,a,22,","38.0",",,,a"
"ASN00040868","2001-05","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","6","1,a","4","1,a","2","1,a","20010524",",1,a","44.0","1,,a,24,","80.0","1,,,a"
"ASN00040868","2001-08","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3",",a","1",",a","0",",a","20010827",",,a","6.0",",,a,27,","8.0",",,,a"
"ASN00040868","2001-09","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3",",a","3",",a","0",",a","20010902",",,a","22.0",",,a,02,","38.0",",,,a"
"ASN00040868","2001-10","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","7",",a","4",",a","0",",a","20011018",",,a","21.0",",,a,18,","46.0",",,,a"
"ASN00040868","2001-11","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","11",",a","8",",a","2",",a","20011112",",,a","58.0",",,a,12,","174.0",",,,a"
"ASN00040868","2002-01","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","4","5,a","3","5,a","2","5,a","20020101",",5,a","45.0","5,,a,01,","98.0","5,,,a"
"ASN00040868","2002-03","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3","3,a","3","3,a","0","3,a","20020330","+,3,a","11.0","3,,a,30,+","32.0","3,,,a"
"ASN00040868","2002-07","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","0","4,a","0","4,a","0","4,a","20020731","+,4,a","0.0","4,,a,31,+","0.0","4,,,a"
"ASN00040868","2002-09","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","2",",a","1",",a","0",",a","20020924",",,a","15.0",",,a,24,","16.0",",,,a"
"ASN00040868","2002-10","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","4",",a","2",",a","1",",a","20021028",",,a","39.0",",,a,28,","54.0",",,,a"
"ASN00040868","2002-11","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3","3,a","3","3,a","0","3,a","20021116",",3,a","19.0","3,,a,16,","44.0","3,,,a"
"ASN00040868","2002-12","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","5","2,a","3","2,a","1","2,a","20021227",",2,a","27.0","2,,a,27,","73.0","2,,,a"
"ASN00040868","2003-01","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","1",",a","0",",a","0",",a","20030125",",,a","1.0",",,a,25,","1.0",",,,a"
"ASN00040868","2003-02","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","14","1,a","11","1,a","6","1,a","20030228",",1,a","65.0","1,,a,28,","281.0","1,,,a"
"ASN00040868","2003-08","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","5","3,a","4","3,a","1","3,a","20030817",",3,a","32.8","3,,a,17,","58.8","3,,,a"
"ASN00040868","2004-04","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","10","2,a","7","2,a","0","2,a","20040429",",2,a","12.6","2,,a,29,","47.0","2,,,a"
"ASN00040868","2004-05","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","6","2,a","2","2,a","0","2,a","20040508",",2,a","9.0","2,,a,08,","19.6","2,,,a"
"ASN00040868","2004-06","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3","2,a","0","2,a","0","2,a","20040607",",2,a","2.2","2,,a,07,","4.8","2,,,a"
"ASN00040868","2004-07","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","1",",a","0",",a","0",",a","20040717",",,a","0.4",",,a,17,","0.6",",,,a"
"ASN00040868","2004-08","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","1","2,a","1","2,a","0","2,a","20040818",",2,a","6.6","2,,a,18,","6.8","2,,,a"
"ASN00040868","2004-09","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","7",",a","2",",a","0",",a","20040901",",,a","21.4",",,a,01,","28.8",",,,a"
"ASN00040868","2005-03","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","4",",a","1",",a","0",",a","20050320",",,a","8.0",",,a,20,","10.8",",,,a"
"ASN00040868","2005-04","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","15",",a","3",",a","0",",a","20050423",",,a","10.0",",,a,23,","35.8",",,,a"
"ASN00040868","2005-05","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","7","3,a","6","3,a","0","3,a","20050512",",3,a","13.8","3,,a,12,","38.0","3,,,a"
"ASN00040868","2005-09","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","4","1,a","2","1,a","0","1,a","20050928",",1,a","8.2","1,,a,28,","17.6","1,,,a"
"ASN00040868","2005-10","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","9",",a","7",",a","2",",a","20051014",",,a","36.2",",,a,14,","102.0",",,,a"
"ASN00040868","2006-02","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","7","3,a","2","3,a","0","3,a","20060208",",3,a","11.2","3,,a,08,","24.2","3,,,a"
"ASN00040868","2006-03","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","7",",a","3",",a","0",",a","20060303",",,a","20.4",",,a,03,","47.0",",,,a"
"ASN00040868","2006-04","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3",",a","2",",a","0",",a","20060417",",,a","5.0",",,a,17,","9.8",",,,a"
"ASN00040868","2006-05","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3","2,a","1","2,a","0","2,a","20060529",",2,a","9.0","2,,a,29,","11.0","2,,,a"
"ASN00040868","2006-06","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","4",",a","1",",a","1",",a","20060611",",,a","25.4",",,a,11,","28.8",",,,a"
"ASN00040868","2006-07","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","5","2,a","4","2,a","1","2,a","20060728",",2,a","31.2","2,,a,28,","65.4","2,,,a"
"ASN00040868","2006-12","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","8",",a","6",",a","1",",a","20061217",",,a","26.6",",,a,17,","83.0",",,,a"
"ASN00040868","2007-01","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","9","5,a","3","5,a","0","5,a","20070130",",5,a","13.4","5,,a,30,","36.0","5,,,a"
"ASN00040868","2007-04","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","2",",a","1",",a","0",",a","20070429",",,a","17.2",",,a,29,","18.6",",,,a"
"ASN00040868","2007-05","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","7",",a","3",",a","0",",a","20070522",",,a","8.8",",,a,22,","24.6",",,,a"
"ASN00040868","2007-06","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","10",",a","8",",a","2",",a","20070607",",,a","36.0",",,a,07,","127.6",",,,a"
"ASN00040868","2007-08","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","6","1,a","5","1,a","1","1,a","20070825",",1,a","44.2","1,,a,25,","100.6","1,,,a"
"ASN00040868","2007-09","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3","5,a","2","5,a","0","5,a","20070930",",5,a","8.6","5,,a,30,","12.8","5,,,a"
"ASN00040868","2007-11","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","6","1,a","3","1,a","1","1,a","20071108",",1,a","32.8","1,,a,08,","69.8","1,,,a"
"ASN00040868","2008-01","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","12",",a","7",",a","2",",a","20080115",",,a","47.4",",,a,15,","130.6",",,,a"
"ASN00040868","2008-07","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","12",",a","5",",a","1",",a","20080724",",,a","53.2",",,a,24,","122.6",",,,a"
"ASN00040868","2008-08","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","2",",a","1",",a","0",",a","20080823",",,a","4.0",",,a,23,","5.8",",,,a"
"ASN00040868","2008-09","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","5","2,a","4","2,a","0","2,a","20080904",",2,a","4.6","2,,a,04,","18.0","2,,,a"
"ASN00040868","2008-10","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","5","3,a","4","3,a","0","3,a","20081016",",3,a","15.2","3,,a,16,","35.8","3,,,a"
"ASN00040868","2008-11","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","9","2,a","8","2,a","1","2,a","20081117",",2,a","36.4","2,,a,17,","80.8","2,,,a"
"ASN00040868","2008-12","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","11",",a","6",",a","0",",a","20081230",",,a","15.0",",,a,30,","54.8",",,,a"
"ASN00040868","2009-01","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","12",",a","9",",a","1",",a","20090118",",,a","36.0",",,a,18,","114.0",",,,a"
"ASN00040868","2009-06","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","10","1,a","3","1,a","1","1,a","20090627",",1,a","39.2","1,,a,27,","70.2","1,,,a"
"ASN00040868","2009-07","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","2",",a","0",",a","0",",a","20090707",",,a","1.2",",,a,07,","1.8",",,,a"
"ASN00040868","2009-08","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","1",",a","1",",a","0",",a","20090813",",,a","9.2",",,a,13,","10.0",",,,a"
"ASN00040868","2009-09","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","3","4,a","2","4,a","0","4,a","20090908",",4,a","18.4","4,,a,08,","33.2","4,,,a"
"ASN00040868","2009-10","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","4",",a","1",",a","0",",a","20091014",",,a","2.8",",,a,14,","6.0",",,,a"
"ASN00040868","2009-11","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","8",",a","3",",a","0",",a","20091130",",,a","5.8",",,a,30,","21.2",",,,a"
"ASN00040868","2009-12","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","11","2,a","8","2,a","2","2,a","20091203",",2,a","46.0","2,,a,03,","141.2","2,,,a"
"ASN00040868","2010-01","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","10",",a","6",",a","2",",a","20100104",",,a","47.2",",,a,04,","111.4",",,,a"
"ASN00040868","2010-02","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","12",",a","8",",a","2",",a","20100202",",,a","53.6",",,a,02,","163.0",",,,a"
"ASN00040868","2010-04","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","0","1,a","0","1,a","0","1,a","20100430","+,1,a","0.0","1,,a,30,+","0.0","1,,,a"
"ASN00040868","2011-05","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","8",",a","4",",a","1",",a","20110524",",,a","28.6",",,a,24,","57.0",",,,a"
"ASN00040868","2011-06","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","4",",a","1",",a","0",",a","20110612",",,a","14.8",",,a,12,","18.0",",,,a"
"ASN00040868","2011-07","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","2",",a","2",",a","0",",a","20110716",",,a","18.0",",,a,16,","21.6",",,,a"
"ASN00040868","2011-09","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","4",",a","2",",a","0",",a","20110910",",,a","4.4",",,a,10,","9.2",",,,a"
"ASN00040868","2011-10","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","10",",a","7",",a","0",",a","20111008",",,a","16.6",",,a,08,","71.8",",,,a"
"ASN00040868","2011-11","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","0",",a","0",",a","0",",a","20111123",",,a","0.2",",,a,23,","0.2",",,,a"
"ASN00040868","2011-12","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","12",",a","9",",a","4",",a","20111202",",,a","85.8",",,a,02,","273.8",",,,a"
"ASN00040868","2012-01","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","11",",a","10",",a","3",",a","20120125",",,a","44.2",",,a,25,","193.0",",,,a"
"ASN00040868","2012-02","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","11",",a","9",",a","1",",a","20120208",",,a","48.0",",,a,08,","134.8",",,,a"
"ASN00040868","2012-03","-25.7417","152.2353","120.4","MOUNT JOSEPH TM, AS","13",",a","9",",a","3",",a","20120322",",,a","66.6",",,a,22,","217.6",",,,a"
