"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ASN00059051","1958-10","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7",",a","1",",a","0",",a","","","","","","","19581017",",,a","","","19.6",",,a,17,","","","26.8",",,,a","",""
"ASN00059051","1958-11","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","7",",a","5",",a","0",",a","","","","","","","19581117",",,a","","","8.4",",,a,17,","","","31.0",",,,a","",""
"ASN00059051","1958-12","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","14",",a","8",",a","3",",a","","","","","","","19581219",",,a","","","153.7",",,a,19,","","","285.9",",,,a","",""
"ASN00059051","1959-01","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","12","4,a","8","4,a","2","4,a","","","","","","","19590122",",4,a","","","181.4","4,,a,22,","","","313.7",",a,,a","",""
"ASN00059051","1959-02","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","8","2,a","7","2,a","4","2,a","","","","","","","19590218",",2,a","","","215.1","2,,a,18,","","","351.7",",a,,a","",""
"ASN00059051","1959-03","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","8","4,a","8","4,a","3","4,a","","","","","","","19590320",",4,a","","","94.2","4,,a,20,","","","382.0",",a,,a","",""
"ASN00059051","1959-04","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","10",",a","6",",a","1",",a","","","","","","","19590420",",,a","","","82.0",",,a,20,","","","140.8",",,,a","",""
"ASN00059051","1959-05","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","6","2,a","4","2,a","0","2,a","","","","","","","19590515",",2,a","","","13.7","2,,a,15,","","","39.6",",a,,a","",""
"ASN00059051","1959-06","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","13",",a","10",",a","1",",a","","","","","","","19590603",",,a","","","29.0",",,a,03,","","","124.8",",,,a","",""
"ASN00059051","1959-07","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","10",",a","7",",a","4",",a","","","","","","","19590721",",,a","","","43.2",",,a,21,","","","190.2",",,,a","",""
"ASN00059051","1959-08","-30.1167","153.1833","30.5","WOOLGOOLGA STATE FOREST, AS","9",",a","6",",a","2",",a","","","","","","","19590818",",,a","","","30.0",",,a,18,","","","124.5",",,,a","",""
