"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00014180","1966-11","-11.5472","132.9255","15.0","MURGANELLA, AS","","","3",",a","2",",a","0",",a","","","","","","","","","","","","","19661115",",,a","","","","","19.8",",,a,15,","","","","","","","24.6",",,,a","","","","","",""
"ASN00014180","1966-12","-11.5472","132.9255","15.0","MURGANELLA, AS","","","10",",a","9",",a","1",",a","","","","","","","","","","","","","19661217",",,a","","","","","30.5",",,a,17,","","","","","","","138.2",",,,a","","","","","",""
"ASN00014180","1967-01","-11.5472","132.9255","15.0","MURGANELLA, AS","","","20",",a","19",",a","6",",a","","","","","","","","","","","","","19670105",",,a","","","","","128.8",",,a,05,","","","","","","","478.6",",,,a","","","","","",""
"ASN00014180","1967-02","-11.5472","132.9255","15.0","MURGANELLA, AS","","","22",",a","19",",a","7",",a","","","","","","","","","","","","","19670219",",,a","","","","","72.4",",,a,19,","","","","","","","396.6",",,,a","","","","","",""
"ASN00014180","1967-03","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19670331","+,,a","","","","","0.0",",,a,31,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1967-04","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19670430","+,,a","","","","","0.0",",,a,30,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1967-05","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19670531","+,,a","","","","","0.0",",,a,31,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1967-06","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19670630","+,,a","","","","","0.0",",,a,30,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1967-07","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19670731","+,,a","","","","","0.0",",,a,31,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1967-08","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19670831","+,,a","","","","","0.0",",,a,31,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1967-09","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19670930","+,,a","","","","","0.0",",,a,30,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1967-10","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19671031","+,,a","","","","","0.0",",,a,31,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1967-11","-11.5472","132.9255","15.0","MURGANELLA, AS","","","5",",a","1",",a","0",",a","","","","","","","","","","","","","19671127",",,a","","","","","4.6",",,a,27,","","","","","","","10.7",",,,a","","","","","",""
"ASN00014180","1967-12","-11.5472","132.9255","15.0","MURGANELLA, AS","","","10",",a","10",",a","1",",a","","","","","","","","","","","","","19671202",",,a","","","","","31.2",",,a,02,","","","","","","","134.0",",,,a","","","","","",""
"ASN00014180","1968-01","-11.5472","132.9255","15.0","MURGANELLA, AS","","","21",",a","19",",a","7",",a","","","","","","","","","","","","","19680126",",,a","","","","","111.3",",,a,26,","","","","","","","521.6",",,,a","","","","","",""
"ASN00014180","1968-02","-11.5472","132.9255","15.0","MURGANELLA, AS","","","22",",a","22",",a","5",",a","","","","","","","","","","","","","19680222",",,a","","","","","91.7",",,a,22,","","","","","","","525.7",",,,a","","","","","",""
"ASN00014180","1968-03","-11.5472","132.9255","15.0","MURGANELLA, AS","","","15",",a","10",",a","3",",a","","","","","","","","","","","","","19680303",",,a","","","","","61.2",",,a,03,","","","","","","","234.6",",,,a","","","","","",""
"ASN00014180","1968-04","-11.5472","132.9255","15.0","MURGANELLA, AS","","","9",",a","8",",a","0",",a","","","","","","","","","","","","","19680402",",,a","","","","","18.3",",,a,02,","","","","","","","59.4",",,,a","","","","","",""
"ASN00014180","1968-05","-11.5472","132.9255","15.0","MURGANELLA, AS","","","13",",a","11",",a","1",",a","","","","","","","","","","","","","19680510",",,a","","","","","87.6",",,a,10,","","","","","","","189.2",",,,a","","","","","",""
"ASN00014180","1968-06","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19680630","+,,a","","","","","0.0",",,a,30,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1968-07","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19680731","+,,a","","","","","0.0",",,a,31,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1968-08","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19680831","+,,a","","","","","0.0",",,a,31,+","","","","","","","0.0",",,,a","","","","","",""
"ASN00014180","1968-09","-11.5472","132.9255","15.0","MURGANELLA, AS","","","0",",a","0",",a","0",",a","","","","","","","","","","","","","19680930","+,,a","","","","","0.0",",,a,30,+","","","","","","","0.0",",,,a","","","","","",""
