"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"BDM00078016","1965-04","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","36.8","X","16.8",",X","12",",X","6",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","8",",X","0",",X","","","","","19650414",",,X","19650430","+,,X","19650430","+,,X","1","","19650430",",,X","19650420",",,X","12.2",",X,14,","0",",,X,30,+","0",",,X,30,+","28.7",",,X,30,","22.8",",X,20,","186.9","X","37.6",",X","80.0",",,,X","0",",,,X","17.64",",X","19.39",",,,X","15.89",",,,X","","","330","1,X","","","24.2","1,X"
"BDM00078016","1965-05","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","112.1","X","75.3",",X","6",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","27",",X","0",",X","2","","","","19650515",",,X","19650531","+,,X","19650531","+,,X","1","","19650531",",,X","19650530","+,,X","16.1",",X,15,","0",",,X,31,+","0",",,X,31,+","7.4",",,X,31,","25.0",",X,30,+","186.9","X","0.0",",X","19.9",",,,X","0",",,,X","20.76",",X","22.47",",,,X","19.05",",,,X","","","340","2,X","","","15.9","2,X"
"BDM00078016","1965-06","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","287.6","X","175.5",",X","11",",X","9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","19650604","+,,X","19650630","+,,X","19650630","+,,X","","","19650620",",,X","19650626","+,,X","20.6",",X,04,+","0",",,X,30,+","0",",,X,30,+","18.8",",,X,20,","27.2",",X,26,+","186.9","X","0.0",",X","97.5",",,,X","0",",,,X","24.18",",X","25.82",",,,X","22.54",",,,X","","","250",",X","","","17.5",",X"
"BDM00078016","1965-07","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","542.5","X","254.9",",X","13",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","19650703",",,X","19650731","+,,X","19650731","+,,X","5","","19650704",",,X","19650726",",,X","21.7",",X,03,","0",",,X,31,+","0",",,X,31,+","28.7",",,X,04,","30.0",",X,26,","0.0","X","0.0",",X","101.3",",,,X","0",",,,X","26.56",",X","28.09",",,,X","25.02",",,,X","","","260",",X","","","14.9",",X"
"BDM00078016","1965-08","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","818.2","X","275.7",",X","8",",X","6",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","19650831","+,,X","19650831","+,,X","19650831","+,,X","7","","19650810",",,X","19650827","+,,X","23.3",",X,31,+","0",",,X,31,+","0",",,X,31,+","34.5",",,X,10,","30.6",",X,27,+","0.0","X","0.0",",X","104.9",",,,X","0",",,,X","27.23",",X","28.83",",,,X","25.62",",,,X","","","280",",X","","","15.4",",X"
"BDM00078016","1965-09","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","1029.9","X","211.7",",X","16",",X","7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","19650930",",,X","19650930","+,,X","19650930","+,,X","3","","19650929",",,X","19650915",",,X","20.6",",X,30,","0",",,X,30,+","0",",,X,30,+","23.1",",,X,29,","28.9",",X,15,","0.0","X","0.0",",X","90.1",",,,X","0",",,,X","25.39",",X","27.11",",,,X","23.67",",,,X","","","290","4,X","","","39.6","4,X"
"BDM00078016","1965-10","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","1173.2","X","143.3",",X","10",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","1","","","","19651030",",,X","19651031","+,,X","19651031","+,,X","1","","19651027",",,X","19651024","+,,X","17.8",",X,30,","0",",,X,31,+","0",",,X,31,+","32.3",",,X,27,","26.1",",X,24,+","0.0","X","0.0",",X","102.8",",,,X","0",",,,X","22.95",",X","24.35",",,,X","21.56",",,,X","","","300","4,X","","","16.4","4,X"
"BDM00078016","1965-11","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","1232.1","X","58.9",",X","15",",X","10",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","22",",X","0",",X","","","","","19651103",",,X","19651130","+,,X","19651130","+,,X","3","","19651124",",,X","19651111",",,X","16.1",",X,03,","0",",,X,30,+","0",",,X,30,+","22.9",",,X,24,","24.4",",X,11,","1.4","X","1.4",",X","101.5",",,,X","0",",,,X","20.25",",X","21.96",",,,X","18.54",",,,X","","","260","3,X","","","24.7","3,X"
"BDM00078016","1965-12","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","1244.9","X","12.8",",X","15",",X","13",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","12",",X","0",",X","","","","","19651209",",,X","19651231","+,,X","19651231","+,,X","4","","19651202",",,X","19651201",",,X","13.3",",X,09,","0",",,X,31,+","0",",,X,31,+","54.4",",,X,02,","22.8",",X,01,","21.9","X","20.5",",X","214.2",",,,X","0",",,,X","18.09",",X","19.84",",,,X","16.33",",,,X","","","230","1,X","","","23.1","1,X"
"BDM00078016","1966-01","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","4.8","X","4.8",",X","21",",X","12",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","","","","","19660120","+,,X","19660131","+,,X","19660131","+,,X","2","","19660123",",,X","19660116","+,,X","12.2",",X,20,+","0",",,X,31,+","0",",,X,31,+","64.5",",,X,23,","22.2",",X,16,+","78.7","X","56.8",",X","165.5",",,,X","0",",,,X","16.65",",X","18.37",",,,X","14.94",",,,X","","","300",",X","","","26.7",",X"
"BDM00078016","1966-02","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","8.5","X","3.7",",X","19",",X","10",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","","","","","19660206",",,X","19660228","+,,X","19660228","+,,X","2","","19660202",",,X","19660217","+,,X","9.4",",X,06,","0",",,X,28,+","0",",,X,28,+","24.9",",,X,02,","21.1",",X,17,+","147.0","X","68.3",",X","111.4",",,,X","0",",,,X","16.02",",X","17.68",",,,X","14.36",",,,X","","","230","1,X","","","22.1","1,X"
"BDM00078016","1966-03","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","10.2","X","1.7",",X","13",",X","10",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","19660329","+,,X","19660331","+,,X","19660331","+,,X","4","","19660331",",,X","19660331","+,,X","12.8",",X,29,+","0",",,X,31,+","0",",,X,31,+","26.4",",,X,31,","20.6",",X,31,+","195.8","X","48.8",",X","115.7",",,,X","0",",,,X","16.81",",X","18.44",",,,X","15.19",",,,X","","","300",",X","","","23.1",",X"
"BDM00078016","1966-04","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","24.3","X","14.1",",X","12",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","","","","","19660415","+,,X","19660430","+,,X","19660430","+,,X","","","19660417",",,X","19660405",",,X","13.9",",X,15,+","0",",,X,30,+","0",",,X,30,+","22.4",",,X,17,","22.2",",X,05,","222.2","X","26.4",",X","62.6",",,,X","0",",,,X","17.92",",X","19.61",",,,X","16.23",",,,X","","","290","3,X","","","25.2","3,X"
"BDM00078016","1966-05","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","135.5","X","111.2",",X","10",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","19660506","+,,X","19660531","+,,X","19660531","+,,X","1","","19660516",",,X","19660528","+,,X","16.7",",X,06,+","0",",,X,31,+","0",",,X,31,+","14.5",",,X,16,","25.6",",X,28,+","222.7","X","0.5",",X","40.7",",,,X","0",",,,X","21.90",",X","23.35",",,,X","20.45",",,,X","","","250","2,X","","","14.9","2,X"
"BDM00078016","1966-06","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","317.0","X","181.5",",X","7",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","19660604","+,,X","19660630","+,,X","19660630","+,,X","","","19660629",",,X","19660621",",,X","20.0",",X,04,+","0",",,X,30,+","0",",,X,30,+","38.4",",,X,29,","27.8",",X,21,","222.7","X","0.0",",X","117.1",",,,X","0",",,,X","24.38",",X","25.90",",,,X","22.86",",,,X","","","270","1,X","","","20.0","1,X"
"BDM00078016","1966-07","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","561.0","X","244.0",",X","16",",X","9",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","19660714",",,X","19660731","+,,X","19660731","+,,X","4","","19660707",",,X","19660730",",,X","22.2",",X,14,","0",",,X,31,+","0",",,X,31,+","50.0",",,X,07,","29.4",",X,30,","0.0","X","0.0",",X","152.9",",,,X","0",",,,X","26.20",",X","27.77",",,,X","24.64",",,,X","","","180",",X","","","16.4",",X"
"BDM00078016","1966-08","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","854.3","X","293.3",",X","16",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","","","","","19660829",",,X","19660831","+,,X","19660831","+,,X","3","","19660831",",,X","19660826",",,X","23.9",",X,29,","0",",,X,31,+","0",",,X,31,+","34.8",",,X,31,","31.1",",X,26,","0.0","X","0.0",",X","83.5",",,,X","0",",,,X","27.79",",X","29.54",",,,X","26.05",",,,X","","","180",",X","","","17.5",",X"
"BDM00078016","1966-09","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","1088.8","X","234.5",",X","15",",X","9",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","","","","","19660913",",,X","19660930","+,,X","19660930","+,,X","3","","19660915",",,X","19660908","+,,X","21.1",",X,13,","0",",,X,30,+","0",",,X,30,+","26.9",",,X,15,","29.4",",X,08,+","0.0","X","0.0",",X","128.9",",,,X","0",",,,X","26.15",",X","27.87",",,,X","24.42",",,,X","","","230",",X","","","21.6",",X"
"BDM00078016","1966-10","32.3667","-64.6833","6.1","L F WADE INTERNATIONAL AIRPORT KINDLEY FIELD, BD","","","1266.8","X","178.0",",X","23",",X","13",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","1","","","","19661031",",,X","19661031","+,,X","19661031","+,,X","3","","19661004",",,X","19661002","+,,X","20.0",",X,31,","0",",,X,31,+","0",",,X,31,+","92.5",",,X,04,","28.3",",X,02,+","0.0","X","0.0",",X","266.1",",,,X","0",",,,X","24.07",",X","25.66",",,,X","22.48",",,,X","","","290","1,X","","","21.1","1,X"
