"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00093033","1750-03","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","5","2,a","1","2,a","0","2,a","17500304",",2,a","2.7","2,,a,04,","5.9","2,,,a"
"ASN00093033","1964-07","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","8","2,a","7","2,a","0","2,a","19640702",",2,a","23.4","2,,a,02,","88.9",",a,,a"
"ASN00093033","1964-08","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","6",",a","0",",a","19640808",",,a","11.2",",,a,08,","39.6",",,,a"
"ASN00093033","1964-09","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","9",",a","7",",a","0",",a","19640916",",,a","17.0",",,a,16,","60.2",",,,a"
"ASN00093033","1964-10","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","6",",a","1",",a","19641003",",,a","26.2",",,a,03,","60.7",",,,a"
"ASN00093033","1964-11","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","5",",a","5",",a","0",",a","19641122",",,a","14.5",",,a,22,","39.6",",,,a"
"ASN00093033","1964-12","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","6",",a","0",",a","19641224",",,a","19.1",",,a,24,","49.1",",,,a"
"ASN00093033","1965-01","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","4",",a","0",",a","19650111",",,a","22.9",",,a,11,","43.9",",,,a"
"ASN00093033","1965-02","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","1",",a","1",",a","0",",a","19650220",",,a","3.3",",,a,20,","3.3",",,,a"
"ASN00093033","1965-03","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","5",",a","5",",a","0",",a","19650309",",,a","11.9",",,a,09,","25.3",",,,a"
"ASN00093033","1965-04","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","7",",a","6",",a","1",",a","19650420",",,a","25.4",",,a,20,","92.9",",,,a"
"ASN00093033","1965-05","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","9",",a","8",",a","0",",a","19650512",",,a","18.8",",,a,12,","54.5",",,,a"
"ASN00093033","1965-06","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","4",",a","3",",a","0",",a","19650620",",,a","7.6",",,a,20,","22.2",",,,a"
"ASN00093033","1965-07","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","4",",a","3",",a","0",",a","19650721",",,a","6.6",",,a,21,","14.0",",,,a"
"ASN00093033","1965-08","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","9",",a","3",",a","0",",a","19650819",",,a","5.1",",,a,19,","20.4",",,,a"
"ASN00093033","1965-09","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","7",",a","5",",a","1",",a","19650905",",,a","30.5",",,a,05,","54.0",",,,a"
"ASN00093033","1965-10","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","1",",a","1",",a","0",",a","19651008",",,a","11.4",",,a,08,","11.4",",,,a"
"ASN00093033","1965-11","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","7",",a","6",",a","0",",a","19651109",",,a","15.2",",,a,09,","50.2",",,,a"
"ASN00093033","1965-12","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","5",",a","0",",a","19651204",",,a","19.1",",,a,04,","52.3",",,,a"
"ASN00093033","1966-01","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","2",",a","1",",a","0",",a","19660115",",,a","2.5",",,a,15,","3.3",",,,a"
"ASN00093033","1966-02","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","3",",a","2",",a","0",",a","19660205",",,a","21.1",",,a,05,","40.4",",,,a"
"ASN00093033","1966-03","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","7",",a","5",",a","1",",a","19660323",",,a","28.7",",,a,23,","79.8",",,,a"
"ASN00093033","1966-04","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","3",",a","1",",a","19660422",",,a","26.2",",,a,22,","37.1",",,,a"
"ASN00093033","1966-05","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","7",",a","5",",a","0",",a","19660506",",,a","9.7",",,a,06,","29.5",",,,a"
"ASN00093033","1966-06","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","4",",a","3",",a","0",",a","19660603",",,a","5.6",",,a,03,","15.2",",,,a"
"ASN00093033","1966-07","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","8",",a","6",",a","0",",a","19660725",",,a","22.9",",,a,25,","74.3",",,,a"
"ASN00093033","1966-08","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","5",",a","5",",a","0",",a","19660822",",,a","17.5",",,a,22,","37.0",",,,a"
"ASN00093033","1966-09","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","10",",a","10",",a","0",",a","19660916",",,a","18.0",",,a,16,","90.7",",,,a"
"ASN00093033","1966-10","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","3",",a","0",",a","19661001",",,a","7.1",",,a,01,","17.8",",,,a"
"ASN00093033","1966-11","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","4",",a","0",",a","19661101",",,a","7.1",",,a,01,","22.3",",,,a"
"ASN00093033","1966-12","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","8",",a","7",",a","0",",a","19661218",",,a","15.2",",,a,18,","54.8",",,,a"
"ASN00093033","1967-01","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","3",",a","3",",a","0",",a","19670122",",,a","14.2",",,a,22,","23.0",",,,a"
"ASN00093033","1967-02","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","1",",a","1",",a","0",",a","19670225",",,a","15.2",",,a,25,","15.2",",,,a"
"ASN00093033","1967-03","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","2",",a","1",",a","0",",a","19670323",",,a","12.7",",,a,23,","14.5",",,,a"
"ASN00093033","1967-04","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","3",",a","0",",a","0",",a","19670420","+,,a","1.3",",,a,20,+","3.6",",,,a"
"ASN00093033","1967-05","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","4",",a","1",",a","0",",a","19670531",",,a","2.5",",,a,31,","5.9",",,,a"
"ASN00093033","1967-06","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","4",",a","2",",a","1",",a","19670630",",,a","29.7",",,a,30,","35.3",",,,a"
"ASN00093033","1967-07","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","8",",a","7",",a","0",",a","19670731",",,a","11.9",",,a,31,","42.1",",,,a"
"ASN00093033","1967-08","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","9",",a","7",",a","1",",a","19670823",",,a","39.1",",,a,23,","77.6",",,,a"
"ASN00093033","1967-09","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","8",",a","5",",a","0",",a","19670903",",,a","7.6",",,a,03,","27.4",",,,a"
"ASN00093033","1967-10","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","5",",a","4",",a","0",",a","19671001",",,a","8.9",",,a,01,","23.4",",,,a"
"ASN00093033","1967-11","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","3",",a","3",",a","0",",a","19671130",",,a","10.9",",,a,30,","19.5",",,,a"
"ASN00093033","1967-12","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","3",",a","3",",a","0",",a","19671219",",,a","21.1",",,a,19,","36.1",",,,a"
"ASN00093033","1968-01","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","3",",a","2",",a","0",",a","19680121",",,a","9.4",",,a,21,","18.3",",,,a"
"ASN00093033","1968-02","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","3",",a","2",",a","0",",a","19680221",",,a","22.1",",,a,21,","32.2",",,,a"
"ASN00093033","1968-03","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","6",",a","4",",a","0",",a","19680304",",,a","22.1",",,a,04,","57.7",",,,a"
"ASN00093033","1968-04","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","8",",a","5",",a","0",",a","19680417",",,a","17.3",",,a,17,","50.4",",,,a"
"ASN00093033","1968-05","-41.9347","147.4931","187.0","CAMPBELL TOWN ELIZABETH R, AS","9",",a","6",",a","0",",a","19680520","+,,a","10.9",",,a,20,+","50.9",",,,a"
