"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00039322","1750-03","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","255.8","2,a","0","2,a","0","2,a","0","2,a","29","2,a","0","2,a","17500309",",2,a","17500305",",2,a","22.4","2,a,09,","30.4","2,a,05,","","","0.0","2,a","27.16","2,a","28.80","2,,,a","25.51","2,,,a"
"ASN00039322","1750-05","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","162.5","1,a","0","1,a","0","1,a","0","1,a","30","1,a","0","1,a","17500521",",1,a","17500509",",1,a","18.1","1,a,21,","30.2","1,a,09,","","","0.0","1,a","23.75","1,a","25.62","1,,,a","21.87","1,,,a"
"ASN00039322","1995-07","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","","","0","2,a","0","2,a","","","","","","","19950704",",2,a","","","14.0","2,a,04,","","","","","","","","","","","16.37","2,,,a"
"ASN00039322","1997-01","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","205.2",",a","0",",a","0",",a","0",",a","31",",a","0",",a","19970120","+,,a","19970131","+,,a","20.0",",a,20,+","30.0",",a,31,+","0.0","a","0.0",",a","24.95",",a","26.97",",,,a","22.94",",,,a"
"ASN00039322","1997-02","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","200.6","4,a","0","2,a","0","2,a","0","2,a","26","2,a","0","2,a","19970221","+,2,a","19970222",",2,a","23.0","2,a,21,+","32.0","2,a,22,","0.0","a","0.0","2,a","26.81","4,a","28.73","2,,,a","24.88","2,,,a"
"ASN00039322","1997-03","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","169.9","5,a","0","2,a","0","2,a","0","3,a","28","3,a","0","3,a","19970326",",2,a","19970322",",3,a","20.0","2,a,26,","30.0","3,a,22,","0.0","a","0.0","3,a","24.84","5,a","26.66","3,,,a","23.02","2,,,a"
"ASN00039322","1997-04","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","","","0","4,a","0","4,a","0","3,a","27","3,a","0","3,a","19970430","+,4,a","19970419",",3,a","19.0","4,a,30,+","30.0","3,a,19,","","","","","23.23","5,a","25.30","3,,,a","21.15","4,,,a"
"ASN00039322","1997-08","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","20.8",",a","0",",a","0",",a","0",",a","6",",a","0",",a","19970826",",,a","19970818","+,,a","14.0",",a,26,","24.0",",a,18,+","","","8.2",",a","18.74",",a","20.81",",,,a","16.68",",,,a"
"ASN00039322","1997-09","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","89.8",",a","0",",a","0",",a","0",",a","27",",a","0",",a","19970912",",,a","19970929",",,a","16.0",",a,12,","27.0",",a,29,","","","0.3",",a","21.32",",a","23.03",",,,a","19.60",",,,a"
"ASN00039322","1997-10","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","138.7",",a","0",",a","0",",a","0",",a","31",",a","0",",a","19971024",",,a","19971031",",,a","18.0",",a,24,","28.0",",a,31,","","","0.0",",a","22.81",",a","24.58",",,,a","21.03",",,,a"
"ASN00039322","1997-11","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","193.5",",a","0",",a","0",",a","0",",a","30",",a","0",",a","19971106",",,a","19971128","+,,a","19.0",",a,06,","30.0",",a,28,+","","","0.0",",a","24.78",",a","26.67",",,,a","22.90",",,,a"
"ASN00039322","1997-12","-23.5293","151.2763","19.8","RUNDLE ISLAND, AS","","","254.7",",a","0",",a","0",",a","0",",a","31",",a","1",",a","19971212",",,a","19971221",",,a","21.0",",a,12,","33.0",",a,21,","","","0.0",",a","26.55",",a","28.55",",,,a","24.55",",,,a"
