"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00056065","1916-04","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","6",",a","0",",a","19160408",",,a","22.9",",,a,08,","88.7",",,,a"
"ASN00056065","1916-05","-30.7209","151.6675","1012.0","URALLA MIHI, AS","2",",a","2",",a","0",",a","19160505",",,a","23.9",",,a,05,","33.8",",,,a"
"ASN00056065","1916-06","-30.7209","151.6675","1012.0","URALLA MIHI, AS","10",",a","8",",a","0",",a","19160615",",,a","16.3",",,a,15,","73.7",",,,a"
"ASN00056065","1916-07","-30.7209","151.6675","1012.0","URALLA MIHI, AS","5",",a","5",",a","0",",a","19160719",",,a","11.7",",,a,19,","39.7",",,,a"
"ASN00056065","1916-08","-30.7209","151.6675","1012.0","URALLA MIHI, AS","10",",a","8",",a","0",",a","19160816",",,a","20.3",",,a,16,","79.0",",,,a"
"ASN00056065","1916-09","-30.7209","151.6675","1012.0","URALLA MIHI, AS","5",",a","5",",a","0",",a","19160929",",,a","14.0",",,a,29,","36.4",",,,a"
"ASN00056065","1916-10","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","6",",a","0",",a","19161017",",,a","16.0",",,a,17,","57.4",",,,a"
"ASN00056065","1916-11","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11","2,a","10","2,a","1","2,a","19161127",",2,a","29.5","2,,a,27,","114.1",",a,,a"
"ASN00056065","1916-12","-30.7209","151.6675","1012.0","URALLA MIHI, AS","6",",a","6",",a","4",",a","19161213",",,a","33.5",",,a,13,","141.0",",,,a"
"ASN00056065","1917-01","-30.7209","151.6675","1012.0","URALLA MIHI, AS","10",",a","10",",a","3",",a","19170121",",,a","51.3",",,a,21,","175.2",",,,a"
"ASN00056065","1917-02","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","4",",a","1",",a","19170204",",,a","31.8",",,a,04,","56.9",",,,a"
"ASN00056065","1917-03","-30.7209","151.6675","1012.0","URALLA MIHI, AS","2",",a","1",",a","0",",a","19170308",",,a","13.0",",,a,08,","14.8",",,,a"
"ASN00056065","1917-04","-30.7209","151.6675","1012.0","URALLA MIHI, AS","1",",a","1",",a","0",",a","19170426",",,a","6.9",",,a,26,","6.9",",,,a"
"ASN00056065","1917-05","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","3",",a","0",",a","19170503",",,a","18.0",",,a,03,","23.3",",,,a"
"ASN00056065","1917-06","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","5",",a","0",",a","19170605",",,a","10.7",",,a,05,","28.5",",,,a"
"ASN00056065","1917-07","-30.7209","151.6675","1012.0","URALLA MIHI, AS","6",",a","5",",a","0",",a","19170713",",,a","16.0",",,a,13,","44.7",",,,a"
"ASN00056065","1917-08","-30.7209","151.6675","1012.0","URALLA MIHI, AS","4",",a","4",",a","0",",a","19170818",",,a","7.6",",,a,18,","18.8",",,,a"
"ASN00056065","1917-09","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11",",a","7",",a","3",",a","19170919",",,a","34.3",",,a,19,","133.6",",,,a"
"ASN00056065","1917-10","-30.7209","151.6675","1012.0","URALLA MIHI, AS","7",",a","6",",a","0",",a","19171024","+,,a","10.7",",,a,24,+","41.2",",,,a"
"ASN00056065","1917-11","-30.7209","151.6675","1012.0","URALLA MIHI, AS","18",",a","16",",a","1",",a","19171109",",,a","32.0",",,a,09,","179.8",",,,a"
"ASN00056065","1917-12","-30.7209","151.6675","1012.0","URALLA MIHI, AS","10",",a","6",",a","0",",a","19171213",",,a","16.5",",,a,13,","68.3",",,,a"
"ASN00056065","1918-01","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","7",",a","3",",a","19180102",",,a","43.7",",,a,02,","146.0",",,,a"
"ASN00056065","1918-02","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19180223",",,a","22.9",",,a,23,","35.6",",,,a"
"ASN00056065","1918-03","-30.7209","151.6675","1012.0","URALLA MIHI, AS","5",",a","4",",a","0",",a","19180308",",,a","8.4",",,a,08,","22.3",",,,a"
"ASN00056065","1918-04","-30.7209","151.6675","1012.0","URALLA MIHI, AS","9",",a","5",",a","0",",a","19180424",",,a","18.8",",,a,24,","41.7",",,,a"
"ASN00056065","1918-05","-30.7209","151.6675","1012.0","URALLA MIHI, AS","6",",a","2",",a","0",",a","19180517",",,a","6.6",",,a,17,","14.7",",,,a"
"ASN00056065","1918-06","-30.7209","151.6675","1012.0","URALLA MIHI, AS","1",",a","1",",a","0",",a","19180609",",,a","5.3",",,a,09,","5.3",",,,a"
"ASN00056065","1918-07","-30.7209","151.6675","1012.0","URALLA MIHI, AS","4",",a","2",",a","0",",a","19180722",",,a","18.8",",,a,22,","24.9",",,,a"
"ASN00056065","1918-08","-30.7209","151.6675","1012.0","URALLA MIHI, AS","9",",a","6",",a","0",",a","19180807",",,a","20.1",",,a,07,","55.6",",,,a"
"ASN00056065","1918-09","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19180927","+,,a","4.6",",,a,27,+","10.2",",,,a"
"ASN00056065","1918-10","-30.7209","151.6675","1012.0","URALLA MIHI, AS","7",",a","4",",a","0",",a","19181030",",,a","8.4",",,a,30,","27.2",",,,a"
"ASN00056065","1918-11","-30.7209","151.6675","1012.0","URALLA MIHI, AS","6",",a","6",",a","2",",a","19181115",",,a","35.6",",,a,15,","78.3",",,,a"
"ASN00056065","1918-12","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19181215",",,a","14.2",",,a,15,","20.1",",,,a"
"ASN00056065","1919-01","-30.7209","151.6675","1012.0","URALLA MIHI, AS","7",",a","6",",a","2",",a","19190130",",,a","31.5",",,a,30,","99.8",",,,a"
"ASN00056065","1919-02","-30.7209","151.6675","1012.0","URALLA MIHI, AS","4",",a","4",",a","0",",a","19190228",",,a","10.9",",,a,28,","26.4",",,,a"
"ASN00056065","1919-03","-30.7209","151.6675","1012.0","URALLA MIHI, AS","4",",a","4",",a","1",",a","19190303",",,a","29.7",",,a,03,","56.4",",,,a"
"ASN00056065","1919-04","-30.7209","151.6675","1012.0","URALLA MIHI, AS","7",",a","5",",a","0",",a","19190403",",,a","13.0",",,a,03,","34.2",",,,a"
"ASN00056065","1919-05","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11",",a","5",",a","1",",a","19190522",",,a","33.5",",,a,22,","69.4",",,,a"
"ASN00056065","1919-06","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19190613",",,a","6.6",",,a,13,","11.5",",,,a"
"ASN00056065","1919-07","-30.7209","151.6675","1012.0","URALLA MIHI, AS","1",",a","1",",a","0",",a","19190727",",,a","6.1",",,a,27,","6.1",",,,a"
"ASN00056065","1919-08","-30.7209","151.6675","1012.0","URALLA MIHI, AS","5",",a","1",",a","0",",a","19190814",",,a","9.7",",,a,14,","17.1",",,,a"
"ASN00056065","1919-09","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19190908",",,a","6.6",",,a,08,","13.7",",,,a"
"ASN00056065","1919-10","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19191008",",,a","24.4",",,a,08,","37.1",",,,a"
"ASN00056065","1919-11","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","4",",a","0",",a","19191129",",,a","13.5",",,a,29,","44.5",",,,a"
"ASN00056065","1919-12","-30.7209","151.6675","1012.0","URALLA MIHI, AS","9",",a","6",",a","2",",a","19191202",",,a","30.0",",,a,02,","87.1",",,,a"
"ASN00056065","1920-01","-30.7209","151.6675","1012.0","URALLA MIHI, AS","13",",a","9",",a","0",",a","19200103",",,a","19.8",",,a,03,","97.3",",,,a"
"ASN00056065","1920-02","-30.7209","151.6675","1012.0","URALLA MIHI, AS","4",",a","3",",a","1",",a","19200207",",,a","90.9",",,a,07,","97.7",",,,a"
"ASN00056065","1920-03","-30.7209","151.6675","1012.0","URALLA MIHI, AS","7",",a","4",",a","0",",a","19200303",",,a","12.4",",,a,03,","30.0",",,,a"
"ASN00056065","1920-04","-30.7209","151.6675","1012.0","URALLA MIHI, AS","7",",a","5",",a","0",",a","19200416",",,a","10.4",",,a,16,","31.0",",,,a"
"ASN00056065","1920-05","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19200501",",,a","21.8",",,a,01,","26.2",",,,a"
"ASN00056065","1920-06","-30.7209","151.6675","1012.0","URALLA MIHI, AS","10",",a","7",",a","3",",a","19200630",",,a","73.7",",,a,30,","169.4",",,,a"
"ASN00056065","1920-07","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11",",a","5",",a","1",",a","19200705",",,a","27.9",",,a,05,","64.6",",,,a"
"ASN00056065","1920-08","-30.7209","151.6675","1012.0","URALLA MIHI, AS","13",",a","10",",a","1",",a","19200825",",,a","26.4",",,a,25,","86.1",",,,a"
"ASN00056065","1920-09","-30.7209","151.6675","1012.0","URALLA MIHI, AS","10",",a","9",",a","1",",a","19200911",",,a","26.4",",,a,11,","97.2",",,,a"
"ASN00056065","1920-10","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","4",",a","1",",a","19201014",",,a","25.4",",,a,14,","64.8",",,,a"
"ASN00056065","1920-11","-30.7209","151.6675","1012.0","URALLA MIHI, AS","6",",a","3",",a","0",",a","19201130",",,a","18.5",",,a,30,","42.7",",,,a"
"ASN00056065","1920-12","-30.7209","151.6675","1012.0","URALLA MIHI, AS","10",",a","7",",a","1",",a","19201202",",,a","33.0",",,a,02,","104.5",",,,a"
"ASN00056065","1921-01","-30.7209","151.6675","1012.0","URALLA MIHI, AS","7",",a","4",",a","1",",a","19210128",",,a","41.4",",,a,28,","71.7",",,,a"
"ASN00056065","1921-02","-30.7209","151.6675","1012.0","URALLA MIHI, AS","5",",a","2",",a","0",",a","19210219",",,a","8.9",",,a,19,","20.8",",,,a"
"ASN00056065","1921-03","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11",",a","5",",a","2",",a","19210306",",,a","26.7",",,a,06,","83.6",",,,a"
"ASN00056065","1921-04","-30.7209","151.6675","1012.0","URALLA MIHI, AS","7",",a","3",",a","0",",a","19210408",",,a","24.9",",,a,08,","43.2",",,,a"
"ASN00056065","1921-05","-30.7209","151.6675","1012.0","URALLA MIHI, AS","12",",a","9",",a","1",",a","19210521",",,a","25.7",",,a,21,","131.9",",,,a"
"ASN00056065","1921-06","-30.7209","151.6675","1012.0","URALLA MIHI, AS","9",",a","6",",a","1",",a","19210626",",,a","53.6",",,a,26,","125.7",",,,a"
"ASN00056065","1921-07","-30.7209","151.6675","1012.0","URALLA MIHI, AS","13",",a","8",",a","3",",a","19210722",",,a","65.3",",,a,22,","184.6",",,,a"
"ASN00056065","1921-08","-30.7209","151.6675","1012.0","URALLA MIHI, AS","5",",a","1",",a","0",",a","19210812",",,a","7.1",",,a,12,","12.7",",,,a"
"ASN00056065","1921-09","-30.7209","151.6675","1012.0","URALLA MIHI, AS","9",",a","6",",a","0",",a","19210915",",,a","25.1",",,a,15,","77.4",",,,a"
"ASN00056065","1921-10","-30.7209","151.6675","1012.0","URALLA MIHI, AS","9",",a","7",",a","2",",a","19211002",",,a","40.1",",,a,02,","130.2",",,,a"
"ASN00056065","1921-11","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","6",",a","1",",a","19211112",",,a","27.7",",,a,12,","57.6",",,,a"
"ASN00056065","1921-12","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11",",a","11",",a","2",",a","19211231",",,a","67.8",",,a,31,","194.4",",,,a"
"ASN00056065","1922-01","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","1",",a","0",",a","19220116",",,a","17.8",",,a,16,","21.6",",,,a"
"ASN00056065","1922-02","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","6",",a","1",",a","19220228",",,a","39.6",",,a,28,","71.7",",,,a"
"ASN00056065","1922-03","-30.7209","151.6675","1012.0","URALLA MIHI, AS","4",",a","3",",a","0",",a","19220307","+,,a","5.3",",,a,07,+","14.4",",,,a"
"ASN00056065","1922-04","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","1",",a","0",",a","19220405",",,a","18.5",",,a,05,","20.6",",,,a"
"ASN00056065","1922-05","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19220523",",,a","3.8",",,a,23,","7.7",",,,a"
"ASN00056065","1922-06","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11",",a","5",",a","0",",a","19220627",",,a","10.7",",,a,27,","38.4",",,,a"
"ASN00056065","1922-07","-30.7209","151.6675","1012.0","URALLA MIHI, AS","10",",a","6",",a","1",",a","19220724",",,a","48.5",",,a,24,","93.4",",,,a"
"ASN00056065","1922-08","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","4",",a","0",",a","19220804",",,a","3.6",",,a,04,","16.5",",,,a"
"ASN00056065","1922-09","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11",",a","6",",a","0",",a","19220912",",,a","17.8",",,a,12,","52.8",",,,a"
"ASN00056065","1922-10","-30.7209","151.6675","1012.0","URALLA MIHI, AS","8",",a","3",",a","0",",a","19221026",",,a","22.4",",,a,26,","51.7",",,,a"
"ASN00056065","1922-11","-30.7209","151.6675","1012.0","URALLA MIHI, AS","6",",a","6",",a","1",",a","19221124",",,a","41.4",",,a,24,","78.3",",,,a"
"ASN00056065","1922-12","-30.7209","151.6675","1012.0","URALLA MIHI, AS","11",",a","10",",a","0",",a","19221205",",,a","19.1",",,a,05,","107.7",",,,a"
"ASN00056065","1923-01","-30.7209","151.6675","1012.0","URALLA MIHI, AS","5",",a","4",",a","1",",a","19230106",",,a","29.2",",,a,06,","58.7",",,,a"
"ASN00056065","1923-02","-30.7209","151.6675","1012.0","URALLA MIHI, AS","3",",a","2",",a","0",",a","19230226",",,a","13.7",",,a,26,","25.7",",,,a"
