"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026929","1955-01","52.567","24.467","167.0","PRUZANY, BO","13",",I","4",",I","0",",I","","","","","19550113",",,I","","","8.5",",,I,13,","24.5",",,,I"
"BOM00026929","1955-02","52.567","24.467","167.0","PRUZANY, BO","12",",I","5",",I","0",",I","","","","","19550221",",,I","","","8.5",",,I,21,","35.9",",,,I"
"BOM00026929","1955-03","52.567","24.467","167.0","PRUZANY, BO","10",",I","1",",I","0",",I","","","","","19550325",",,I","","","7.0",",,I,25,","17.2",",,,I"
"BOM00026929","1955-04","52.567","24.467","167.0","PRUZANY, BO","11",",I","4",",I","0",",I","","","","","19550420","+,,I","","","5.8",",,I,20,+","27.3",",,,I"
"BOM00026929","1955-05","52.567","24.467","167.0","PRUZANY, BO","16",",I","11",",I","1",",I","","","","","19550519",",,I","","","26.8",",,I,19,","98.4",",,,I"
"BOM00026929","1955-06","52.567","24.467","167.0","PRUZANY, BO","8",",I","6",",I","1",",I","","","","","19550611",",,I","","","40.1",",,I,11,","64.4",",,,I"
"BOM00026929","1955-07","52.567","24.467","167.0","PRUZANY, BO","18",",I","12",",I","2",",I","","","","","19550707",",,I","","","57.1",",,I,07,","152.1",",,,I"
"BOM00026929","1955-08","52.567","24.467","167.0","PRUZANY, BO","8",",I","2",",I","0",",I","","","","","19550801",",,I","","","19.5",",,I,01,","28.3",",,,I"
"BOM00026929","1955-09","52.567","24.467","167.0","PRUZANY, BO","6",",I","3",",I","0",",I","","","","","19550923",",,I","","","9.9",",,I,23,","24.7",",,,I"
"BOM00026929","1955-10","52.567","24.467","167.0","PRUZANY, BO","7",",I","2",",I","0",",I","","","","","19551025",",,I","","","13.5",",,I,25,","23.6",",,,I"
"BOM00026929","1955-11","52.567","24.467","167.0","PRUZANY, BO","14",",I","4",",I","0",",I","","","","","19551128",",,I","","","5.3",",,I,28,","25.2",",,,I"
"BOM00026929","1955-12","52.567","24.467","167.0","PRUZANY, BO","19",",I","9",",I","0",",I","","","","","19551208",",,I","","","11.5",",,I,08,","66.3",",,,I"
"BOM00026929","1956-01","52.567","24.467","167.0","PRUZANY, BO","15",",I","1",",I","0",",I","","","","","19560119",",,I","","","2.9",",,I,19,","20.0",",,,I"
"BOM00026929","1956-02","52.567","24.467","167.0","PRUZANY, BO","13",",I","3",",I","0",",I","","","","","19560213",",,I","","","12.0",",,I,13,","28.2",",,,I"
"BOM00026929","1956-03","52.567","24.467","167.0","PRUZANY, BO","9",",I","4",",I","0",",I","","","","","19560301",",,I","","","8.1",",,I,01,","21.3",",,,I"
"BOM00026929","1956-04","52.567","24.467","167.0","PRUZANY, BO","14",",I","4",",I","0",",I","","","","","19560429",",,I","","","4.5",",,I,29,","23.7",",,,I"
"BOM00026929","1956-05","52.567","24.467","167.0","PRUZANY, BO","8",",I","2",",I","0",",I","","","","","19560518",",,I","","","8.6",",,I,18,","18.2",",,,I"
"BOM00026929","1956-06","52.567","24.467","167.0","PRUZANY, BO","15",",I","9",",I","1",",I","","","","","19560621",",,I","","","42.3",",,I,21,","115.5",",,,I"
"BOM00026929","1956-07","52.567","24.467","167.0","PRUZANY, BO","16",",I","7",",I","0",",I","","","","","19560731",",,I","","","15.3",",,I,31,","59.4",",,,I"
"BOM00026929","1956-08","52.567","24.467","167.0","PRUZANY, BO","16",",I","11",",I","2",",I","","","","","19560830",",,I","","","34.0",",,I,30,","118.6",",,,I"
"BOM00026929","1956-09","52.567","24.467","167.0","PRUZANY, BO","11",",I","5",",I","0",",I","","","","","19560912",",,I","","","19.1",",,I,12,","47.0",",,,I"
"BOM00026929","1956-10","52.567","24.467","167.0","PRUZANY, BO","13",",I","8",",I","0",",I","","","","","19561007",",,I","","","20.8",",,I,07,","75.6",",,,I"
"BOM00026929","1956-11","52.567","24.467","167.0","PRUZANY, BO","8",",I","3",",I","0",",I","","","","","19561101",",,I","","","6.4",",,I,01,","19.3",",,,I"
"BOM00026929","1956-12","52.567","24.467","167.0","PRUZANY, BO","18",",I","3",",I","0",",I","","","","","19561206",",,I","","","10.3",",,I,06,","33.8",",,,I"
"BOM00026929","1957-01","52.567","24.467","167.0","PRUZANY, BO","12",",I","4",",I","0",",I","","","","","19570106",",,I","","","9.0",",,I,06,","25.4",",,,I"
"BOM00026929","1957-02","52.567","24.467","167.0","PRUZANY, BO","16",",I","6",",I","0",",I","","","","","19570216",",,I","","","10.8",",,I,16,","44.1",",,,I"
"BOM00026929","1957-03","52.567","24.467","167.0","PRUZANY, BO","5",",I","2",",I","0",",I","","","","","19570316",",,I","","","13.8",",,I,16,","19.5",",,,I"
"BOM00026929","1957-04","52.567","24.467","167.0","PRUZANY, BO","5",",I","2",",I","0",",I","","","","","19570418",",,I","","","6.3",",,I,18,","11.7",",,,I"
"BOM00026929","1957-05","52.567","24.467","167.0","PRUZANY, BO","10",",I","6",",I","0",",I","","","","","19570506",",,I","","","12.8",",,I,06,","39.7",",,,I"
"BOM00026929","1957-06","52.567","24.467","167.0","PRUZANY, BO","8",",I","5",",I","1",",I","","","","","19570625",",,I","","","34.6",",,I,25,","54.4",",,,I"
"BOM00026929","1957-07","52.567","24.467","167.0","PRUZANY, BO","16",",I","8",",I","1",",I","","","","","19570719",",,I","","","31.0",",,I,19,","97.6",",,,I"
