"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR000956000","1978-08","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","0",",I","0",",I","0",",I","","","","","","","19780831","+,,I","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR000956000","1978-09","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","12",",I","6",",I","0",",I","","","","","","","19780928",",,I","","","15.0",",,I,28,","57.6",",,,I","",""
"BR000956000","1978-10","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","14",",I","10",",I","5",",I","","","","","","","19781004",",,I","","","55.6",",,I,04,","271.5",",,,I","",""
"BR000956000","1978-11","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","14",",I","11",",I","5",",I","","","","","","","19781110",",,I","","","38.0",",,I,10,","260.1",",,,I","",""
"BR000956000","1978-12","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","26",",I","24",",I","6",",I","","","","","","","19781226",",,I","","","54.8",",,I,26,","446.7",",,,I","",""
"BR000956000","1979-01","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","24",",I","15",",I","5",",I","","","","","","","19790121",",,I","","","83.0",",,I,21,","342.4",",,,I","",""
"BR000956000","1979-02","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","26",",I","24",",I","8",",I","","","","","","","19790218",",,I","","","66.4",",,I,18,","539.8",",,,I","",""
"BR000956000","1979-03","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","21",",I","18",",I","6",",I","","","","","","","19790319",",,I","","","48.0",",,I,19,","388.1",",,,I","",""
"BR000956000","1979-04","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","13",",I","9",",I","3",",I","","","","","","","19790423","+,,I","","","40.0",",,I,23,+","157.4",",,,I","",""
"BR000956000","1979-05","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","6",",I","4",",I","0",",I","","","","","","","19790501",",,I","","","21.2",",,I,01,","39.6",",,,I","",""
"BR000956000","1979-06","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","0",",I","0",",I","0",",I","","","","","","","19790630","+,,I","","","0.0",",,I,30,+","0.0",",,,I","",""
"BR000956000","1979-07","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","1",",I","1",",I","0",",I","","","","","","","19790721",",,I","","","6.9",",,I,21,","6.9",",,,I","",""
"BR000956000","1979-08","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","8",",I","6",",I","0",",I","","","","","","","19790827",",,I","","","16.2",",,I,27,","55.9",",,,I","",""
"BR000956000","1979-09","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","10",",I","9",",I","1",",I","","","","","","","19790902",",,I","","","58.2",",,I,02,","99.2",",,,I","",""
"BR000956000","1979-10","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","16",",I","10",",I","2",",I","","","","","","","19791027","+,,I","","","30.2",",,I,27,+","145.3",",,,I","",""
"BR000956000","1979-11","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","16",",I","10",",I","3",",I","","","","","","","19791104",",,I","","","84.0",",,I,04,","272.3",",,,I","",""
"BR000956000","1979-12","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","21",",I","16",",I","2",",I","","","","","","","19791218",",,I","","","26.2",",,I,18,","209.6",",,,I","",""
"BR000956000","1980-01","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","29",",I","20",",I","3",",I","","","","","","","19800110",",,I","","","182.0",",,I,10,","450.0",",,,I","",""
"BR000956000","1980-02","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","26",",I","25",",I","9",",I","","","","","","","19800213",",,I","","","98.0",",,I,13,","553.6",",,,I","",""
"BR000956000","1980-03","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","17",",I","12",",I","5",",I","","","","","","","19800317",",,I","","","70.0",",,I,17,","313.6",",,,I","",""
"BR000956000","1980-04","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","8",",I","7",",I","1",",I","","","","","","","19800406",",,I","","","123.0",",,I,06,","180.7",",,,I","",""
"BR000956000","1980-05","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","6",",I","4",",I","0",",I","","","","","","","19800507",",,I","","","13.5",",,I,07,","31.5",",,,I","",""
"BR000956000","1980-06","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","0",",I","0",",I","0",",I","","","","","","","19800630","+,,I","","","0.0",",,I,30,+","0.0",",,,I","",""
"BR000956000","1980-07","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","0",",I","0",",I","0",",I","","","","","","","19800731","+,,I","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR000956000","1980-08","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","3",",I","1",",I","1",",I","","","","","","","19800824",",,I","","","41.2",",,I,24,","42.2",",,,I","",""
"BR000956000","1980-09","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","7",",I","5",",I","1",",I","","","","","","","19800910",",,I","","","28.0",",,I,10,","66.1",",,,I","",""
"BR000956000","1980-10","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","17",",I","12",",I","1",",I","","","","","","","19801014",",,I","","","53.0",",,I,14,","198.8",",,,I","",""
"BR000956000","1980-11","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","16",",I","14",",I","4",",I","","","","","","","19801101",",,I","","","118.2",",,I,01,","343.8",",,,I","",""
"BR000956000","1980-12","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","26",",I","17",",I","3",",I","","","","","","","19801222",",,I","","","54.0",",,I,22,","299.3",",,,I","",""
"BR000956000","1981-01","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","21",",I","17",",I","3",",I","","","","","","","19810124",",,I","","","59.8",",,I,24,","260.4",",,,I","",""
"BR000956000","1981-02","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","19",",I","13",",I","2",",I","","","","","","","19810215","+,,I","","","27.0",",,I,15,+","162.5",",,,I","",""
"BR000956000","1981-03","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","23",",I","19",",I","10",",I","","","","","","","19810305",",,I","","","111.0",",,I,05,","608.2",",,,I","",""
"BR000956000","1981-04","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","13",",I","10",",I","1",",I","","","","","","","19810404",",,I","","","147.0",",,I,04,","244.0",",,,I","",""
"BR000956000","1981-05","-9.867","-56.1","289.0","ALTA FLORESTA AERO, BR","1",",I","1",",I","0",",I","","","","","","","19810504",",,I","","","23.6",",,I,04,","23.6",",,,I","",""
