"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00082092","1750-03","-36.1821","147.5515","745.0","SHELLEY, AS","","","5","4,a","3","4,a","0","4,a","","","","","","","","","","","","","17500314",",4,a","","","","","18.0","4,,a,14,","","","","","","","35.8","2,a,,a","","","","","",""
"ASN00082092","1750-05","-36.1821","147.5515","745.0","SHELLEY, AS","","","2","3,a","1","3,a","0","3,a","","","","","","","","","","","","","17500502",",3,a","","","","","15.8","3,,a,02,","","","","","","","43.4","1,a,,a","","","","","",""
"ASN00082092","1962-12","-36.1821","147.5515","745.0","SHELLEY, AS","","","14","4,a","9","4,a","0","4,a","","","","","","","","","","","","","19621207",",4,a","","","","","13.5","4,,a,07,","","","","","","","58.5","4,,,a","","","","","",""
"ASN00082092","1963-01","-36.1821","147.5515","745.0","SHELLEY, AS","","","13",",a","9",",a","1",",a","","","","","","","","","","","","","19630115",",,a","","","","","26.9",",,a,15,","","","","","","","89.6",",,,a","","","","","",""
"ASN00082092","1963-02","-36.1821","147.5515","745.0","SHELLEY, AS","","","7",",a","4",",a","0",",a","","","","","","","","","","","","","19630203",",,a","","","","","15.2",",,a,03,","","","","","","","25.6",",,,a","","","","","",""
"ASN00082092","1963-03","-36.1821","147.5515","745.0","SHELLEY, AS","","","8",",a","4",",a","0",",a","","","","","","","","","","","","","19630330",",,a","","","","","11.4",",,a,30,","","","","","","","33.8",",,,a","","","","","",""
"ASN00082092","1963-04","-36.1821","147.5515","745.0","SHELLEY, AS","","","2",",a","1",",a","1",",a","","","","","","","","","","","","","19630430",",,a","","","","","36.1",",,a,30,","","","","","","","36.9",",,,a","","","","","",""
"ASN00082092","1963-05","-36.1821","147.5515","745.0","SHELLEY, AS","","","17",",a","14",",a","1",",a","","","","","","","","","","","","","19630515",",,a","","","","","29.2",",,a,15,","","","","","","","127.7",",,,a","","","","","",""
"ASN00082092","1963-06","-36.1821","147.5515","745.0","SHELLEY, AS","","","16",",a","10",",a","0",",a","","","","","","","","","","","","","19630616",",,a","","","","","17.8",",,a,16,","","","","","","","86.5",",,,a","","","","","",""
"ASN00082092","1963-07","-36.1821","147.5515","745.0","SHELLEY, AS","","","17","2,a","13","2,a","0","2,a","","","","","","","","","","","","","19630729",",2,a","","","","","21.6","2,,a,29,","","","","","","","146.9",",a,,a","","","","","",""
"ASN00082092","1963-08","-36.1821","147.5515","745.0","SHELLEY, AS","","","13",",a","9",",a","1",",a","","","","","","","","","","","","","19630826",",,a","","","","","39.6",",,a,26,","","","","","","","113.2",",,,a","","","","","",""
"ASN00082092","1963-09","-36.1821","147.5515","745.0","SHELLEY, AS","","","14",",a","10",",a","0",",a","","","","","","","","","","","","","19630930",",,a","","","","","23.4",",,a,30,","","","","","","","115.7",",,,a","","","","","",""
"ASN00082092","1963-10","-36.1821","147.5515","745.0","SHELLEY, AS","","","8",",a","7",",a","1",",a","","","","","","","","","","","","","19631028",",,a","","","","","51.8",",,a,28,","","","","","","","100.3",",,,a","","","","","",""
"ASN00082092","1963-11","-36.1821","147.5515","745.0","SHELLEY, AS","","","6",",a","6",",a","1",",a","","","","","","","","","","","","","19631107",",,a","","","","","35.1",",,a,07,","","","","","","","79.2",",,,a","","","","","",""
