"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BOM00033105","1961-03","51.783","28.333","141.0","LELOIOV, BO","","","16","1,I","4","1,I","0","1,I","","","","","","","0","4,S","0","4,S","0","4,S","","","","","19610313",",1,I","19610318",",4,S","","","","","7.2","1,,I,13,","17.8","4,S,18,","","","33.8","1,,,I","","","6.79","4,,,S","",""
"BOM00033105","1961-04","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19610409",",,I","","","","","","","17.2",",,I,09,","","","","","43.3",",,,I","","","","","",""
"BOM00033105","1961-05","51.783","28.333","141.0","LELOIOV, BO","","","8","1,I","6","1,I","0","1,I","","","0","5,S","0","5,S","","","","","","","19610524","+,5,S","","","19610529",",1,I","","","1.1","5,S,24,+","","","5.5","1,,I,29,","","","","","29.2","1,,,I","","","","","6.26","5,,,S"
"BOM00033105","1961-07","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19610731",",,I","","","","","","","14.6",",,I,31,","","","","","52.2",",,,I","","","","","",""
"BOM00033105","1961-08","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","7",",I","1",",I","","","","","","","","","","","","","","","","","19610818",",,I","","","","","","","54.7",",,I,18,","","","","","124.2",",,,I","","","","","",""
"BOM00033105","1961-09","51.783","28.333","141.0","LELOIOV, BO","","","6",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19610915",",,I","","","","","","","7.1",",,I,15,","","","","","15.0",",,,I","","","","","",""
"BOM00033105","1961-10","51.783","28.333","141.0","LELOIOV, BO","","","4",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19611001",",,I","","","","","","","7.2",",,I,01,","","","","","10.5",",,,I","","","","","",""
"BOM00033105","1961-11","51.783","28.333","141.0","LELOIOV, BO","","","18",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19611114",",,I","","","","","","","17.8",",,I,14,","","","","","57.2",",,,I","","","","","",""
"BOM00033105","1961-12","51.783","28.333","141.0","LELOIOV, BO","","","14",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19611208",",,I","","","","","","","6.8",",,I,08,","","","","","30.0",",,,I","","","","","",""
"BOM00033105","1962-01","51.783","28.333","141.0","LELOIOV, BO","","","7","2,I","2","2,I","0","2,I","","","","","","","","","","","","","","","","","19620126",",2,I","","","","","","","6.9","2,,I,26,","","","","","13.6","2,,,I","","","","","",""
"BOM00033105","1962-02","51.783","28.333","141.0","LELOIOV, BO","","","15","1,I","7","1,I","0","1,I","","","","","","","","","","","","","","","","","19620215",",1,I","","","","","","","9.2","1,,I,15,","","","","","40.5","1,,,I","","","","","",""
"BOM00033105","1962-03","51.783","28.333","141.0","LELOIOV, BO","","","17",",I","7",",I","0",",I","","","","","","","","","","","","","","","","","19620316",",,I","","","","","","","9.9",",,I,16,","","","","","52.6",",,,I","","","","","",""
"BOM00033105","1962-04","51.783","28.333","141.0","LELOIOV, BO","","","11",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19620407",",,I","","","","","","","12.3",",,I,07,","","","","","39.6",",,,I","","","","","",""
"BOM00033105","1962-05","51.783","28.333","141.0","LELOIOV, BO","","","14","2,I","9","2,I","1","2,I","","","","","","","","","","","","","","","","","19620501",",2,I","","","","","","","27.0","2,,I,01,","","","","","112.4","2,,,I","","","","","",""
