"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026745","1958-01","54.483","26.9","183.0","VILEYKA, BO","15",",I","6",",I","0",",I","","","","","19580125",",,I","","","14.4",",,I,25,","54.0",",,,I"
"BOM00026745","1958-02","54.483","26.9","183.0","VILEYKA, BO","15",",I","7",",I","0",",I","","","","","19580215",",,I","","","7.7",",,I,15,","41.7",",,,I"
"BOM00026745","1958-03","54.483","26.9","183.0","VILEYKA, BO","17",",I","9",",I","0",",I","","","","","19580331",",,I","","","14.7",",,I,31,","64.9",",,,I"
"BOM00026745","1958-04","54.483","26.9","183.0","VILEYKA, BO","12",",I","6",",I","0",",I","","","","","19580401",",,I","","","7.5",",,I,01,","34.4",",,,I"
"BOM00026745","1958-05","54.483","26.9","183.0","VILEYKA, BO","15","2,I","4","2,I","0","2,I","","","","","19580517",",2,I","","","5.5","2,,I,17,","33.8","2,,,I"
"BOM00026745","1958-06","54.483","26.9","183.0","VILEYKA, BO","15",",I","7",",I","0",",I","","","","","19580623",",,I","","","16.5",",,I,23,","62.4",",,,I"
"BOM00026745","1958-07","54.483","26.9","183.0","VILEYKA, BO","13",",I","7",",I","0",",I","","","","","19580728",",,I","","","16.4",",,I,28,","63.6",",,,I"
"BOM00026745","1958-08","54.483","26.9","183.0","VILEYKA, BO","14",",I","9",",I","0",",I","","","","","19580814",",,I","","","11.9",",,I,14,","56.7",",,,I"
"BOM00026745","1958-09","54.483","26.9","183.0","VILEYKA, BO","9",",I","3",",I","0",",I","","","","","19580922",",,I","","","11.7",",,I,22,","24.2",",,,I"
"BOM00026745","1958-10","54.483","26.9","183.0","VILEYKA, BO","14",",I","4",",I","0",",I","","","","","19581008",",,I","","","12.5",",,I,08,","43.8",",,,I"
"BOM00026745","1958-11","54.483","26.9","183.0","VILEYKA, BO","9",",I","4",",I","0",",I","","","","","19581111",",,I","","","13.8",",,I,11,","32.7",",,,I"
"BOM00026745","1958-12","54.483","26.9","183.0","VILEYKA, BO","17",",I","7",",I","0",",I","","","","","19581223","+,,I","","","7.0",",,I,23,+","50.2",",,,I"
"BOM00026745","1959-01","54.483","26.9","183.0","VILEYKA, BO","19",",I","6",",I","0",",I","","","","","19590105",",,I","","","11.5",",,I,05,","51.5",",,,I"
"BOM00026745","1959-02","54.483","26.9","183.0","VILEYKA, BO","9",",I","1",",I","0",",I","","","","","19590221",",,I","","","3.6",",,I,21,","13.4",",,,I"
"BOM00026745","1959-03","54.483","26.9","183.0","VILEYKA, BO","8",",I","2",",I","0",",I","","","","","19590308",",,I","","","10.8",",,I,08,","23.4",",,,I"
"BOM00026745","1959-04","54.483","26.9","183.0","VILEYKA, BO","13",",I","8",",I","0",",I","","","","","19590420",",,I","","","14.9",",,I,20,","69.5",",,,I"
"BOM00026745","1959-05","54.483","26.9","183.0","VILEYKA, BO","10",",I","4",",I","1",",I","","","","","19590521",",,I","","","40.2",",,I,21,","59.1",",,,I"
"BOM00026745","1959-06","54.483","26.9","183.0","VILEYKA, BO","13",",I","7",",I","0",",I","","","","","19590619",",,I","","","9.8",",,I,19,","47.8",",,,I"
"BOM00026745","1959-07","54.483","26.9","183.0","VILEYKA, BO","7",",I","5",",I","0",",I","","","","","19590701",",,I","","","16.5",",,I,01,","56.7",",,,I"
"BOM00026745","1959-08","54.483","26.9","183.0","VILEYKA, BO","8",",I","6",",I","0",",I","","","","","19590806",",,I","","","10.1",",,I,06,","40.6",",,,I"
"BOM00026745","1959-09","54.483","26.9","183.0","VILEYKA, BO","15",",I","8",",I","0",",I","","","","","19590920",",,I","","","8.7",",,I,20,","53.9",",,,I"
"BOM00026745","1959-10","54.483","26.9","183.0","VILEYKA, BO","13",",I","5",",I","0",",I","","","","","19591023",",,I","","","21.5",",,I,23,","52.2",",,,I"
"BOM00026745","1959-11","54.483","26.9","183.0","VILEYKA, BO","14",",I","6",",I","0",",I","","","","","19591125",",,I","","","9.3",",,I,25,","46.1",",,,I"
"BOM00026745","1959-12","54.483","26.9","183.0","VILEYKA, BO","9",",I","4",",I","0",",I","","","","","19591203",",,I","","","11.5",",,I,03,","28.5",",,,I"
"BOM00026745","1960-01","54.483","26.9","183.0","VILEYKA, BO","17",",I","4",",I","0",",I","","","","","19600114",",,I","","","6.9",",,I,14,","38.8",",,,I"
"BOM00026745","1960-02","54.483","26.9","183.0","VILEYKA, BO","16",",I","4",",I","0",",I","","","","","19600224",",,I","","","10.5",",,I,24,","36.7",",,,I"
"BOM00026745","1960-03","54.483","26.9","183.0","VILEYKA, BO","6",",I","3",",I","0",",I","","","","","19600317",",,I","","","9.0",",,I,17,","22.9",",,,I"
"BOM00026745","1960-04","54.483","26.9","183.0","VILEYKA, BO","8",",I","4",",I","0",",I","","","","","19600428",",,I","","","10.4",",,I,28,","27.3",",,,I"
"BOM00026745","1960-05","54.483","26.9","183.0","VILEYKA, BO","15",",I","9",",I","0",",I","","","","","19600524",",,I","","","14.5",",,I,24,","72.6",",,,I"
"BOM00026745","1960-06","54.483","26.9","183.0","VILEYKA, BO","13",",I","11",",I","0",",I","","","","","19600627",",,I","","","21.4",",,I,27,","122.5",",,,I"
"BOM00026745","1960-07","54.483","26.9","183.0","VILEYKA, BO","14",",I","9",",I","0",",I","","","","","19600726",",,I","","","20.8",",,I,26,","117.5",",,,I"
"BOM00026745","1960-08","54.483","26.9","183.0","VILEYKA, BO","12",",I","8",",I","1",",I","","","","","19600814",",,I","","","25.8",",,I,14,","71.7",",,,I"
"BOM00026745","1960-09","54.483","26.9","183.0","VILEYKA, BO","11",",I","8",",I","0",",I","","","","","19600907",",,I","","","7.5",",,I,07,","47.7",",,,I"
"BOM00026745","1960-10","54.483","26.9","183.0","VILEYKA, BO","16",",I","10",",I","1",",I","","","","","19601012",",,I","","","43.6",",,I,12,","98.8",",,,I"
