"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR000747000","1969-10","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","9",",I","5",",I","2",",I","","","","","","","19691019",",,I","","","54.0",",,I,19,","138.8",",,,I","",""
"BR000747000","1969-11","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","10",",I","8",",I","2",",I","","","","","","","19691105",",,I","","","38.3",",,I,05,","145.1",",,,I","",""
"BR000747000","1969-12","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","16",",I","13",",I","3",",I","","","","","","","19691226",",,I","","","95.0",",,I,26,","298.9",",,,I","",""
"BR000747000","1970-01","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","17",",I","13",",I","8",",I","","","","","","","19700129",",,I","","","72.5",",,I,29,","454.1",",,,I","",""
"BR000747000","1970-02","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","14",",I","9",",I","2",",I","","","","","","","19700217",",,I","","","89.2",",,I,17,","202.2",",,,I","",""
"BR000747000","1970-03","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","14",",I","11",",I","3",",I","","","","","","","19700302",",,I","","","89.0",",,I,02,","239.4",",,,I","",""
"BR000747000","1970-04","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","14",",I","12",",I","3",",I","","","","","","","19700416",",,I","","","72.2",",,I,16,","276.1",",,,I","",""
"BR000747000","1970-05","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","5",",I","2",",I","0",",I","","","","","","","19700523",",,I","","","8.0",",,I,23,","16.7",",,,I","",""
"BR000747000","1970-06","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","4",",I","3",",I","1",",I","","","","","","","19700614",",,I","","","36.6",",,I,14,","62.9",",,,I","",""
"BR000747000","1970-07","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","19700731","+,,I","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR000747000","1970-08","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","19700831","+,,I","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR000747000","1970-09","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","5",",I","4",",I","1",",I","","","","","","","19700922",",,I","","","29.0",",,I,22,","50.8",",,,I","",""
"BR000747000","1970-10","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","14",",I","7",",I","1",",I","","","","","","","19701017",",,I","","","47.0",",,I,17,","109.1",",,,I","",""
"BR000747000","1970-11","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","18",",I","10",",I","6",",I","","","","","","","19701114",",,I","","","78.8",",,I,14,","380.0",",,,I","",""
"BR000747000","1970-12","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","15",",I","6",",I","1",",I","","","","","","","19701212",",,I","","","44.0",",,I,12,","82.1",",,,I","",""
"BR000747000","1971-01","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","17",",I","11",",I","1",",I","","","","","","","19710130",",,I","","","44.4",",,I,30,","181.0",",,,I","",""
"BR000747000","1971-02","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","16",",I","15",",I","3",",I","","","","","","","19710227",",,I","","","59.2",",,I,27,","273.0",",,,I","",""
"BR000747000","1971-03","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","17",",I","10",",I","5",",I","","","","","","","19710324",",,I","","","74.0",",,I,24,","305.1",",,,I","",""
"BR000747000","1971-04","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","13",",I","12",",I","1",",I","","","","","","","19710412",",,I","","","32.4",",,I,12,","160.2",",,,I","",""
"BR000747000","1971-05","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","4",",I","3",",I","1",",I","","","","","","","19710501",",,I","","","38.2",",,I,01,","58.8",",,,I","",""
"BR000747000","1971-06","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","4",",I","3",",I","1",",I","","","","","","","19710614",",,I","","","43.8",",,I,14,","54.6",",,,I","",""
"BR000747000","1971-07","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","19710731","+,,I","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR000747000","1971-08","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","3",",I","2",",I","0",",I","","","","","","","19710801",",,I","","","22.4",",,I,01,","31.4",",,,I","",""
"BR000747000","1971-09","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","4",",I","3",",I","0",",I","","","","","","","19710902",",,I","","","18.2",",,I,02,","38.1",",,,I","",""
"BR000747000","1971-10","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","17",",I","14",",I","4",",I","","","","","","","19711023",",,I","","","94.0",",,I,23,","284.9",",,,I","",""
"BR000747000","1971-11","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","13",",I","10",",I","0",",I","","","","","","","19711111",",,I","","","24.6",",,I,11,","125.2",",,,I","",""
"BR000747000","1971-12","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","16",",I","7",",I","1",",I","","","","","","","19711212",",,I","","","44.0",",,I,12,","98.3",",,,I","",""
"BR000747000","1972-01","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","21",",I","15",",I","3",",I","","","","","","","19720115",",,I","","","54.5",",,I,15,","260.8",",,,I","",""
"BR000747000","1972-02","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","18",",I","14",",I","4",",I","","","","","","","19720218",",,I","","","62.4",",,I,18,","260.3",",,,I","",""
"BR000747000","1972-03","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","17",",I","15",",I","3",",I","","","","","","","19720311",",,I","","","38.0",",,I,11,","254.8",",,,I","",""
"BR000747000","1972-04","-7.317","-47.467","172.0","CAROLINA AEROPORTO, BR","16",",I","12",",I","1",",I","","","","","","","19720414",",,I","","","50.2",",,I,14,","168.7",",,,I","",""
