"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00058013","1887-01","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","19",",a","10",",a","5",",a","","","","","","","","","","","","","18870121",",,a","","","","","116.8",",,a,21,","","","","","","","414.9",",,,a","","","","","",""
"ASN00058013","1887-02","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","23",",a","20",",a","4",",a","","","","","","","","","","","","","18870223",",,a","","","","","69.3",",,a,23,","","","","","","","309.1",",,,a","","","","","",""
"ASN00058013","1887-03","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","26","1,a","17","1,a","8","1,a","","","","","","","","","","","","","18870316",",1,a","","","","","49.5","1,,a,16,","","","","","","","365.6","1,,,a","","","","","",""
"ASN00058013","1887-04","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","24",",a","12",",a","0",",a","","","","","","","","","","","","","18870405",",,a","","","","","20.6",",,a,05,","","","","","","","102.8",",,,a","","","","","",""
"ASN00058013","1887-05","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","13",",a","6",",a","3",",a","","","","","","","","","","","","","18870530",",,a","","","","","66.0",",,a,30,","","","","","","","222.6",",,,a","","","","","",""
"ASN00058013","1887-06","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","8",",a","2",",a","0",",a","","","","","","","","","","","","","18870612",",,a","","","","","8.9",",,a,12,","","","","","","","21.6",",,,a","","","","","",""
"ASN00058013","1887-07","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","9",",a","7",",a","3",",a","","","","","","","","","","","","","18870713",",,a","","","","","156.0",",,a,13,","","","","","","","297.6",",,,a","","","","","",""
"ASN00058013","1887-08","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","15",",a","8",",a","3",",a","","","","","","","","","","","","","18870812",",,a","","","","","156.0",",,a,12,","","","","","","","391.5",",,,a","","","","","",""
"ASN00058013","1887-09","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","11",",a","5",",a","0",",a","","","","","","","","","","","","","18870913",",,a","","","","","13.0",",,a,13,","","","","","","","39.2",",,,a","","","","","",""
"ASN00058013","1887-10","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","9",",a","3",",a","0",",a","","","","","","","","","","","","","18871003",",,a","","","","","4.3",",,a,03,","","","","","","","15.8",",,,a","","","","","",""
"ASN00058013","1887-11","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","14",",a","9",",a","0",",a","","","","","","","","","","","","","18871121",",,a","","","","","22.9",",,a,21,","","","","","","","100.6",",,,a","","","","","",""
"ASN00058013","1887-12","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","17",",a","8",",a","1",",a","","","","","","","","","","","","","18871226",",,a","","","","","38.9",",,a,26,","","","","","","","120.6",",,,a","","","","","",""
"ASN00058013","1888-01","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","11",",a","5",",a","1",",a","","","","","","","","","","","","","18880126",",,a","","","","","41.1",",,a,26,","","","","","","","89.2",",,,a","","","","","",""
"ASN00058013","1888-02","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","22",",a","20",",a","8",",a","","","","","","","","","","","","","18880217",",,a","","","","","84.3",",,a,17,","","","","","","","544.6",",,,a","","","","","",""
"ASN00058013","1888-03","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","15",",a","7",",a","0",",a","","","","","","","","","","","","","18880313",",,a","","","","","17.0",",,a,13,","","","","","","","58.4",",,,a","","","","","",""
"ASN00058013","1888-04","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","21",",a","7",",a","0",",a","","","","","","","","","","","","","18880405",",,a","","","","","21.6",",,a,05,","","","","","","","64.3",",,,a","","","","","",""
"ASN00058013","1888-05","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","11",",a","2",",a","0",",a","","","","","","","","","","","","","18880502",",,a","","","","","10.7",",,a,02,","","","","","","","26.5",",,,a","","","","","",""
"ASN00058013","1888-06","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","9",",a","4",",a","0",",a","","","","","","","","","","","","","18880606",",,a","","","","","24.6",",,a,06,","","","","","","","62.8",",,,a","","","","","",""
"ASN00058013","1888-07","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","6",",a","1",",a","0",",a","","","","","","","","","","","","","18880703",",,a","","","","","5.3",",,a,03,","","","","","","","10.3",",,,a","","","","","",""
"ASN00058013","1888-08","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","5",",a","3",",a","0",",a","","","","","","","","","","","","","18880813",",,a","","","","","8.9",",,a,13,","","","","","","","15.5",",,,a","","","","","",""
"ASN00058013","1888-09","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","10",",a","5",",a","1",",a","","","","","","","","","","","","","18880916",",,a","","","","","51.6",",,a,16,","","","","","","","86.5",",,,a","","","","","",""
"ASN00058013","1888-10","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","11",",a","7",",a","0",",a","","","","","","","","","","","","","18881012",",,a","","","","","23.6",",,a,12,","","","","","","","83.1",",,,a","","","","","",""
"ASN00058013","1888-11","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","8",",a","4",",a","0",",a","","","","","","","","","","","","","18881129",",,a","","","","","5.3",",,a,29,","","","","","","","22.9",",,,a","","","","","",""
"ASN00058013","1888-12","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","15",",a","10",",a","2",",a","","","","","","","","","","","","","18881202",",,a","","","","","46.5",",,a,02,","","","","","","","172.6",",,,a","","","","","",""
"ASN00058013","1889-01","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","9",",a","6",",a","0",",a","","","","","","","","","","","","","18890124",",,a","","","","","20.3",",,a,24,","","","","","","","70.2",",,,a","","","","","",""
"ASN00058013","1889-02","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","9",",a","5",",a","0",",a","","","","","","","","","","","","","18890221",",,a","","","","","8.6",",,a,21,","","","","","","","34.8",",,,a","","","","","",""
"ASN00058013","1889-03","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","22",",a","15",",a","3",",a","","","","","","","","","","","","","18890330",",,a","","","","","57.7",",,a,30,","","","","","","","252.3",",,,a","","","","","",""
"ASN00058013","1889-04","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","23",",a","10",",a","4",",a","","","","","","","","","","","","","18890416",",,a","","","","","80.5",",,a,16,","","","","","","","263.4",",,,a","","","","","",""
"ASN00058013","1889-05","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","21",",a","11",",a","2",",a","","","","","","","","","","","","","18890527",",,a","","","","","36.3",",,a,27,","","","","","","","157.9",",,,a","","","","","",""
"ASN00058013","1889-06","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","3",",a","1",",a","0",",a","","","","","","","","","","","","","18890607",",,a","","","","","3.6",",,a,07,","","","","","","","5.9",",,,a","","","","","",""
"ASN00058013","1889-07","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","17",",a","8",",a","5",",a","","","","","","","","","","","","","18890718",",,a","","","","","156.7",",,a,18,","","","","","","","424.8",",,,a","","","","","",""
"ASN00058013","1889-08","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","15",",a","11",",a","3",",a","","","","","","","","","","","","","18890805",",,a","","","","","109.5",",,a,05,","","","","","","","312.8",",,,a","","","","","",""
"ASN00058013","1889-09","-28.3167","153.4333","5.0","CONDONG SUGAR MILL, AS","","","12",",a","6",",a","0",",a","","","","","","","","","","","","","18890912",",,a","","","","","24.4",",,a,12,","","","","","","","81.0",",,,a","","","","","",""
