"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"ASN00039090","1927-07","-24.9503","150.0725","142.0","THEODORE DPI, AS","5",",a","2",",a","0",",a","","","","","","","19270722",",,a","","","21.3",",,a,22,","","","30.0",",,,a","",""
"ASN00039090","1927-08","-24.9503","150.0725","142.0","THEODORE DPI, AS","5",",a","4",",a","0",",a","","","","","","","19270802",",,a","","","5.8",",,a,02,","","","17.1",",,,a","",""
"ASN00039090","1927-09","-24.9503","150.0725","142.0","THEODORE DPI, AS","5",",a","4",",a","0",",a","","","","","","","19270911",",,a","","","10.7",",,a,11,","","","24.7",",,,a","",""
"ASN00039090","1927-10","-24.9503","150.0725","142.0","THEODORE DPI, AS","8",",a","7",",a","0",",a","","","","","","","19271002",",,a","","","22.6",",,a,02,","","","95.2",",,,a","",""
"ASN00039090","1927-11","-24.9503","150.0725","142.0","THEODORE DPI, AS","10",",a","6",",a","1",",a","","","","","","","19271128",",,a","","","30.5",",,a,28,","","","65.1",",,,a","",""
"ASN00039090","1927-12","-24.9503","150.0725","142.0","THEODORE DPI, AS","14",",a","11",",a","3",",a","","","","","","","19271213",",,a","","","42.2",",,a,13,","","","192.5",",,,a","",""
"ASN00039090","1928-01","-24.9503","150.0725","142.0","THEODORE DPI, AS","11",",a","5",",a","0",",a","","","","","","","19280128",",,a","","","19.1",",,a,28,","","","52.7",",,,a","",""
"ASN00039090","1928-02","-24.9503","150.0725","142.0","THEODORE DPI, AS","14",",a","10",",a","3",",a","","","","","","","19280208",",,a","","","78.5",",,a,08,","","","231.8",",,,a","",""
"ASN00039090","1928-03","-24.9503","150.0725","142.0","THEODORE DPI, AS","6",",a","4",",a","0",",a","","","","","","","19280316",",,a","","","17.0",",,a,16,","","","38.8",",,,a","",""
"ASN00039090","1928-04","-24.9503","150.0725","142.0","THEODORE DPI, AS","8",",a","5",",a","3",",a","","","","","","","19280422",",,a","","","108.0",",,a,22,","","","230.1",",,,a","",""
"ASN00039090","1928-05","-24.9503","150.0725","142.0","THEODORE DPI, AS","2",",a","2",",a","0",",a","","","","","","","19280512",",,a","","","10.4",",,a,12,","","","17.3",",,,a","",""
"ASN00039090","1928-06","-24.9503","150.0725","142.0","THEODORE DPI, AS","7",",a","6",",a","1",",a","","","","","","","19280613",",,a","","","30.5",",,a,13,","","","72.8",",,,a","",""
"ASN00039090","1928-07","-24.9503","150.0725","142.0","THEODORE DPI, AS","3",",a","3",",a","0",",a","","","","","","","19280716",",,a","","","9.1",",,a,16,","","","22.4",",,,a","",""
"ASN00039090","1928-08","-24.9503","150.0725","142.0","THEODORE DPI, AS","0",",a","0",",a","0",",a","","","","","","","19280831","+,,a","","","0.0",",,a,31,+","","","0.0",",,,a","",""
"ASN00039090","1928-09","-24.9503","150.0725","142.0","THEODORE DPI, AS","1",",a","0",",a","0",",a","","","","","","","19280902",",,a","","","1.3",",,a,02,","","","1.3",",,,a","",""
"ASN00039090","1928-10","-24.9503","150.0725","142.0","THEODORE DPI, AS","3",",a","2",",a","0",",a","","","","","","","19281026",",,a","","","3.8",",,a,26,","","","7.9",",,,a","",""
"ASN00039090","1928-11","-24.9503","150.0725","142.0","THEODORE DPI, AS","6",",a","5",",a","1",",a","","","","","","","19281105",",,a","","","38.9",",,a,05,","","","103.4",",,,a","",""
"ASN00039090","1928-12","-24.9503","150.0725","142.0","THEODORE DPI, AS","10",",a","5",",a","1",",a","","","","","","","19281223",",,a","","","26.9",",,a,23,","","","85.5",",,,a","",""
"ASN00039090","1929-01","-24.9503","150.0725","142.0","THEODORE DPI, AS","5",",a","3",",a","0",",a","","","","","","","19290112",",,a","","","7.6",",,a,12,","","","24.0",",,,a","",""
"ASN00039090","1929-02","-24.9503","150.0725","142.0","THEODORE DPI, AS","14",",a","13",",a","3",",a","","","","","","","19290203",",,a","","","84.3",",,a,03,","","","298.7",",,,a","",""
"ASN00039090","1929-03","-24.9503","150.0725","142.0","THEODORE DPI, AS","4",",a","3",",a","2",",a","","","","","","","19290318",",,a","","","42.7",",,a,18,","","","98.3",",,,a","",""
