"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00027036","1908-01","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","26",",a","17",",a","7",",a","19080113",",,a","44.5",",,a,13,","360.9",",,,a"
"ASN00027036","1908-02","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","21",",a","18",",a","5",",a","19080219",",,a","88.9",",,a,19,","407.3",",,,a"
"ASN00027036","1908-03","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","20",",a","17",",a","7",",a","19080311",",,a","88.9",",,a,11,","528.3",",,,a"
"ASN00027036","1908-04","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","17",",a","10",",a","2",",a","19080401",",,a","61.2",",,a,01,","162.8",",,,a"
"ASN00027036","1908-05","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","10",",a","4",",a","0",",a","19080509",",,a","14.0",",,a,09,","32.4",",,,a"
"ASN00027036","1908-06","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","6",",a","2",",a","0",",a","19080612","+,,a","6.4",",,a,12,+","15.6",",,,a"
"ASN00027036","1908-07","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","5",",a","0",",a","0",",a","19080729","+,,a","1.0",",,a,29,+","3.8",",,,a"
"ASN00027036","1908-08","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","1",",a","0",",a","0",",a","19080822",",,a","1.5",",,a,22,","1.5",",,,a"
"ASN00027036","1908-09","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","4",",a","0",",a","0",",a","19080923",",,a","1.5",",,a,23,","2.8",",,,a"
"ASN00027036","1908-10","-10.5833","142.2167",,"THURSDAY ISLAND RESIDENCY, AS","6",",a","2",",a","0",",a","19081028",",,a","3.0",",,a,28,","7.5",",,,a"
