"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AU000005010","1877-02","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","21",",E","14",",E","1",",E","","","0",",E","15",",E","2",",E","0",",E","0",",E","18770203",",,E","","","18770213",",,E","18770226",",,E","-9.2",",E,03,","","","30.0",",,E,13,","11.0",",E,26,","2614.7","E","450.0",",E","160.9",",,,E","2.26",",E","4.53",",,,E","0.00",",,,E"
"AU000005010","1877-03","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","13",",E","10",",E","0",",E","","","0",",E","19",",E","8",",E","0",",E","0",",E","18770312",",,E","","","18770313",",,E","18770320",",,E","-15.0",",E,12,","","","11.5",",,E,13,","18.7",",E,20,","3123.1","E","508.4",",E","80.0",",,,E","1.93",",E","5.80",",,,E","-1.93",",,,E"
"AU000005010","1877-04","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","15",",E","15",",E","1",",E","","","0",",E","7",",E","0",",E","0",",E","0",",E","18770416",",,E","","","18770415",",,E","18770410",",,E","-2.5",",E,16,","","","25.5",",,E,15,","20.2",",E,10,","3481.1","E","358.0",",E","128.6",",,,E","6.40",",E","10.14",",,,E","2.65",",,,E"
"AU000005010","1877-05","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","16",",E","10",",E","0",",E","","","0",",E","1",",E","0",",E","1",",E","0",",E","18770504",",,E","","","18770519",",,E","18770529",",,E","-0.5",",E,04,","","","12.0",",,E,19,","22.0",",E,29,","3738.4","E","257.3",",E","65.0",",,,E","10.03",",E","13.82",",,,E","6.25",",,,E"
"AU000005010","1877-06","48.05","14.1331","383.0","KREMSMUENSTER, AU","24.0","E","24.0",",E","9",",E","8",",E","1",",E","","","0",",E","0",",E","0",",E","21",",E","0",",E","18770616",",,E","","","18770624",",,E","18770612",",,E","6.0",",E,16,","","","25.5",",,E,24,","28.0",",E,12,","3787.4","E","49.0",",E","97.7",",,,E","17.50",",E","22.53",",,,E","12.47",",,,E"
"AU000005010","1877-07","48.05","14.1331","383.0","KREMSMUENSTER, AU","35.1","E","11.1",",E","18",",E","16",",E","0",",E","","","0",",E","0",",E","0",",E","15",",E","0",",E","18770709",",,E","","","18770703",",,E","18770724",",,E","10.0",",E,09,","","","20.0",",,E,03,","29.0",",E,24,","47.6","E","47.6",",E","122.3",",,,E","17.15",",E","21.39",",,,E","12.92",",,,E"
"AU000005010","1877-08","48.05","14.1331","383.0","KREMSMUENSTER, AU","72.1","E","37.0",",E","11",",E","11",",E","1",",E","","","0",",E","0",",E","0",",E","25",",E","0",",E","18770805",",,E","","","18770802",",,E","18770821",",,E","7.0",",E,05,","","","35.7",",,E,02,","29.7",",E,21,","74.2","E","26.6",",E","140.7",",,,E","18.67",",E","23.34",",,,E","14.00",",,,E"
"AU000005010","1877-09","48.05","14.1331","383.0","KREMSMUENSTER, AU","72.1","E","0.0",",E","16",",E","15",",E","0",",E","","","0",",E","3",",E","0",",E","2",",E","0",",E","18770927",",,E","","","18770913",",,E","18770915",",,E","-1.6",",E,27,","","","18.0",",,E,13,","22.5",",E,15,","295.5","E","221.3",",E","127.1",",,,E","10.96",",E","14.88",",,,E","7.03",",,,E"
"AU000005010","1877-10","48.05","14.1331","383.0","KREMSMUENSTER, AU","72.1","E","0.0",",E","10",",E","7",",E","0",",E","","","0",",E","7",",E","0",",E","0",",E","0",",E","18771020",",,E","","","18771030",",,E","18771014",",,E","-4.0",",E,20,","","","8.7",",,E,30,","15.5",",E,14,","667.8","E","372.3",",E","43.3",",,,E","6.32",",E","9.99",",,,E","2.66",",,,E"
"AU000005010","1877-11","48.05","14.1331","383.0","KREMSMUENSTER, AU","72.1","E","0.0",",E","7",",E","7",",E","0",",E","","","0",",E","8",",E","0",",E","0",",E","0",",E","18771127","+,,E","","","18771128",",,E","18771113",",,E","-2.0",",E,27,+","","","12.4",",,E,28,","10.3",",E,13,","1109.7","E","441.9",",E","53.6",",,,E","3.60",",E","5.78",",,,E","1.42",",,,E"
"AU000005010","1877-12","48.05","14.1331","383.0","KREMSMUENSTER, AU","72.1","E","0.0",",E","17",",E","13",",E","0",",E","","","0",",E","22",",E","9",",E","0",",E","0",",E","18771226",",,E","","","18771201",",,E","18771203",",,E","-11.8",",E,26,","","","13.5",",,E,01,","5.5",",E,03,","1694.3","E","584.6",",E","93.2",",,,E","-0.52",",E","1.51",",,,E","-2.56",",,,E"
"AU000005010","1878-01","48.05","14.1331","383.0","KREMSMUENSTER, AU","0.0","E","0.0",",E","17",",E","10",",E","1",",E","","","3",",E","25",",E","16",",E","0",",E","0",",E","18780112",",,E","","","18780122",",,E","18780123",",,E","-23.2",",E,12,","","","40.5",",,E,22,","7.6",",E,23,","2367.3","E","673.0",",E","137.3",",,,E","-3.38",",E","-0.68",",,,E","-6.07",",,,E"
