"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"CA1ON000910","2023-07","43.2631142","-81.1560247",,"ST. MARYS 1.9 WNW UTRCA, ON CA","260.1","2,a,,N"
"CA1ON000910","2024-05","43.2631142","-81.1560247",,"ST. MARYS 1.9 WNW UTRCA, ON CA","127.8","1,a,,N"
