"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085247","2004-02","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","","","","","","","20040223",",5,S","","","18.0","5,S,23,","","","","","","","","","","","22.25","5,,,S"
"BLM00085247","2004-03","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","0","5,S","26","5,S","20","5,S","20040322",",4,S","20040302","+,5,S","16.0","4,S,22,","38.5","5,S,02,+","","","","","28.12","7,S","34.65","5,,,S","21.59","4,,,S"
"BLM00085247","2004-04","-17.833","-60.75","284.0","SAN JOSE, BL","","","0",",S","0",",S","","","","","","","20040428","+,,S","","","16.0",",S,28,+","","","","","","","","","","","20.92",",,,S"
"BLM00085247","2004-05","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","","","","","","","20040516","+,5,S","","","9.0","5,S,16,+","","","","","","","","","","","14.17","5,,,S"
"BLM00085247","2004-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","3,S","0","3,S","","","","","","","20040604",",3,S","","","6.5","3,S,04,","","","","","","","","","","","15.07","3,,,S"
"BLM00085247","2004-07","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","","","","","","","20040712",",5,S","","","9.5","5,S,12,","","","","","","","","","","","14.90","5,,,S"
"BLM00085247","2004-08","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","","","","","","","20040809",",4,S","","","7.0","4,S,09,","","","","","","","","","","","15.52","4,,,S"
"BLM00085247","2004-09","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","","","","","","","20040913",",5,S","","","12.6","5,S,13,","","","","","","","","","","","19.26","5,,,S"
"BLM00085247","2004-10","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","3,S","0","3,S","0","5,S","26","5,S","20","5,S","20041014",",3,S","20041007",",5,S","17.0","3,S,14,","40.0","5,S,07,","","","","","27.86","7,S","34.06","5,,,S","21.66","3,,,S"
"BLM00085247","2005-01","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","","","","","","","20050118",",5,S","","","17.0","5,S,18,","","","","","","","","","","","22.62","5,,,S"
"BLM00085247","2005-02","-17.833","-60.75","284.0","SAN JOSE, BL","209.6","5,S","0",",S","0",",S","0","5,S","22","5,S","17","5,S","20050202","+,,S","20050212",",5,S","16.0",",S,02,+","37.5","5,S,12,","","","0.0","5,S","27.52","5,S","33.22","5,,,S","21.82",",,,S"
"BLM00085247","2005-03","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","3,S","0","3,S","","","","","","","20050323",",3,S","","","15.0","3,S,23,","","","","","","","","","","","20.89","3,,,S"
"BLM00085247","2005-04","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","2,S","0","2,S","","","","","","","20050426",",2,S","","","10.5","2,S,26,","","","","","","","","","","","19.96","2,,,S"
"BLM00085247","2005-05","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","","","","","","","20050526","+,4,S","","","12.0","4,S,26,+","","","","","","","","","","","18.17","4,,,S"
"BLM00085247","2005-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","3,S","0","3,S","","","","","","","20050621",",3,S","","","13.0","3,S,21,","","","","","","","","","","","17.09","3,,,S"
"BLM00085247","2005-07","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","1,S","0","1,S","","","","","","","20050708",",1,S","","","6.0","1,S,08,","","","","","","","","","","","13.20","1,,,S"
"BLM00085247","2005-08","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","5,S","0","5,S","","","","","","","20050810",",5,S","","","10.2","5,S,10,","","","","","","","","","","","17.32","5,,,S"
"BLM00085247","2005-09","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","","","","","","","20050916",",4,S","","","10.0","4,S,16,","","","","","","","","","","","17.29","4,,,S"
"BLM00085247","2005-11","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","2,S","0","2,S","","","","","","","20051102",",2,S","","","18.0","2,S,02,","","","","","","","","","","","21.91","2,,,S"
"BLM00085247","2006-01","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","3,S","0","3,S","","","","","","","20060118",",3,S","","","19.0","3,S,18,","","","","","","","","","","","21.86","3,,,S"
"BLM00085247","2006-03","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","1,S","0","1,S","","","","","","","20060319",",1,S","","","19.0","1,S,19,","","","","","","","","","","","22.07","1,,,S"
"BLM00085247","2006-04","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","4,S","0","4,S","","","","","","","20060417",",4,S","","","12.5","4,S,17,","","","","","","","","","","","19.62","4,,,S"
"BLM00085247","2006-06","-17.833","-60.75","284.0","SAN JOSE, BL","","","0","2,S","0","2,S","","","","","","","20060618",",2,S","","","11.0","2,S,18,","","","","","","","","","","","16.54","2,,,S"
