"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085244","1995-08","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","2","5,S","1","5,S","0","5,S","","","","","","","","","","","","","19950804",",5,S","","","","","3.0","5,,S,04,","","","","","3.5","5,,,S","","","","","",""
"BLM00085244","1995-10","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","5,S","26","5,S","20","5,S","","","","","19951028","+,5,S","","","","","35.8","5,S,28,+","","","","","","","33.27","5,,,S","",""
"BLM00085244","1995-11","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","5,S","25","5,S","17","5,S","","","","","19951107","+,5,S","","","","","38.2","5,S,07,+","","","","","","","33.32","5,,,S","",""
"BLM00085244","1995-12","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","2,S","29","2,S","25","2,S","","","","","19951219","+,2,S","","","","","35.6","2,S,19,+","","","","","","","33.55","2,,,S","",""
"BLM00085244","1996-02","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","12","5,S","8","5,S","2","5,S","","","","","","","","","","","","","19960204",",5,S","","","","","42.9","5,,S,04,","","","","","117.6","5,,,S","","","","","",""
"BLM00085244","1996-03","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","5,S","26","5,S","15","5,S","","","","","19960330",",5,S","","","","","39.4","5,S,30,","","","","","","","32.40","5,,,S","",""
"BLM00085244","1996-10","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","","","","","","","","","","","0","2,S","29","2,S","15","2,S","","","","","19961020","+,2,S","","","","","33.4","2,S,20,+","","","","","","","30.90","2,,,S","",""
"BLM00085244","1996-11","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","9","5,S","5","5,S","1","5,S","","","","","","","","","","","","","19961103",",5,S","","","","","41.9","5,,S,03,","","","","","72.6","5,,,S","","","","","",""
"BLM00085244","1997-01","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","9","3,S","5","3,S","1","3,S","","","","","","","","","","","","","19970131",",3,S","","","","","30.0","3,,S,31,","","","","","77.0","3,,,S","","","","","",""
"BLM00085244","1997-02","-17.645","-63.135","373.4","VIRU VIRU INTERNATIONAL, BL","","","","","8","2,S","6","2,S","2","2,S","","","","","0","2,S","26","2,S","8","2,S","","","19970201",",2,S","19970227","+,2,S","","","33.0","2,,S,01,","34.4","2,S,27,+","","","112.7","2,,,S","","","30.85","2,,,S","",""
