"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BGM00041923","1985-01","23.779","90.383","7.3","TEJGAON, BG","","","0","5,S","0","5,S","0","5,S","","","","","","","","","","","","","19850131","+,5,S","","","","","0.0","5,,S,31,+","","","","","0.0","5,,,S","","","","","",""
"BGM00041923","1986-02","23.779","90.383","7.3","TEJGAON, BG","","","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","19860228","+,4,S","","","","","0.0","4,,S,28,+","","","","","0.0","4,,,S","","","","","",""
"BGM00041923","1986-04","23.779","90.383","7.3","TEJGAON, BG","","","","","","","","","","","","","0","4,S","26","4,S","16","4,S","","","","","19860416",",4,S","","","","","38.0","4,S,16,","","","","","","","33.43","4,,,S","",""
"BGM00041923","1986-08","23.779","90.383","7.3","TEJGAON, BG","","","","","","","","","","","","","0","5,S","26","5,S","19","5,S","","","","","19860810",",5,S","","","","","36.0","5,S,10,","","","","","","","32.88","5,,,S","",""
"BGM00041923","1990-09","23.779","90.383","7.3","TEJGAON, BG","","","","","","","","","","","","","0","4,S","26","4,S","12","4,S","","","","","19900901",",4,S","","","","","34.8","4,S,01,","","","","","","","32.24","4,,,S","",""
"BGM00041923","1990-10","23.779","90.383","7.3","TEJGAON, BG","","","3","3,S","0","3,S","0","3,S","","","","","0","4,S","27","4,S","3","4,S","","","19901007",",3,S","19901006",",4,S","","","2.0","3,,S,07,","34.0","4,S,06,","","","3.3","3,,,S","","","30.24","4,,,S","",""
"BGM00041923","1990-11","23.779","90.383","7.3","TEJGAON, BG","","","","","","","","","","","","","0","4,S","26","4,S","1","4,S","","","","","19901113",",4,S","","","","","32.3","4,S,13,","","","","","","","29.90","4,,,S","",""
"BGM00041923","1990-12","23.779","90.383","7.3","TEJGAON, BG","","","0","3,S","0","3,S","0","3,S","","","","","0","4,S","27","4,S","0","4,S","","","19901231","+,3,S","19901207",",4,S","","","0.0","3,,S,31,+","28.6","4,S,07,","","","0.0","3,,,S","","","26.64","4,,,S","",""
"BGM00041923","1991-02","23.779","90.383","7.3","TEJGAON, BG","","","0","4,S","0","4,S","0","4,S","","","","","","","","","","","","","19910228","+,4,S","","","","","0.0","4,,S,28,+","","","","","0.0","4,,,S","","","","","",""
"BGM00041923","1991-03","23.779","90.383","7.3","TEJGAON, BG","","","1","5,S","0","5,S","0","5,S","","","","","0","4,S","27","4,S","14","4,S","","","19910324",",5,S","19910320",",4,S","","","1.0","5,,S,24,","36.8","4,S,20,","","","1.0","5,,,S","","","32.62","4,,,S","",""
"BGM00041923","1991-06","23.779","90.383","7.3","TEJGAON, BG","","","","","","","","","","","","","0","3,S","27","3,S","11","3,S","","","","","19910622","+,3,S","","","","","34.0","3,S,22,+","","","","","","","31.46","3,,,S","",""
"BGM00041923","1992-02","23.779","90.383","7.3","TEJGAON, BG","","","","","","","","","","","","","0","5,S","24","5,S","0","5,S","","","","","19920214",",5,S","","","","","27.5","5,S,14,","","","","","","","25.48","5,,,S","",""
"BGM00041923","1992-04","23.779","90.383","7.3","TEJGAON, BG","","","","","","","","","","","","","0","4,S","26","4,S","25","4,S","","","","","19920412","+,4,S","","","","","39.2","4,S,12,+","","","","","","","36.18","4,,,S","",""
"BGM00041923","1992-09","23.779","90.383","7.3","TEJGAON, BG","","","","","","","","","","","","","0","1,S","29","1,S","19","1,S","","","","","19920922",",1,S","","","","","35.0","1,S,22,","","","","","","","32.25","1,,,S","",""
"BGM00041923","1992-11","23.779","90.383","7.3","TEJGAON, BG","","","1",",S","0",",S","0",",S","","","","","0","3,S","27","3,S","3","3,S","","","19921124",",,S","19921102",",3,S","","","2.0",",,S,24,","33.5","3,S,02,","","","2.0",",,,S","","","29.66","3,,,S","",""
