"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026947","1955-02","52.75","26.433","157.0","GANEVICI, BO","15",",I","6",",I","0",",I","","","","","19550219",",,I","","","9.8",",,I,19,","41.8",",,,I"
"BOM00026947","1955-03","52.75","26.433","157.0","GANEVICI, BO","11",",I","6",",I","0",",I","","","","","19550322",",,I","","","6.2",",,I,22,","26.2",",,,I"
"BOM00026947","1955-04","52.75","26.433","157.0","GANEVICI, BO","10","1,I","4","1,I","0","1,I","","","","","19550420",",1,I","","","7.5","1,,I,20,","30.5","1,,,I"
"BOM00026947","1955-05","52.75","26.433","157.0","GANEVICI, BO","16","1,I","12","1,I","0","1,I","","","","","19550519",",1,I","","","17.9","1,,I,19,","85.1","1,,,I"
"BOM00026947","1955-06","52.75","26.433","157.0","GANEVICI, BO","7","1,I","3","1,I","0","1,I","","","","","19550611",",1,I","","","22.8","1,,I,11,","34.8","1,,,I"
"BOM00026947","1955-07","52.75","26.433","157.0","GANEVICI, BO","17",",I","10",",I","1",",I","","","","","19550708",",,I","","","36.4",",,I,08,","132.3",",,,I"
"BOM00026947","1955-08","52.75","26.433","157.0","GANEVICI, BO","7",",I","4",",I","0",",I","","","","","19550824",",,I","","","14.9",",,I,24,","37.5",",,,I"
"BOM00026947","1955-09","52.75","26.433","157.0","GANEVICI, BO","11",",I","8",",I","0",",I","","","","","19550916",",,I","","","9.1",",,I,16,","48.2",",,,I"
"BOM00026947","1955-10","52.75","26.433","157.0","GANEVICI, BO","7","2,I","3","2,I","0","2,I","","","","","19551018",",2,I","","","11.0","2,,I,18,","25.1","2,,,I"
"BOM00026947","1955-11","52.75","26.433","157.0","GANEVICI, BO","14","1,I","5","1,I","0","1,I","","","","","19551128",",1,I","","","5.5","1,,I,28,","29.6","1,,,I"
"BOM00026947","1955-12","52.75","26.433","157.0","GANEVICI, BO","19","1,I","11","1,I","0","1,I","","","","","19551206",",1,I","","","11.2","1,,I,06,","70.0","1,,,I"
"BOM00026947","1956-01","52.75","26.433","157.0","GANEVICI, BO","16",",I","2",",I","0",",I","","","","","19560116",",,I","","","7.3",",,I,16,","26.4",",,,I"
"BOM00026947","1956-02","52.75","26.433","157.0","GANEVICI, BO","12",",I","5",",I","0",",I","","","","","19560213",",,I","","","12.3",",,I,13,","40.7",",,,I"
"BOM00026947","1956-03","52.75","26.433","157.0","GANEVICI, BO","10",",I","2",",I","0",",I","","","","","19560301",",,I","","","10.2",",,I,01,","27.9",",,,I"
"BOM00026947","1956-04","52.75","26.433","157.0","GANEVICI, BO","16",",I","7",",I","0",",I","","","","","19560430",",,I","","","8.2",",,I,30,","44.8",",,,I"
"BOM00026947","1956-05","52.75","26.433","157.0","GANEVICI, BO","12",",I","6",",I","0",",I","","","","","19560504",",,I","","","17.4",",,I,04,","47.4",",,,I"
"BOM00026947","1956-06","52.75","26.433","157.0","GANEVICI, BO","13","1,I","8","1,I","0","1,I","","","","","19560623",",1,I","","","22.2","1,,I,23,","67.4","1,,,I"
"BOM00026947","1956-07","52.75","26.433","157.0","GANEVICI, BO","18",",I","12",",I","0",",I","","","","","19560730",",,I","","","23.1",",,I,30,","111.0",",,,I"
"BOM00026947","1956-08","52.75","26.433","157.0","GANEVICI, BO","17",",I","8",",I","0",",I","","","","","19560830",",,I","","","25.1",",,I,30,","107.2",",,,I"
"BOM00026947","1956-09","52.75","26.433","157.0","GANEVICI, BO","8",",I","4",",I","1",",I","","","","","19560913",",,I","","","35.2",",,I,13,","51.5",",,,I"
"BOM00026947","1956-10","52.75","26.433","157.0","GANEVICI, BO","14","1,I","7","1,I","1","1,I","","","","","19561007",",1,I","","","35.2","1,,I,07,","79.1","1,,,I"
"BOM00026947","1956-11","52.75","26.433","157.0","GANEVICI, BO","12",",I","4",",I","0",",I","","","","","19561118",",,I","","","6.4",",,I,18,","29.8",",,,I"
"BOM00026947","1957-01","52.75","26.433","157.0","GANEVICI, BO","10","1,I","3","1,I","0","1,I","","","","","19570106",",1,I","","","10.0","1,,I,06,","32.4","1,,,I"
"BOM00026947","1957-02","52.75","26.433","157.0","GANEVICI, BO","16",",I","6",",I","0",",I","","","","","19570223",",,I","","","9.3",",,I,23,","43.7",",,,I"
"BOM00026947","1957-03","52.75","26.433","157.0","GANEVICI, BO","9","1,I","2","1,I","0","1,I","","","","","19570316",",1,I","","","10.5","1,,I,16,","23.1","1,,,I"
"BOM00026947","1957-04","52.75","26.433","157.0","GANEVICI, BO","5","1,I","1","1,I","0","1,I","","","","","19570418",",1,I","","","2.8","1,,I,18,","4.9","1,,,I"
"BOM00026947","1957-05","52.75","26.433","157.0","GANEVICI, BO","8",",I","5",",I","0",",I","","","","","19570518",",,I","","","16.9",",,I,18,","33.9",",,,I"
"BOM00026947","1957-06","52.75","26.433","157.0","GANEVICI, BO","8",",I","6",",I","1",",I","","","","","19570625",",,I","","","36.3",",,I,25,","104.5",",,,I"
"BOM00026947","1957-07","52.75","26.433","157.0","GANEVICI, BO","13",",I","7",",I","2",",I","","","","","19570719",",,I","","","48.2",",,I,19,","138.7",",,,I"
"BOM00026947","1957-08","52.75","26.433","157.0","GANEVICI, BO","14",",I","7",",I","1",",I","","","","","19570815",",,I","","","34.0",",,I,15,","92.7",",,,I"
"BOM00026947","1957-09","52.75","26.433","157.0","GANEVICI, BO","18",",I","13",",I","0",",I","","","","","19570918",",,I","","","14.0",",,I,18,","123.2",",,,I"
"BOM00026947","1957-10","52.75","26.433","157.0","GANEVICI, BO","8",",I","1",",I","0",",I","","","","","19571024",",,I","","","3.1",",,I,24,","10.1",",,,I"
"BOM00026947","1957-11","52.75","26.433","157.0","GANEVICI, BO","8",",I","4",",I","0",",I","","","","","19571129",",,I","","","14.1",",,I,29,","39.4",",,,I"
"BOM00026947","1957-12","52.75","26.433","157.0","GANEVICI, BO","10",",I","4",",I","0",",I","","","","","19571209",",,I","","","7.1",",,I,09,","27.0",",,,I"
"BOM00026947","1958-01","52.75","26.433","157.0","GANEVICI, BO","20",",I","5",",I","0",",I","","","","","19580124",",,I","","","17.4",",,I,24,","53.4",",,,I"
"BOM00026947","1958-02","52.75","26.433","157.0","GANEVICI, BO","18",",I","10",",I","0",",I","","","","","19580205",",,I","","","6.6",",,I,05,","51.8",",,,I"
"BOM00026947","1958-03","52.75","26.433","157.0","GANEVICI, BO","22",",I","10",",I","0",",I","","","","","19580331",",,I","","","16.2",",,I,31,","99.3",",,,I"
"BOM00026947","1958-04","52.75","26.433","157.0","GANEVICI, BO","13",",I","6",",I","0",",I","","","","","19580405",",,I","","","6.9",",,I,05,","37.1",",,,I"
"BOM00026947","1958-05","52.75","26.433","157.0","GANEVICI, BO","11",",I","8",",I","0",",I","","","","","19580517",",,I","","","16.3",",,I,17,","47.5",",,,I"
"BOM00026947","1958-06","52.75","26.433","157.0","GANEVICI, BO","17",",I","14",",I","0",",I","","","","","19580630",",,I","","","17.7",",,I,30,","106.9",",,,I"
"BOM00026947","1958-07","52.75","26.433","157.0","GANEVICI, BO","16",",I","8",",I","0",",I","","","","","19580705",",,I","","","21.8",",,I,05,","75.8",",,,I"
"BOM00026947","1958-08","52.75","26.433","157.0","GANEVICI, BO","13",",I","7",",I","0",",I","","","","","19580828",",,I","","","16.5",",,I,28,","73.2",",,,I"
"BOM00026947","1958-09","52.75","26.433","157.0","GANEVICI, BO","9",",I","4",",I","0",",I","","","","","19580920",",,I","","","6.9",",,I,20,","24.1",",,,I"
"BOM00026947","1958-10","52.75","26.433","157.0","GANEVICI, BO","12","1,I","5","1,I","0","1,I","","","","","19581008",",1,I","","","6.9","1,,I,08,","34.0","1,,,I"
"BOM00026947","1958-11","52.75","26.433","157.0","GANEVICI, BO","10",",I","4",",I","0",",I","","","","","19581110",",,I","","","8.2",",,I,10,","28.4",",,,I"
"BOM00026947","1958-12","52.75","26.433","157.0","GANEVICI, BO","23",",I","6",",I","0",",I","","","","","19581215",",,I","","","9.4",",,I,15,","53.0",",,,I"
"BOM00026947","1959-01","52.75","26.433","157.0","GANEVICI, BO","14",",I","4",",I","0",",I","","","","","19590105",",,I","","","19.4",",,I,05,","55.8",",,,I"
"BOM00026947","1959-02","52.75","26.433","157.0","GANEVICI, BO","10",",I","1",",I","0",",I","","","","","19590223",",,I","","","2.5",",,I,23,","14.7",",,,I"
"BOM00026947","1959-03","52.75","26.433","157.0","GANEVICI, BO","8","1,I","6","1,I","0","1,I","","","","","19590329",",1,I","","","11.4","1,,I,29,","38.2","1,,,I"
