"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"ASN00032150","1985-12","-17.505","146.0094","4.0","GOONDI, AS","8",",a","6",",a","0",",a","19851228",",,a","23.4",",,a,28,","93.1",",,,a"
"ASN00032150","1986-01","-17.505","146.0094","4.0","GOONDI, AS","23",",a","16",",a","9",",a","19860130",",,a","167.6",",,a,30,","701.6",",,,a"
"ASN00032150","1986-02","-17.505","146.0094","4.0","GOONDI, AS","10",",a","6",",a","3",",a","19860202",",,a","203.6",",,a,02,","380.8",",,,a"
"ASN00032150","1986-03","-17.505","146.0094","4.0","GOONDI, AS","24",",a","21",",a","8",",a","19860328",",,a","135.0",",,a,28,","633.6",",,,a"
"ASN00032150","1986-04","-17.505","146.0094","4.0","GOONDI, AS","25",",a","24",",a","5",",a","19860427",",,a","124.8",",,a,27,","486.0",",,,a"
"ASN00032150","1986-05","-17.505","146.0094","4.0","GOONDI, AS","18",",a","14",",a","3",",a","19860502",",,a","55.0",",,a,02,","211.2",",,,a"
"ASN00032150","1986-06","-17.505","146.0094","4.0","GOONDI, AS","17",",a","13",",a","6",",a","19860602",",,a","56.8",",,a,02,","314.6",",,,a"
"ASN00032150","1986-07","-17.505","146.0094","4.0","GOONDI, AS","16","2,a","7","2,a","0","2,a","19860720",",2,a","24.0","2,,a,20,","62.8",",a,,a"
"ASN00032150","1986-08","-17.505","146.0094","4.0","GOONDI, AS","12","2,a","8","2,a","1","2,a","19860830",",2,a","29.6","2,,a,30,","115.2",",a,,a"
"ASN00032150","1986-09","-17.505","146.0094","4.0","GOONDI, AS","9",",a","6",",a","2",",a","19860903",",,a","34.0",",,a,03,","90.8",",,,a"
"ASN00032150","1986-10","-17.505","146.0094","4.0","GOONDI, AS","7",",a","5",",a","1",",a","19861011",",,a","55.0",",,a,11,","103.0",",,,a"
"ASN00032150","1986-11","-17.505","146.0094","4.0","GOONDI, AS","10",",a","5",",a","0",",a","19861105",",,a","20.8",",,a,05,","56.0",",,,a"
"ASN00032150","1986-12","-17.505","146.0094","4.0","GOONDI, AS","5",",a","5",",a","2",",a","19861205",",,a","30.4",",,a,05,","88.8",",,,a"
"ASN00032150","1987-01","-17.505","146.0094","4.0","GOONDI, AS","10",",a","5",",a","2",",a","19870118",",,a","42.6",",,a,18,","114.2",",,,a"
"ASN00032150","1987-02","-17.505","146.0094","4.0","GOONDI, AS","22",",a","18",",a","5",",a","19870215",",,a","134.0",",,a,15,","607.6",",,,a"
"ASN00032150","1987-03","-17.505","146.0094","4.0","GOONDI, AS","19",",a","12",",a","4",",a","19870309",",,a","52.2",",,a,09,","227.0",",,,a"
"ASN00032150","1987-04","-17.505","146.0094","4.0","GOONDI, AS","28",",a","25",",a","6",",a","19870425",",,a","49.4",",,a,25,","509.8",",,,a"
"ASN00032150","1987-05","-17.505","146.0094","4.0","GOONDI, AS","18",",a","14",",a","4",",a","19870509",",,a","154.8",",,a,09,","412.4",",,,a"
"ASN00032150","1987-06","-17.505","146.0094","4.0","GOONDI, AS","20",",a","17",",a","10",",a","19870617",",,a","67.0",",,a,17,","542.2",",,,a"
"ASN00032150","1987-07","-17.505","146.0094","4.0","GOONDI, AS","9",",a","6",",a","2",",a","19870709",",,a","64.0",",,a,09,","172.0",",,,a"
"ASN00032150","1987-08","-17.505","146.0094","4.0","GOONDI, AS","12",",a","6",",a","0",",a","19870809",",,a","14.0",",,a,09,","53.2",",,,a"
"ASN00032150","1987-09","-17.505","146.0094","4.0","GOONDI, AS","17",",a","13",",a","2",",a","19870913",",,a","32.6",",,a,13,","147.6",",,,a"
"ASN00032150","1987-10","-17.505","146.0094","4.0","GOONDI, AS","5",",a","3",",a","1",",a","19871031",",,a","28.2",",,a,31,","43.4",",,,a"
"ASN00032150","1987-11","-17.505","146.0094","4.0","GOONDI, AS","16",",a","11",",a","1",",a","19871102",",,a","31.4",",,a,02,","134.2",",,,a"
"ASN00032150","1987-12","-17.505","146.0094","4.0","GOONDI, AS","12",",a","9",",a","5",",a","19871227",",,a","72.2",",,a,27,","279.6",",,,a"
"ASN00032150","1988-01","-17.505","146.0094","4.0","GOONDI, AS","20",",a","16",",a","1",",a","19880108",",,a","45.0",",,a,08,","213.8",",,,a"
"ASN00032150","1988-02","-17.505","146.0094","4.0","GOONDI, AS","18",",a","10",",a","7",",a","19880212",",,a","56.0",",,a,12,","398.6",",,,a"
"ASN00032150","1988-03","-17.505","146.0094","4.0","GOONDI, AS","23",",a","19",",a","10",",a","19880320",",,a","144.8",",,a,20,","727.0",",,,a"
"ASN00032150","1988-04","-17.505","146.0094","4.0","GOONDI, AS","17",",a","15",",a","9",",a","19880419",",,a","47.0",",,a,19,","374.8",",,,a"
"ASN00032150","1988-05","-17.505","146.0094","4.0","GOONDI, AS","14",",a","11",",a","3",",a","19880502",",,a","29.4",",,a,02,","139.6",",,,a"
"ASN00032150","1988-07","-17.505","146.0094","4.0","GOONDI, AS","20",",a","15",",a","1",",a","19880704",",,a","31.2",",,a,04,","171.2",",,,a"
"ASN00032150","1988-08","-17.505","146.0094","4.0","GOONDI, AS","18","3,a","13","3,a","3","3,a","19880824",",3,a","37.0","3,,a,24,","191.0",",a,,a"
"ASN00032150","1988-09","-17.505","146.0094","4.0","GOONDI, AS","10",",a","8",",a","1",",a","19880927",",,a","28.0",",,a,27,","71.8",",,,a"
"ASN00032150","1988-10","-17.505","146.0094","4.0","GOONDI, AS","7","2,a","4","2,a","0","2,a","19881012",",2,a","23.2","2,,a,12,","103.4",",a,,a"
"ASN00032150","1988-11","-17.505","146.0094","4.0","GOONDI, AS","17",",a","14",",a","3",",a","19881101",",,a","75.0",",,a,01,","301.8",",,,a"
"ASN00032150","1988-12","-17.505","146.0094","4.0","GOONDI, AS","","","","","","","","","","","472.8",",a,,a"
"ASN00032150","1989-01","-17.505","146.0094","4.0","GOONDI, AS","18",",a","11",",a","4",",a","19890126",",,a","106.0",",,a,26,","328.6",",,,a"
"ASN00032150","1989-02","-17.505","146.0094","4.0","GOONDI, AS","16",",a","13",",a","4",",a","19890202",",,a","81.0",",,a,02,","235.2",",,,a"
"ASN00032150","1989-03","-17.505","146.0094","4.0","GOONDI, AS","25",",a","24",",a","8",",a","19890306",",,a","164.2",",,a,06,","715.0",",,,a"
"ASN00032150","1989-04","-17.505","146.0094","4.0","GOONDI, AS","24",",a","22",",a","10",",a","19890424",",,a","75.0",",,a,24,","624.2",",,,a"
"ASN00032150","1989-05","-17.505","146.0094","4.0","GOONDI, AS","21",",a","20",",a","7",",a","19890522",",,a","106.6",",,a,22,","614.2",",,,a"
"ASN00032150","1989-06","-17.505","146.0094","4.0","GOONDI, AS","12",",a","9",",a","2",",a","19890606",",,a","41.2",",,a,06,","128.0",",,,a"
"ASN00032150","1989-07","-17.505","146.0094","4.0","GOONDI, AS","12","2,a","8","2,a","1","2,a","19890709",",2,a","34.4","2,,a,09,","94.6",",a,,a"
"ASN00032150","1989-08","-17.505","146.0094","4.0","GOONDI, AS","7",",a","4",",a","0",",a","19890829",",,a","9.2",",,a,29,","26.2",",,,a"
"ASN00032150","1989-09","-17.505","146.0094","4.0","GOONDI, AS","7","3,a","4","3,a","1","3,a","19890905",",3,a","27.0","3,,a,05,","43.0",",a,,a"
"ASN00032150","1989-10","-17.505","146.0094","4.0","GOONDI, AS","4","4,a","2","4,a","1","4,a","19891029",",4,a","27.8","4,,a,29,","38.4",",a,,a"
"ASN00032150","1989-11","-17.505","146.0094","4.0","GOONDI, AS","12","4,a","10","4,a","6","4,a","19891123",",4,a","175.8","4,,a,23,","591.0",",a,,a"
"ASN00032150","1989-12","-17.505","146.0094","4.0","GOONDI, AS","10","2,a","7","2,a","3","2,a","19891217",",2,a","112.2","2,,a,17,","209.6",",a,,a"
"ASN00032150","1990-01","-17.505","146.0094","4.0","GOONDI, AS","16",",a","12",",a","2",",a","19900112",",,a","54.6",",,a,12,","162.0",",,,a"
"ASN00032150","1990-02","-17.505","146.0094","4.0","GOONDI, AS","10",",a","7",",a","1",",a","19900224",",,a","38.8",",,a,24,","102.2",",,,a"
"ASN00032150","1990-03","-17.505","146.0094","4.0","GOONDI, AS","23",",a","20",",a","11",",a","19900323",",,a","113.8",",,a,23,","845.0",",,,a"
"ASN00032150","1990-04","-17.505","146.0094","4.0","GOONDI, AS","20",",a","15",",a","5",",a","19900418",",,a","79.2",",,a,18,","423.2",",,,a"
"ASN00032150","1990-05","-17.505","146.0094","4.0","GOONDI, AS","25",",a","20",",a","8",",a","19900511",",,a","123.0",",,a,11,","651.0",",,,a"
"ASN00032150","1990-06","-17.505","146.0094","4.0","GOONDI, AS","15",",a","11",",a","3",",a","19900606",",,a","70.4",",,a,06,","228.8",",,,a"
"ASN00032150","1990-07","-17.505","146.0094","4.0","GOONDI, AS","15",",a","9",",a","1",",a","19900710",",,a","28.0",",,a,10,","96.6",",,,a"
"ASN00032150","1990-08","-17.505","146.0094","4.0","GOONDI, AS","1",",a","0",",a","0",",a","19900830",",,a","0.8",",,a,30,","2.0",",,,a"
"ASN00032150","1990-09","-17.505","146.0094","4.0","GOONDI, AS","15",",a","11",",a","2",",a","19900918",",,a","51.6",",,a,18,","192.0",",,,a"
"ASN00032150","1990-10","-17.505","146.0094","4.0","GOONDI, AS","10",",a","4",",a","0",",a","19901002",",,a","13.2",",,a,02,","47.2",",,,a"
"ASN00032150","1990-11","-17.505","146.0094","4.0","GOONDI, AS","4",",a","2",",a","0",",a","19901113",",,a","5.8",",,a,13,","13.8",",,,a"
"ASN00032150","1990-12","-17.505","146.0094","4.0","GOONDI, AS","15","3,a","11","3,a","3","3,a","19901225",",3,a","153.0","3,,a,25,","387.4",",a,,a"
"ASN00032150","1991-01","-17.505","146.0094","4.0","GOONDI, AS","19","2,a","16","2,a","8","2,a","19910115",",2,a","111.4","2,,a,15,","965.4",",a,,a"
"ASN00032150","1991-02","-17.505","146.0094","4.0","GOONDI, AS","25",",a","23",",a","11",",a","19910217",",,a","206.2",",,a,17,","1079.8",",,,a"
"ASN00032150","1991-03","-17.505","146.0094","4.0","GOONDI, AS","12",",a","7",",a","2",",a","19910304",",,a","36.6",",,a,04,","113.2",",,,a"
