target,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,COARSE,SAND,SILT,CLAY,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,TG,TN,TX,RR,RR1,Year
2.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.195117380952013,3.2086199999999963,32.400120000000015,6.30152866190476,1.59523809523809,2021
2.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.753680476190027,3.6936000000000035,32.496579999999994,7.12511079523809,1.45238095238095,2021
2.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.987696190476015,3.976380000000006,33.797000000000025,6.1376916547619,1.38095238095238,2021
2.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.212623095237973,4.033020000000022,33.54020000000003,6.84322999047619,1.26190476190476,2021
1.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.195117380952013,3.2086199999999963,32.400120000000015,6.30152866190476,1.59523809523809,2021
1.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.753680476190027,3.6936000000000035,32.496579999999994,7.12511079523809,1.45238095238095,2021
1.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.987696190476015,3.976380000000006,33.797000000000025,6.1376916547619,1.38095238095238,2021
1.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.212623095237973,4.033020000000022,33.54020000000003,6.84322999047619,1.26190476190476,2021
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.195117380952013,3.2086199999999963,32.400120000000015,6.30152866190476,1.59523809523809,2021
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.753680476190027,3.6936000000000035,32.496579999999994,7.12511079523809,1.45238095238095,2021
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,17.987696190476015,3.976380000000006,33.797000000000025,6.1376916547619,1.38095238095238,2021
3.0,50,RGeu,B,11.0,MW,1,106,18,66,20,14,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4.0,1,18.212623095237973,4.033020000000022,33.54020000000003,6.84322999047619,1.26190476190476,2021
