STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
ASN00003013,1920-12,-18.145,124.0275,80.0,"LULUIGUI, AS",,,,,8.0,",a",6.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,19201225.0,",,a",,,,,,,,,117.6,",,a,25,",,,,,,,220.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003014,1908-12,-18.2914,125.5869,150.0,"GOGO STATION, AS",,,,,7.0,",a",4.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19081207.0,",,a",,,,,,,,,19.3,",,a,07,",,,,,,,47.7,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003015,1750-03,-17.3681,123.9956,75.0,"MEDA, AS",,,,,9.0,"2,a",8.0,"2,a",1.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500320.0,",2,a",,,,,,,,,28.0,"2,,a,20,",,,,,,,85.2,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003016,1900-08,-18.0358,123.9286,40.0,"MOUNT ANDERSON, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19000831.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003017,1923-11,-17.0522,125.7047,270.0,"MOUNT HOUSE STATION, AS",,,,,2.0,",a",2.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19231128.0,",,a",,,,,,,,,25.7,",,a,28,",,,,,,,39.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003018,1907-09,-18.1219,124.2692,60.0,"MYROODAH, AS",,,,,1.0,",a",1.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19070923.0,",,a",,,,,,,,,7.4,",,a,23,",,,,,,,7.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003019,1750-03,-17.3306,124.8167,80.0,"NAPIER DOWNS, AS",,,,,9.0,"2,a",8.0,"2,a",2.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500314.0,",2,a",,,,,,,,,58.0,"2,,a,14,",,,,,,,173.4,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003020,1935-02,-18.5,124.3992,95.0,"NERRIMA, AS",,,,,5.0,",a",4.0,",a",2.0,",a",,,,,,,,,,,,,,,,,,,,,,,19350204.0,",,a",,,,,,,,,26.9,",,a,04,",,,,,,,75.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003021,1899-05,-18.4875,124.8231,70.0,"NOONKANBAH, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,18990531.0,"+,,a",,,,,,,,,0.0,",,a,31,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003022,1898-09,-18.3817,125.2267,100.0,"QUANBUN DOWNS, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,18980930.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003023,1903-06,-17.9311,122.4725,15.0,"ROEBUCK PLAINS, AS",,,,,0.0,",a",0.0,",a",0.0,",a",,,,,,,,,,,,,,,,,,,,,,,19030630.0,"+,,a",,,,,,,,,0.0,",,a,30,+",,,,,,,0.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003024,1750-03,-17.9464,123.7383,20.0,"UDIALLA, AS",,,,,9.0,"2,a",7.0,"2,a",2.0,"2,a",,,,,,,,,,,,,,,,,,,,,,,17500308.0,",2,a",,,,,,,,,35.0,"2,,a,08,",,,,,,,107.2,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASN00003025,1948-01,-16.09,123.5942,13.0,"COCKATOO ISLAND, AS",,,,,4.0,",a",2.0,",a",1.0,",a",,,,,,,,,,,,,,,,,,,,,,,19480125.0,",,a",,,,,,,,,34.5,",,a,25,",,,,,,,39.6,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
