,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES
986,ASN00056242,1750-03,-29.7796,151.1121,582.0,"INVERELL RAGLAN ST, AS",10.0,"2,a",7.0,"2,a",0.0,"2,a",17500307.0,",2,a",22.2,"2,,a,07,",73.8,"2,,,a",,,167.2,"2,a",0.0,"2,a",0.0,"2,a",0.0,"2,a",29.0,"2,a",8.0,"2,a",17500320.0,",2,a",17500303.0,",2,a",11.9,"2,a,20,",35.2,"2,a,03,",,,0.0,"2,a",24.1,"2,a",31.16,"2,,,a",17.04,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,ASN00056243,1750-03,-29.678,151.694,1044.3,"GLEN INNES AIRPORT AWS, AS",9.0,"2,a",7.0,"2,a",0.0,"2,a",17500329.0,",2,a",21.6,"2,,a,29,",87.2,"2,,,a",,,74.9,"2,a",0.0,"2,a",0.0,"2,a",0.0,"2,a",29.0,"2,a",0.0,"2,a",17500314.0,",2,a",17500305.0,",2,a",9.6,"2,a,14,",31.4,"2,a,05,",,,0.0,"2,a",20.92,"2,a",27.26,"2,,,a",14.58,"2,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,ASN00057000,1885-09,-30.2667,152.0167,914.4,"ABERFOYLE, AS",6.0,",a",5.0,",a",1.0,",a",18850915.0,",,a",25.4,",,a,15,",64.0,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,ASN00057001,1902-01,-30.3659,152.2315,1285.0,"EBOR GLENOWEN, AS",9.0,",a",6.0,",a",0.0,",a",19020109.0,",,a",13.2,",,a,09,",47.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,ASN00057002,1941-04,-30.2,151.9,,"BILLABONG, AS",2.0,",a",2.0,",a",0.0,",a",19410408.0,",,a",7.9,",,a,08,",10.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,ASN00057003,1750-03,-28.737,152.6228,170.0,"BONALBO POST OFFICE, AS",13.0,"3,a",9.0,"3,a",1.0,"3,a",17500320.0,",3,a",26.4,"3,,a,20,",115.0,"3,,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,ASN00057004,1896-04,-29.8317,152.4067,274.3,"DALMORTON HOMESTEAD, AS",4.0,",a",3.0,",a",0.0,",a",18960411.0,",,a",16.0,",,a,11,",25.4,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,ASN00057005,1750-03,-28.9279,152.3759,490.0,"DRAKE VILLAGE RESOURCE CENTRE, AS",,,,,,,,,,,108.8,"2,a,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,ASN00057006,1921-01,-29.4667,152.45,97.0,"DUMPE, AS",12.0,",a",9.0,",a",1.0,",a",19210106.0,",,a",25.7,",,a,06,",124.9,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,ASN00057007,1937-01,-30.45,151.9167,609.9,"ARMIDALE FORGLEN, AS",8.0,",a",7.0,",a",2.0,",a",19370109.0,",,a",35.6,",,a,09,",115.5,",,,a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
