,Longitude,Latitude,Soil Mapping Unit,Continent,Country,Region Lv1,Grape_Variety,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,ROOTS_x,IL_x,HWSD2_SMU_ID_y,SEQUENCE,SHARE_y,WRB4_y,ROOT_DEPTH_y,ROOTS_y,IL_y,SWR,DRAINAGE_y,AWC_y,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_y,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,Top12_Grape
17,-72.68333333,-38.24166667,7001,Americas,Chile,Southern Chile,pinot noir,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
18,-71.25,-34.98333333,7001,Americas,Chile,Central Valley,pinot noir,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
19,19.875,-33.8,7001,Africa,South Africa,Robertson,pinot noir,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
20,19.88333333,-33.8,7001,Africa,South Africa,Robertson,pinot noir,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
21,19.875,-33.8,7001,Africa,South Africa,Robertson,syrah,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
22,19.88333333,-33.8,7001,Africa,South Africa,Robertson,syrah,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
23,-70.63333333,-33.60833333,7001,Americas,Chile,Central Valley,cabernet sauvignon,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
24,-70.89166667,-33.6,7001,Americas,Chile,Central Valley,carmenere,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
25,-70.59166667,-33.50833333,7001,Americas,Chile,Central Valley,carmenere,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
26,-117.6333333,34.025,7001,Americas,United States,California,zinfandel,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
27,-117.6333333,34.025,7001,Americas,United States,California,alicante bouschet,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
28,-117.6333333,34.025,7001,Americas,United States,California,zinfandel,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
29,-117.6333333,34.025,7001,Americas,United States,California,palomino,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
30,-121.725,37.68333333,7001,Americas,United States,California,cabernet sauvignon,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
31,-121.725,37.68333333,7001,Americas,United States,California,cabernet franc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
32,-121.725,37.68333333,7001,Americas,United States,California,petit verdot,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
33,-121.725,37.68333333,7001,Americas,United States,California,malbec,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
34,-121.725,37.68333333,7001,Americas,United States,California,merlot,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
35,-105.2,38.45,7001,Americas,United States,Colorado,cabernet franc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
36,-123.2083333,39.2,7001,Americas,United States,California,petit sirah,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
37,16.0,45.80833333,7001,Europe,Croatia,Littoral Croatia,syrah,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
38,7.45,48.40833333,7001,Europe,France,Alsace,gewurztraminer,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
39,7.366666667,48.075,7001,Europe,France,Alsace,riesling,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
40,7.45,48.40833333,7001,Europe,France,Alsace,gewurztraminer,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
41,-0.608333333,44.825,7001,Europe,France,Bordeaux,merlot,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
42,-0.608333333,44.81666667,7001,Europe,France,Bordeaux,merlot,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
43,-0.608333333,44.825,7001,Europe,France,Bordeaux,cabernet sauvignon,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
44,-0.608333333,44.81666667,7001,Europe,France,Bordeaux,cabernet sauvignon,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
45,-0.608333333,44.825,7001,Europe,France,Bordeaux,cabernet franc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
46,-0.608333333,44.81666667,7001,Europe,France,Bordeaux,cabernet franc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
47,4.841666667,47.025,7001,Europe,France,Burgundy,chardonnay,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
48,4.041666667,49.25833333,7001,Europe,France,Champagne – Champagne,chardonnay,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
49,3.125,42.48333333,7001,Europe,France,Languedoc-Roussillon,grenache,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
50,2.216666667,43.06666667,7001,Europe,France,Languedoc-Roussillon,mauzac,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
51,3.125,42.48333333,7001,Europe,France,Languedoc-Roussillon,grenache,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,1
52,3.125,42.48333333,7001,Europe,France,Languedoc-Roussillon,mourvedre,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
53,2.866666667,42.775,7001,Europe,France,Languedoc-Roussillon,grenache blanc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
54,2.866666667,42.76666667,7001,Europe,France,Languedoc-Roussillon,grenache blanc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
55,4.825,47.025,7001,Europe,France,Rhône,grenache blanc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
56,4.833333333,47.025,7001,Europe,France,Rhône,grenache blanc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
57,4.825,47.025,7001,Europe,France,Rhône,clairette,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
58,4.833333333,47.025,7001,Europe,France,Rhône,clairette,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
59,4.825,47.025,7001,Europe,France,Rhône,roussanne,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
60,4.833333333,47.025,7001,Europe,France,Rhône,roussanne,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
61,4.825,47.025,7001,Europe,France,Rhône,bourboulenc,100,TC,C,,,-9.0,,1,0,,,7001,1,100,TC,1.0,,,,,0.0,-9,-9,-9,-9,,-,-9.0,,-9.0,-9.0,-9.0,-9,-9,-9,-9,-9,-9,-9,-9,-9.0,-9.0,-9,0
