,Unnamed: 0,Longitude,Latitude,Soil Mapping Unit,Continent,Country,Region Lv1,Grape_Variety,SHARE_x,WRB4_x,KOPPEN,TEXTURE_USDA_x,REF_BULK_DENSITY,BULK_DENSITY,DRAINAGE_x,ROOT_DEPTH_x,AWC_x,ROOTS_x,IL_x,HWSD2_SMU_ID_y,SEQUENCE,SHARE_y,WRB4_y,ROOT_DEPTH_y,ROOTS_y,IL_y,SWR,DRAINAGE_y,AWC_y,COARSE,SAND,SILT,CLAY,TEXTURE_USDA_y,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND,Top12_Grape
10,10,-68.25833333,-38.6,12325,Americas,Argentina,Río Negro Province,malbec,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
11,11,-68.25833333,-38.6,12325,Americas,Argentina,Río Negro Province,merlot,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
12,12,-68.25833333,-38.6,12325,Americas,Argentina,Río Negro Province,pinot noir,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
13,13,-68.30833333,-38.58333333,12325,Americas,Argentina,Neuquén Province,pinot noir,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
14,14,-68.38333333,-38.55833333,12325,Americas,Argentina,Neuquén Province,malbec,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
15,15,-68.38333333,-38.55833333,12325,Americas,Argentina,Neuquén Province,pinot noir,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
16,16,-68.40833333,-38.55,12325,Americas,Argentina,Neuquén Province,merlot,50,RGeu,B,11,1.61,1.45,MW,1,106,,,12325,1,50,RGeu,1,,,,MW,106,18,66,20,14,11,C,1.45,1.61,0.576,7.4,0.52,10,13,75,20,20,98,0,3,1.8,4,1,1
17,17,-72.68333333,-38.24166667,7001,Americas,Chile,Southern Chile,pinot noir,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
18,18,-71.25,-34.98333333,7001,Americas,Chile,Central Valley,pinot noir,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
19,19,19.875,-33.8,7001,Africa,South Africa,Robertson,pinot noir,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
20,20,19.88333333,-33.8,7001,Africa,South Africa,Robertson,pinot noir,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
21,21,19.875,-33.8,7001,Africa,South Africa,Robertson,syrah,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
22,22,19.88333333,-33.8,7001,Africa,South Africa,Robertson,syrah,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
23,23,-70.63333333,-33.60833333,7001,Americas,Chile,Central Valley,cabernet sauvignon,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
24,24,-70.89166667,-33.6,7001,Americas,Chile,Central Valley,carmenere,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
25,25,-70.59166667,-33.50833333,7001,Americas,Chile,Central Valley,carmenere,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
26,26,-117.6333333,34.025,7001,Americas,United States,California,zinfandel,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
27,27,-117.6333333,34.025,7001,Americas,United States,California,alicante bouschet,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
28,28,-117.6333333,34.025,7001,Americas,United States,California,zinfandel,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
29,29,-117.6333333,34.025,7001,Americas,United States,California,palomino,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
30,30,-121.725,37.68333333,7001,Americas,United States,California,cabernet sauvignon,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
31,31,-121.725,37.68333333,7001,Americas,United States,California,cabernet franc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
32,32,-121.725,37.68333333,7001,Americas,United States,California,petit verdot,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
33,33,-121.725,37.68333333,7001,Americas,United States,California,malbec,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
34,34,-121.725,37.68333333,7001,Americas,United States,California,merlot,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
35,35,-105.2,38.45,7001,Americas,United States,Colorado,cabernet franc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
36,36,-123.2083333,39.2,7001,Americas,United States,California,petit sirah,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
37,37,16,45.80833333,7001,Europe,Croatia,Littoral Croatia,syrah,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
38,38,7.45,48.40833333,7001,Europe,France,Alsace,gewurztraminer,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
39,39,7.366666667,48.075,7001,Europe,France,Alsace,riesling,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
40,40,7.45,48.40833333,7001,Europe,France,Alsace,gewurztraminer,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
41,41,-0.608333333,44.825,7001,Europe,France,Bordeaux,merlot,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
42,42,-0.608333333,44.81666667,7001,Europe,France,Bordeaux,merlot,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
43,43,-0.608333333,44.825,7001,Europe,France,Bordeaux,cabernet sauvignon,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
44,44,-0.608333333,44.81666667,7001,Europe,France,Bordeaux,cabernet sauvignon,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
45,45,-0.608333333,44.825,7001,Europe,France,Bordeaux,cabernet franc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
46,46,-0.608333333,44.81666667,7001,Europe,France,Bordeaux,cabernet franc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
47,47,4.841666667,47.025,7001,Europe,France,Burgundy,chardonnay,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
48,48,4.041666667,49.25833333,7001,Europe,France,Champagne ??Champagne,chardonnay,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
49,49,3.125,42.48333333,7001,Europe,France,Languedoc-Roussillon,grenache,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
50,50,2.216666667,43.06666667,7001,Europe,France,Languedoc-Roussillon,mauzac,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
51,51,3.125,42.48333333,7001,Europe,France,Languedoc-Roussillon,grenache,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
52,52,3.125,42.48333333,7001,Europe,France,Languedoc-Roussillon,mourvedre,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
53,53,2.866666667,42.775,7001,Europe,France,Languedoc-Roussillon,grenache blanc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
54,54,2.866666667,42.76666667,7001,Europe,France,Languedoc-Roussillon,grenache blanc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
55,55,4.825,47.025,7001,Europe,France,Rhône,grenache blanc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
56,56,4.833333333,47.025,7001,Europe,France,Rhône,grenache blanc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
57,57,4.825,47.025,7001,Europe,France,Rhône,clairette,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
58,58,4.833333333,47.025,7001,Europe,France,Rhône,clairette,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
59,59,4.825,47.025,7001,Europe,France,Rhône,roussanne,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
60,60,4.833333333,47.025,7001,Europe,France,Rhône,roussanne,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
61,61,4.825,47.025,7001,Europe,France,Rhône,bourboulenc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
62,62,4.833333333,47.025,7001,Europe,France,Rhône,bourboulenc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
63,63,4.825,47.025,7001,Europe,France,Rhône,marsanne,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
64,64,4.833333333,47.025,7001,Europe,France,Rhône,marsanne,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
65,65,4.841666667,44.95,7001,Europe,France,Rhône,marsanne,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
66,66,4.841666667,44.95,7001,Europe,France,Rhône,roussanne,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
67,67,44.925,41.7,7001,Europe,Georgia,Alazani Valley,saperavi,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
68,68,8.358333333,45.61666667,7001,Europe,Italy,Piedmont,nebbiolo,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
69,69,8.358333333,45.61666667,7001,Europe,Italy,Piedmont,nebbiolo,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
70,70,8.358333333,45.61666667,7001,Europe,Italy,Piedmont,nebbiolo,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
71,71,8.416666667,45.6,7001,Europe,Italy,Piedmont,nebbiolo,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
72,72,11.10833333,46.04166667,7001,Europe,Italy,Trentino-Alto Adige,nosiola,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
73,73,10.79166667,45.55,7001,Europe,Italy,Veneto,corvina,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
74,74,10.79166667,45.55,7001,Europe,Italy,Veneto,rondinella,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
75,75,11.55833333,45.70833333,7001,Europe,Italy,Veneto,cabernet sauvignon,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
76,76,11.55833333,45.70833333,7001,Europe,Italy,Veneto,cabernet franc,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
77,77,11.55833333,45.70833333,7001,Europe,Italy,Veneto,pinot noir,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
78,78,11.55833333,45.70833333,7001,Europe,Italy,Veneto,merlot,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
79,79,11.01666667,45.525,7001,Europe,Italy,Veneto,corvina,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
80,80,11.01666667,45.525,7001,Europe,Italy,Veneto,rondinella,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
81,81,21.48333333,42.00833333,7001,Europe,North Macedonia,Tikves,vranec,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
82,82,21.48333333,42.00833333,7001,Europe,North Macedonia,Tikves,kratosija,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
83,83,-9.325,38.69166667,7001,Europe,Portugal,Carcavelos,galego dourado,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
84,84,-9.316666667,38.69166667,7001,Europe,Portugal,Carcavelos,galego dourado,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
85,85,138.5583333,-35.1,7001,Oceania,Australia,Lower Murray,grenache,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
86,86,138.9666667,-34.50833333,7001,Oceania,Australia,Mount Lofty Ranges,syrah,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
87,87,138.675,-35.525,7001,Oceania,Australia,Mount Lofty Ranges,pinot noir,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
88,88,176.8416667,-39.525,7001,Oceania,New Zealand,Hawke's Bay (GI),syrah,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
89,89,176.85,-39.51666667,7001,Oceania,New Zealand,Hawke's Bay (GI),syrah,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
90,90,176.85,-39.525,7001,Oceania,New Zealand,Hawke's Bay (GI),syrah,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
91,91,144.5416667,-38.16666667,7001,Oceania,Australia,Port Phillip,pinot noir,100,TC,C,,,-9,,1,0,,,7001,1,100,TC,1,,,,,0,-9,-9,-9,-9,,-,-9,,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
92,92,-57.73333333,-38.13333333,12302,Americas,Argentina,Buenos Aires Province,sauvignon blanc,50,PHlv,C,9,1.78,1.4,MW,1,177,,,12302,1,50,PHlv,1,,,,MW,177,2,33,42,25,9,M,1.4,1.78,2.2,6.1,1.96,12,19,47,16,16,82,0,1,0,0,0,0
93,93,-57.73333333,-38.13333333,12302,Americas,Argentina,Buenos Aires Province,pinot gris,50,PHlv,C,9,1.78,1.4,MW,1,177,,,12302,1,50,PHlv,1,,,,MW,177,2,33,42,25,9,M,1.4,1.78,2.2,6.1,1.96,12,19,47,16,16,82,0,1,0,0,0,0
